日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2015-01-01,彰化,16.93,4.67,21.75,26.43,23.23,66.86,40.26,64.79,3.99
2015-01-08,彰化,16.61,4.27,19.76,24.02,24.58,58.82,29.12,65.28,3.7
2015-01-15,彰化,16.21,3.47,18.02,21.45,29.83,68.58,38.02,66.9,2.98
2015-01-22,彰化,16.81,2.86,22.02,24.88,30.71,68.18,42.11,66.2,4.22
2015-01-29,彰化,16.34,2.97,14.13,17.16,24.03,38.13,14.4,73.69,2.15
2015-02-05,彰化,13.81,4.3,17.51,21.82,29.19,57.79,34.34,63.41,3.36
2015-02-12,彰化,18.45,4.17,24.39,28.53,34.12,84.22,48.43,64.67,4.27
2015-02-19,彰化,19.52,2.32,15.71,18.0,24.53,58.14,28.62,76.43,2.93
2015-02-26,彰化,19.05,2.73,16.78,19.53,26.34,48.33,25.89,73.12,3.28
2015-03-05,彰化,17.74,3.19,18.94,22.15,24.0,39.95,18.35,74.12,2.99
2015-03-12,彰化,21.9,3.74,18.63,22.41,27.63,66.34,29.69,75.77,4.54
2015-03-19,彰化,20.92,2.06,17.0,19.03,30.96,58.9,29.08,74.04,3.63
2015-03-26,彰化,22.8,3.18,18.52,21.68,28.6,52.72,25.79,72.85,3.95
2015-04-02,彰化,25.48,2.3,10.92,13.23,24.69,38.48,14.29,70.2,3.26
2015-04-09,彰化,19.81,2.32,17.16,19.5,38.8,42.34,19.11,65.42,3.17
2015-04-16,彰化,25.57,1.56,12.25,13.81,30.13,48.87,20.4,70.11,3.18
2015-04-23,彰化,25.23,1.8,12.39,14.18,40.33,56.59,24.89,71.81,4.74
2015-04-30,彰化,26.83,1.71,13.84,15.56,27.73,52.99,27.38,75.02,4.45
2015-05-07,彰化,27.7,2.23,14.27,16.47,30.76,56.51,30.61,73.8,4.33
2015-05-14,彰化,28.86,1.61,8.71,10.32,19.7,33.51,14.11,71.97,4.5
2015-05-21,彰化,25.27,3.06,15.36,18.41,19.1,28.09,12.24,87.62,3.04
2015-05-28,彰化,28.66,1.98,7.56,9.54,18.43,26.82,10.06,79.22,2.99
2015-06-04,彰化,29.52,1.76,7.56,9.31,18.36,27.62,10.84,74.32,3.7
2015-06-11,彰化,31.05,1.59,6.94,8.53,16.13,31.56,10.41,70.45,4.1
2015-06-18,彰化,30.03,1.35,8.77,10.13,21.74,35.59,15.06,71.74,4.23
2015-06-25,彰化,30.96,1.3,6.86,8.13,19.2,43.09,16.39,69.77,3.12
2015-07-02,彰化,29.6,1.16,9.06,10.16,29.36,49.27,17.92,76.55,4.03
2015-07-09,彰化,29.31,0.99,6.82,7.73,30.42,38.56,18.92,75.06,3.04
2015-07-16,彰化,29.14,1.77,8.22,10.0,27.96,35.53,18.76,70.86,4.09
2015-07-23,彰化,29.07,1.33,6.92,8.22,21.24,29.57,9.99,69.57,3.6
2015-07-30,彰化,29.59,1.98,8.37,10.33,22.89,29.5,15.41,67.27,3.72
2015-08-06,彰化,28.51,1.86,6.3,8.15,23.58,33.35,13.25,74.74,1.64
2015-08-13,彰化,27.84,1.77,8.49,10.23,19.11,26.73,11.09,78.12,3.59
2015-08-20,彰化,29.38,1.3,9.33,10.62,36.77,50.81,30.52,75.68,4.43
2015-08-27,彰化,25.75,2.2,8.26,10.44,17.86,22.69,8.82,83.35,2.57
2015-09-03,彰化,28.4,2.88,11.46,14.23,23.33,33.98,15.26,73.5,4.77
2015-09-10,彰化,28.0,1.48,15.56,16.99,37.79,56.81,27.22,68.96,4.36
2015-09-17,彰化,27.93,1.21,15.22,16.31,42.71,59.08,37.39,68.67,4.78
2015-09-24,彰化,27.62,1.41,11.58,13.01,35.09,40.11,18.99,74.76,3.28
2015-10-01,彰化,28.23,1.29,12.32,13.64,35.99,56.55,29.12,77.25,4.56
2015-10-08,彰化,24.78,1.59,14.59,16.18,38.61,44.41,24.03,68.02,2.69
2015-10-15,彰化,25.06,3.14,18.16,21.26,30.8,54.96,26.78,70.73,3.16
2015-10-22,彰化,25.99,2.12,16.5,18.64,30.76,56.17,33.52,75.45,3.71
2015-10-29,彰化,24.34,1.97,15.76,17.49,30.54,51.5,26.45,74.16,3.53
2015-11-05,彰化,25.32,1.99,16.24,18.2,32.13,71.88,43.52,75.67,5.37
2015-11-12,彰化,25.68,3.49,20.77,24.29,25.24,62.67,37.12,74.06,4.59
2015-11-19,彰化,24.27,3.92,18.45,22.37,23.79,48.43,21.7,74.85,3.46
2015-11-26,彰化,20.53,3.78,19.66,23.42,28.54,51.16,23.4,66.35,3.17
2015-12-03,彰化,19.82,3.98,17.5,21.48,21.65,39.95,15.76,72.14,2.89
2015-12-10,彰化,19.19,3.36,16.55,19.87,24.63,47.25,25.08,74.67,3.29
2015-12-17,彰化,17.83,6.44,20.1,26.5,17.83,58.55,27.37,72.68,4.14
2015-12-24,彰化,17.83,4.9,18.48,23.27,22.95,44.84,21.38,74.81,3.39
