日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2015-01-01,西屯,17.05,12.85,21.76,34.61,24.3,70.83,39.72,66.2,3.27
2015-01-08,西屯,17.04,5.52,18.29,23.82,27.72,60.97,30.62,66.16,3.22
2015-01-15,西屯,16.54,2.54,13.37,15.9,33.79,73.99,35.52,69.02,2.61
2015-01-22,西屯,17.2,6.86,22.14,28.94,30.78,72.89,42.76,66.65,3.22
2015-01-29,西屯,16.71,2.91,12.12,15.01,26.36,38.53,14.81,77.47,1.82
2015-02-05,西屯,14.22,3.89,14.77,18.64,33.46,60.46,32.11,67.23,2.81
2015-02-12,西屯,18.82,8.66,25.37,34.04,38.79,88.59,51.31,62.62,3.38
2015-02-19,西屯,19.73,3.57,16.7,20.29,24.79,57.48,31.29,78.44,2.93
2015-02-26,西屯,19.12,3.65,16.07,19.75,24.87,50.64,26.91,75.89,2.47
2015-03-05,西屯,17.87,3.16,17.98,21.13,24.41,44.76,21.55,77.5,2.04
2015-03-12,西屯,21.75,6.46,21.02,27.47,29.26,71.82,35.17,77.57,3.65
2015-03-19,西屯,20.7,2.75,15.67,18.45,33.19,57.97,28.66,77.26,2.17
2015-03-26,西屯,22.67,5.1,19.49,24.59,32.49,51.31,25.08,73.53,3.22
2015-04-02,西屯,24.66,2.5,10.53,13.03,28.76,39.15,16.01,72.35,2.78
2015-04-09,西屯,19.55,2.35,15.26,17.61,43.44,41.61,19.54,67.77,2.69
2015-04-16,西屯,24.74,3.1,15.62,18.65,29.71,50.49,23.55,71.47,3.03
2015-04-23,西屯,24.77,2.06,13.77,15.8,42.18,54.74,25.89,73.26,3.8
2015-04-30,西屯,26.14,2.64,16.05,18.68,27.34,53.96,27.96,76.58,3.22
2015-05-07,西屯,26.95,2.74,15.34,18.05,31.27,55.5,29.6,74.42,3.26
2015-05-14,西屯,27.68,3.37,12.3,15.66,19.43,32.33,14.22,73.86,2.79
2015-05-21,西屯,24.88,4.91,18.76,23.66,18.29,26.91,12.99,91.18,2.04
2015-05-28,西屯,27.73,4.03,11.54,15.61,18.44,29.47,9.73,80.86,2.78
2015-06-04,西屯,28.44,3.6,10.66,14.26,19.75,30.1,10.42,75.18,3.47
2015-06-11,西屯,30.03,3.62,9.38,12.99,17.97,30.39,9.97,71.7,3.07
2015-06-18,西屯,30.23,3.11,12.63,15.73,22.9,37.24,17.48,74.46,3.35
2015-06-25,西屯,31.15,2.26,9.59,11.83,20.33,46.16,16.57,71.13,2.62
2015-07-02,西屯,30.05,2.14,10.83,12.95,30.49,46.56,17.25,78.39,2.58
2015-07-09,西屯,29.68,1.63,9.11,10.72,31.78,40.48,19.16,77.42,3.43
2015-07-16,西屯,29.63,2.2,10.72,12.91,29.15,39.44,20.75,72.19,3.16
2015-07-23,西屯,29.45,3.24,10.41,13.68,21.36,32.27,10.22,71.35,2.7
2015-07-30,西屯,29.99,4.37,11.29,15.67,24.62,35.31,16.3,68.11,4.83
2015-08-06,西屯,29.04,3.12,9.16,12.32,21.46,33.73,13.18,76.69,2.24
2015-08-13,西屯,28.24,4.85,13.52,18.39,15.52,29.14,10.7,81.62,2.77
2015-08-20,西屯,29.81,2.3,14.2,16.54,38.56,55.82,29.99,77.62,3.64
2015-08-27,西屯,26.58,7.44,16.22,23.68,13.4,24.94,8.49,87.8,2.91
2015-09-03,西屯,28.78,5.33,14.45,19.79,25.1,35.86,15.55,75.24,3.17
2015-09-10,西屯,28.15,2.62,17.57,20.19,40.61,57.29,29.23,71.27,3.91
2015-09-17,西屯,28.24,2.45,17.58,20.04,44.06,61.58,33.27,70.02,3.74
2015-09-24,西屯,28.13,2.19,11.86,14.04,40.29,37.61,17.02,78.54,2.5
2015-10-01,西屯,28.77,2.67,16.73,19.39,36.19,62.92,35.31,79.05,3.97
2015-10-08,西屯,25.04,1.68,13.04,14.71,40.65,46.84,22.99,71.64,2.98
2015-10-15,西屯,25.61,3.44,16.83,20.27,36.34,55.18,27.26,72.69,2.55
2015-10-22,西屯,26.43,2.82,17.34,20.16,33.86,58.08,33.66,78.53,3.41
2015-10-29,西屯,24.85,2.61,16.38,18.99,33.89,53.43,27.05,77.82,2.68
2015-11-05,西屯,25.92,3.9,19.48,23.44,32.36,75.36,46.19,78.66,3.52
2015-11-12,西屯,26.38,6.53,23.46,29.97,27.73,65.31,37.83,75.84,3.55
2015-11-19,西屯,24.72,3.64,17.14,20.74,26.73,51.56,23.49,77.48,2.33
2015-11-26,西屯,21.14,6.03,19.24,25.28,32.28,54.99,27.99,68.15,2.34
2015-12-03,西屯,20.58,5.55,15.87,21.41,26.78,42.66,17.86,75.21,2.24
2015-12-10,西屯,20.21,3.69,15.21,18.91,29.18,49.29,25.73,76.73,3.08
2015-12-17,西屯,18.93,8.09,19.77,27.75,22.88,57.52,28.74,73.65,2.81
2015-12-24,西屯,18.83,6.6,16.24,22.85,28.31,46.77,24.39,78.28,2.03
