日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2015-01-01,馬公,18.09,2.14,4.83,6.96,44.17,53.31,25.21,71.93,1.98
2015-01-08,馬公,17.18,1.93,3.7,5.62,46.84,49.61,21.32,71.53,1.83
2015-01-15,馬公,16.61,2.03,3.92,5.94,47.86,68.8,33.47,72.14,1.98
2015-01-22,馬公,17.81,1.91,5.02,6.92,51.6,58.68,32.19,71.52,1.81
2015-01-29,馬公,16.45,1.91,3.5,5.41,36.07,39.76,18.59,78.74,1.38
2015-02-05,馬公,14.62,2.0,3.66,5.65,47.51,53.74,26.87,70.72,2.2
2015-02-12,馬公,18.95,1.98,4.65,6.61,59.57,76.06,35.06,69.2,2.24
2015-02-19,馬公,19.75,2.07,4.38,6.43,40.27,45.06,22.5,80.13,1.49
2015-02-26,馬公,19.41,2.15,3.24,5.39,44.48,42.93,23.68,79.07,1.64
2015-03-05,馬公,18.08,1.95,2.82,4.77,44.35,33.17,16.65,79.23,1.25
2015-03-12,馬公,21.91,2.26,4.55,6.81,44.08,37.38,16.77,79.33,1.4
2015-03-19,馬公,20.98,2.13,3.08,5.22,52.05,48.93,23.71,78.04,1.67
2015-03-26,馬公,22.62,2.16,3.96,6.1,42.38,25.5,12.98,78.21,1.6
2015-04-02,馬公,24.93,2.44,3.51,5.95,30.64,22.68,11.66,77.98,1.97
2015-04-09,馬公,20.74,1.89,3.45,5.33,58.21,34.24,16.75,68.39,1.73
2015-04-16,馬公,24.73,3.29,5.49,8.74,38.54,37.42,18.44,77.38,3.1
2015-04-23,馬公,24.12,1.87,2.64,4.51,50.59,45.38,21.15,76.6,1.28
2015-04-30,馬公,26.07,2.87,4.36,7.2,44.93,40.15,21.01,77.34,2.65
2015-05-07,馬公,26.4,2.21,3.62,5.81,45.14,36.77,19.45,76.68,1.76
2015-05-14,馬公,28.27,3.88,5.42,9.31,20.76,17.62,10.53,77.78,3.84
2015-05-21,馬公,26.39,2.41,5.8,8.2,36.34,16.21,9.48,86.37,2.11
2015-05-28,馬公,29.18,4.28,5.65,9.93,18.47,15.7,7.59,82.67,3.49
2015-06-04,馬公,29.26,3.87,5.24,9.12,18.85,13.22,9.05,79.7,1.72
2015-06-11,馬公,30.04,4.31,4.43,8.73,14.78,11.7,6.88,76.51,2.67
2015-06-18,馬公,30.15,3.03,5.65,8.66,22.52,11.55,8.27,76.96,2.54
2015-06-25,馬公,30.67,3.35,5.41,8.77,19.49,18.51,10.75,76.58,3.71
2015-07-02,馬公,28.18,1.49,3.49,4.97,39.36,22.22,11.87,81.58,1.75
2015-07-09,馬公,29.41,1.31,3.09,4.4,31.5,18.1,14.06,79.9,1.78
2015-07-16,馬公,28.79,1.69,3.07,4.75,30.18,18.82,13.92,79.53,1.94
2015-07-23,馬公,29.43,4.39,5.01,9.4,18.25,14.86,11.83,78.09,4.17
2015-07-30,馬公,29.05,1.65,3.14,4.78,24.63,,10.96,75.04,1.71
2015-08-06,馬公,28.84,1.67,2.67,4.31,23.71,11.47,10.36,81.53,1.63
2015-08-13,馬公,28.02,2.56,6.31,8.89,23.46,8.38,10.46,84.14,2.87
2015-08-20,馬公,28.55,1.48,3.51,4.98,29.83,20.78,13.92,82.11,1.72
2015-08-27,馬公,26.76,3.5,6.6,10.1,23.91,7.18,8.76,85.9,3.35
2015-09-03,馬公,28.17,2.36,4.73,7.1,36.91,16.05,13.87,77.68,3.62
2015-09-10,馬公,27.49,1.16,2.49,3.65,51.92,26.4,17.56,73.2,2.03
2015-09-17,馬公,27.6,1.11,2.61,3.71,53.93,26.39,20.62,73.49,2.04
2015-09-24,馬公,27.51,1.55,3.4,4.94,41.69,31.43,17.37,78.97,1.56
2015-10-01,馬公,27.23,1.66,3.6,5.26,36.1,27.69,19.74,81.76,1.75
2015-10-08,馬公,25.45,1.29,3.29,4.57,57.44,35.46,22.25,68.84,2.07
2015-10-15,馬公,25.51,0.95,2.45,3.4,47.27,38.17,20.06,72.75,1.46
2015-10-22,馬公,25.86,1.18,2.66,3.84,49.17,45.8,27.72,77.49,1.76
2015-10-29,馬公,24.88,1.15,3.11,4.25,46.45,41.05,23.42,77.58,1.25
2015-11-05,馬公,25.45,1.32,3.79,5.1,42.6,31.04,22.3,79.41,1.57
2015-11-12,馬公,25.65,1.12,4.59,5.69,43.58,26.81,21.3,80.61,1.86
2015-11-19,馬公,24.81,0.98,2.58,3.55,43.46,26.9,18.53,79.09,1.5
2015-11-26,馬公,21.57,1.21,2.95,4.16,43.09,30.7,19.03,74.1,1.67
2015-12-03,馬公,20.8,1.06,3.27,4.32,39.58,35.47,17.6,75.12,1.71
2015-12-10,馬公,20.3,1.03,3.55,4.58,42.17,37.96,26.68,76.17,2.06
2015-12-17,馬公,19.15,1.26,4.92,6.18,35.29,39.7,23.51,78.34,1.62
2015-12-24,馬公,19.05,1.14,3.95,5.09,44.61,40.72,26.52,77.18,1.47
