日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2015-01-01,仁武,19.54,5.33,30.03,35.36,25.78,106.96,45.81,68.29,5.44
2015-01-08,仁武,18.79,6.12,28.67,34.79,26.16,96.35,39.27,68.77,4.87
2015-01-15,仁武,18.2,6.67,28.57,35.24,23.82,119.59,50.21,71.63,5.37
2015-01-22,仁武,19.6,4.17,29.82,34.01,30.82,109.29,53.25,62.98,5.56
2015-01-29,仁武,18.51,4.72,24.06,28.81,22.07,,32.3,73.88,3.52
2015-02-05,仁武,16.12,6.75,28.45,35.24,25.67,119.08,53.47,66.22,5.16
2015-02-12,仁武,21.05,4.1,29.01,33.11,37.75,118.1,53.96,63.1,5.1
2015-02-19,仁武,22.22,2.98,18.1,21.09,30.07,83.0,33.75,75.05,3.52
2015-02-26,仁武,22.44,4.88,22.2,27.11,25.74,90.92,35.46,72.72,4.36
2015-03-05,仁武,21.14,6.29,27.96,34.2,24.25,100.23,42.11,71.51,5.52
2015-03-12,仁武,23.33,4.85,23.67,28.52,24.57,82.09,30.01,72.74,5.51
2015-03-19,仁武,23.54,3.29,21.35,24.67,30.67,101.24,43.82,72.52,4.7
2015-03-26,仁武,24.68,4.09,21.12,25.23,29.79,70.76,27.18,70.83,5.14
2015-04-02,仁武,26.39,4.11,16.47,20.56,19.89,55.22,15.47,72.23,5.15
2015-04-09,仁武,22.57,3.67,22.51,26.17,35.48,74.09,25.9,61.76,5.7
2015-04-16,仁武,27.01,3.16,16.17,19.37,22.05,57.0,15.94,70.04,4.49
2015-04-23,仁武,26.25,2.84,17.8,20.63,34.47,81.91,29.85,71.85,4.68
2015-04-30,仁武,27.8,2.12,12.75,14.82,27.35,55.37,22.95,74.05,3.57
2015-05-07,仁武,28.43,2.92,15.42,18.27,21.83,55.03,19.46,72.82,4.17
2015-05-14,仁武,29.2,2.44,11.54,13.99,20.05,38.85,9.94,70.72,3.74
2015-05-21,仁武,26.26,3.24,14.79,18.05,20.75,28.19,6.23,86.67,2.89
2015-05-28,仁武,29.29,3.1,10.22,13.32,18.09,38.14,9.03,77.1,4.03
2015-06-04,仁武,29.81,3.24,9.69,12.94,17.8,36.66,9.03,73.19,3.65
2015-06-11,仁武,30.96,3.44,9.39,12.82,14.84,35.04,6.75,69.02,4.45
2015-06-18,仁武,30.84,2.86,9.83,12.67,20.45,35.92,5.96,68.92,4.82
2015-06-25,仁武,31.03,2.45,7.9,10.37,19.9,42.87,8.48,69.99,3.17
2015-07-02,仁武,29.44,2.55,12.44,15.02,26.52,50.34,12.84,76.12,3.9
2015-07-09,仁武,29.29,1.92,9.8,11.72,29.28,40.04,10.35,76.71,3.62
2015-07-16,仁武,28.74,2.44,10.58,12.97,25.67,37.7,11.14,75.9,3.96
2015-07-23,仁武,28.85,4.28,10.88,15.18,17.81,38.17,9.84,72.43,4.17
2015-07-30,仁武,29.77,3.42,11.56,14.96,24.83,38.32,13.05,68.64,4.39
2015-08-06,仁武,29.04,2.47,9.93,12.38,23.69,48.21,11.79,75.96,3.84
2015-08-13,仁武,28.7,4.54,12.93,17.48,17.09,33.06,6.93,76.59,3.38
2015-08-20,仁武,28.83,2.33,12.5,14.81,31.0,49.76,14.42,79.86,3.22
2015-08-27,仁武,26.61,5.47,13.84,19.36,16.44,27.32,5.12,82.19,2.95
2015-09-03,仁武,28.54,2.68,11.8,14.41,29.25,35.55,11.24,76.08,2.7
2015-09-10,仁武,28.64,1.49,14.0,15.43,48.99,59.24,23.84,67.94,4.07
2015-09-17,仁武,28.42,1.62,13.4,15.04,46.77,57.15,26.6,72.1,3.85
2015-09-24,仁武,28.52,2.17,14.32,16.5,35.43,56.48,19.38,74.64,4.74
2015-10-01,仁武,28.79,2.43,13.84,16.27,37.52,66.09,28.22,76.2,4.12
2015-10-08,仁武,26.88,2.82,18.7,21.54,36.44,68.14,29.6,70.88,4.45
2015-10-15,仁武,26.23,3.33,22.63,26.03,36.22,86.12,36.26,75.76,4.95
2015-10-22,仁武,27.01,2.04,15.91,17.93,33.37,60.79,25.5,78.27,3.75
2015-10-29,仁武,26.03,2.82,20.94,23.82,34.65,83.43,35.28,73.8,5.37
2015-11-05,仁武,26.65,3.41,21.32,24.7,31.7,95.68,38.23,76.52,4.52
2015-11-12,仁武,26.88,3.14,22.24,25.38,32.31,85.0,36.03,74.48,4.96
2015-11-19,仁武,25.79,4.63,21.94,26.58,28.42,87.84,32.04,75.63,4.56
2015-11-26,仁武,22.49,4.48,25.19,29.64,30.18,92.57,39.12,65.68,4.61
2015-12-03,仁武,22.54,8.4,27.49,35.92,19.65,95.25,36.19,71.98,4.79
2015-12-10,仁武,21.48,5.16,24.39,29.52,22.5,92.88,43.58,74.87,4.15
2015-12-17,仁武,20.35,8.44,27.76,36.21,21.67,105.44,43.46,68.71,4.89
2015-12-24,仁武,21.08,6.78,25.33,32.15,20.62,98.22,39.33,71.04,4.94
