日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2015-01-01,恆春,20.14,1.1,1.16,2.26,43.87,32.07,13.29,70.54,1.32
2015-01-08,恆春,19.49,3.33,1.76,5.09,49.62,34.49,18.59,72.55,1.4
2015-01-15,恆春,19.37,1.32,2.84,4.15,48.87,41.49,19.71,70.54,1.32
2015-01-22,恆春,20.31,0.98,2.62,3.6,51.54,42.39,17.78,70.62,1.51
2015-01-29,恆春,19.89,1.03,1.94,2.97,43.1,20.52,7.38,75.12,1.16
2015-02-05,恆春,17.98,1.57,2.26,3.83,49.9,36.05,17.21,70.97,1.6
2015-02-12,恆春,21.42,1.79,1.91,3.7,60.35,56.29,24.7,72.19,1.64
2015-02-19,恆春,22.64,1.39,2.4,3.79,48.52,42.34,16.24,77.82,1.43
2015-02-26,恆春,22.85,1.58,1.59,3.17,39.55,28.27,8.98,78.27,1.39
2015-03-05,恆春,22.1,1.86,1.47,3.34,53.15,30.02,11.48,75.55,1.45
2015-03-12,恆春,23.48,1.83,1.62,3.35,43.12,32.17,8.34,76.73,1.65
2015-03-19,恆春,23.43,2.2,1.86,4.05,55.56,36.75,12.98,76.52,1.38
2015-03-26,恆春,24.12,1.48,2.02,3.45,43.76,30.57,7.5,79.11,1.48
2015-04-02,恆春,25.6,1.75,1.68,3.44,27.46,23.79,6.29,82.1,1.82
2015-04-09,恆春,23.12,1.75,2.72,4.43,57.57,35.39,10.13,74.2,1.14
2015-04-16,恆春,26.05,1.67,2.13,3.8,37.08,32.46,11.35,81.17,1.22
2015-04-23,恆春,25.74,1.31,2.33,3.61,43.35,29.7,11.22,79.05,1.07
2015-04-30,恆春,26.55,1.57,2.02,3.58,41.88,30.08,12.82,80.7,1.29
2015-05-07,恆春,27.2,1.48,2.32,3.73,35.37,38.4,10.61,80.81,1.43
2015-05-14,恆春,28.13,1.25,2.44,3.68,25.93,24.42,5.91,82.22,1.4
2015-05-21,恆春,25.7,1.17,1.99,3.12,36.34,15.56,2.21,90.92,1.14
2015-05-28,恆春,28.82,1.63,2.26,3.78,23.02,21.44,4.09,85.62,
2015-06-04,恆春,29.2,0.89,2.72,3.52,21.59,16.44,4.94,81.86,
2015-06-11,恆春,29.73,1.46,1.59,3.03,17.2,16.47,3.5,81.77,1.2
2015-06-18,恆春,29.33,0.97,2.21,3.09,20.63,17.07,2.85,83.49,1.18
2015-06-25,恆春,30.17,1.58,1.2,2.77,24.84,29.93,7.26,82.4,1.01
2015-07-02,恆春,28.7,1.54,1.8,3.33,29.57,22.12,3.36,84.91,1.14
2015-07-09,恆春,28.39,1.5,1.92,3.41,35.45,29.93,8.23,86.83,1.27
2015-07-16,恆春,27.9,1.48,2.05,3.42,27.84,28.16,5.86,86.61,1.27
2015-07-23,恆春,28.41,1.41,2.19,3.59,22.89,22.96,8.81,84.26,1.25
2015-07-30,恆春,28.53,1.57,1.07,2.62,19.15,20.12,10.27,80.04,1.72
2015-08-06,恆春,28.9,1.53,2.35,3.88,30.78,40.19,15.1,85.04,1.53
2015-08-13,恆春,28.71,1.77,2.42,4.14,25.81,23.5,6.88,84.14,1.53
2015-08-20,恆春,28.3,1.32,2.01,3.32,31.86,30.8,4.93,85.52,1.41
2015-08-27,恆春,27.16,1.93,1.56,3.48,24.65,19.28,1.12,88.51,2.01
2015-09-03,恆春,28.05,1.94,1.68,3.59,32.07,23.88,7.05,82.09,1.3
2015-09-10,恆春,27.32,1.9,1.43,3.32,40.8,31.26,17.04,77.46,1.11
2015-09-17,恆春,27.1,1.7,2.19,3.88,43.32,31.35,9.69,80.88,1.23
2015-09-24,恆春,27.39,2.12,2.38,4.5,41.1,38.87,8.55,86.27,1.46
2015-10-01,恆春,27.79,1.57,1.21,2.67,18.53,21.72,3.05,85.68,1.21
2015-10-08,恆春,26.27,1.66,2.01,3.66,53.73,37.5,17.41,76.6,1.32
2015-10-15,恆春,25.44,1.39,1.75,3.11,47.59,31.31,13.29,76.82,1.14
2015-10-22,恆春,26.03,1.63,1.38,2.97,42.07,31.98,15.85,80.73,1.08
2015-10-29,恆春,25.72,1.77,1.89,3.55,41.19,19.01,4.81,82.01,1.05
2015-11-05,恆春,26.63,1.58,1.55,3.12,32.14,18.08,2.41,81.68,1.13
2015-11-12,恆春,26.77,1.92,1.76,3.68,29.89,16.77,1.81,83.36,1.2
2015-11-19,恆春,25.71,1.94,1.69,3.61,38.48,20.15,5.15,80.7,0.98
2015-11-26,恆春,22.99,2.3,1.77,4.06,46.35,29.85,11.47,75.01,1.5
2015-12-03,恆春,23.36,2.02,1.84,3.85,41.66,26.17,9.57,79.51,1.1
2015-12-10,恆春,23.64,1.26,2.74,4.01,43.03,29.04,10.8,79.99,1.36
2015-12-17,恆春,22.55,1.88,1.81,3.68,39.95,24.93,6.54,74.1,1.17
2015-12-24,恆春,22.88,1.87,2.56,4.4,45.6,27.99,8.89,78.49,1.4
