日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2015-01-01,橋頭,18.95,3.15,21.09,24.3,31.24,95.83,48.71,67.3,3.68
2015-01-08,橋頭,18.33,5.16,21.75,26.87,28.91,86.79,43.22,68.61,3.9
2015-01-15,橋頭,17.95,4.08,22.44,26.47,28.38,96.37,53.45,71.77,4.32
2015-01-22,橋頭,19.16,3.73,24.2,27.91,36.15,96.01,56.43,65.77,4.53
2015-01-29,橋頭,18.57,3.7,18.39,22.14,26.04,70.61,36.33,73.58,3.17
2015-02-05,橋頭,15.85,4.4,22.51,26.96,28.94,94.29,49.52,67.53,4.24
2015-02-12,橋頭,20.59,3.47,23.4,26.88,40.11,100.79,56.31,66.23,4.58
2015-02-19,橋頭,22.14,3.02,13.39,16.43,31.42,66.15,37.57,76.1,2.82
2015-02-26,橋頭,22.29,3.57,17.78,21.35,25.78,66.79,39.26,74.8,3.34
2015-03-05,橋頭,20.83,3.97,22.6,26.56,25.28,72.97,43.34,72.39,4.19
2015-03-12,橋頭,23.01,4.25,19.02,23.29,27.18,64.15,35.92,74.11,4.58
2015-03-19,橋頭,23.35,2.76,16.84,19.61,32.27,84.56,43.85,73.27,3.56
2015-03-26,橋頭,24.37,3.56,16.09,19.63,32.31,60.46,29.42,73.38,3.97
2015-04-02,橋頭,26.29,3.34,12.9,16.22,22.15,43.78,13.03,73.1,3.93
2015-04-09,橋頭,22.22,2.13,18.24,20.38,38.83,66.18,27.1,65.05,4.13
2015-04-16,橋頭,26.62,2.48,12.32,14.8,24.75,49.43,14.78,73.09,3.87
2015-04-23,橋頭,26.34,1.91,12.11,13.98,40.24,72.44,25.62,72.55,3.52
2015-04-30,橋頭,27.75,2.21,8.59,10.79,30.42,47.9,17.46,75.58,2.79
2015-05-07,橋頭,28.3,3.43,11.78,15.23,22.86,47.8,16.04,75.15,3.25
2015-05-14,橋頭,28.97,3.1,9.1,12.22,19.17,35.67,7.71,72.68,2.92
2015-05-21,橋頭,26.4,2.61,11.16,13.71,21.91,19.06,3.95,88.5,2.24
2015-05-28,橋頭,29.14,3.1,6.79,9.88,18.44,25.91,3.68,79.6,2.28
2015-06-04,橋頭,29.92,3.25,7.67,10.9,16.43,25.74,6.86,73.09,2.53
2015-06-11,橋頭,30.94,3.83,7.67,11.43,14.06,23.58,3.95,69.78,3.61
2015-06-18,橋頭,31.01,3.04,9.31,12.35,19.94,26.51,4.89,67.59,3.84
2015-06-25,橋頭,31.16,2.22,5.87,8.05,20.25,31.26,6.75,71.1,2.22
2015-07-02,橋頭,29.49,1.98,10.07,12.06,27.34,40.26,11.11,78.21,2.46
2015-07-09,橋頭,29.43,1.96,7.44,9.38,29.48,34.07,9.51,78.04,2.9
2015-07-16,橋頭,29.07,2.48,9.63,12.08,23.99,29.66,8.52,76.49,3.93
2015-07-23,橋頭,28.63,4.02,7.75,11.8,17.65,30.77,7.73,76.01,2.47
2015-07-30,橋頭,29.92,2.7,8.69,11.4,22.77,33.06,10.7,69.6,2.89
2015-08-06,橋頭,29.26,2.25,8.41,10.68,21.49,44.13,9.9,76.98,3.02
2015-08-13,橋頭,28.4,3.27,9.38,12.66,16.97,25.21,2.32,79.66,2.06
2015-08-20,橋頭,28.88,3.01,9.43,12.43,30.69,,8.62,81.12,2.52
2015-08-27,橋頭,26.54,4.24,12.91,17.14,14.73,22.3,2.26,84.5,2.62
2015-09-03,橋頭,28.51,2.98,10.65,13.53,25.48,28.77,7.68,77.65,2.31
2015-09-10,橋頭,28.7,1.45,11.58,13.03,46.88,59.73,20.5,69.36,3.54
2015-09-17,橋頭,28.39,1.78,10.98,12.76,44.16,53.37,19.01,72.81,3.18
2015-09-24,橋頭,28.58,2.19,11.27,13.49,33.97,49.89,15.22,73.81,3.39
2015-10-01,橋頭,28.92,2.36,10.35,12.72,35.21,61.49,20.57,75.79,2.89
2015-10-08,橋頭,26.77,2.84,13.63,16.5,37.35,70.09,23.88,71.16,3.3
2015-10-15,橋頭,26.23,2.69,17.75,20.45,34.56,87.69,25.52,75.76,4.06
2015-10-22,橋頭,27.11,2.16,12.27,14.45,34.4,73.46,21.53,77.89,3.06
2015-10-29,橋頭,26.08,2.61,16.15,18.75,34.74,86.36,27.63,73.2,3.64
2015-11-05,橋頭,26.73,2.6,15.8,18.4,33.03,79.02,28.89,75.35,3.63
2015-11-12,橋頭,26.84,2.7,16.74,19.39,33.44,68.7,26.41,73.55,3.81
2015-11-19,橋頭,25.85,3.27,16.45,19.75,29.49,73.66,23.35,74.54,3.64
2015-11-26,橋頭,22.26,3.73,20.18,23.64,30.07,84.87,32.96,68.03,3.97
2015-12-03,橋頭,22.42,5.07,22.86,27.95,24.53,87.7,32.53,81.27,4.12
2015-12-10,橋頭,21.5,3.51,20.37,23.9,25.67,84.67,37.62,73.33,3.44
2015-12-17,橋頭,20.11,5.89,21.97,27.85,23.77,93.96,40.25,69.98,3.78
2015-12-24,橋頭,20.88,5.07,22.24,27.22,22.85,88.17,37.41,70.95,3.99
