日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2016-01-01,豐原,19.18,3.82,14.4,18.24,18.95,36.15,24.26,81.14,2.14
2016-01-08,豐原,15.98,2.01,10.06,11.94,27.07,24.69,18.41,77.55,1.69
2016-01-15,豐原,15.9,2.43,12.25,14.65,21.93,26.2,19.37,77.62,2.13
2016-01-22,豐原,11.39,3.19,10.81,13.98,25.91,28.46,16.26,72.6,1.97
2016-01-29,豐原,14.8,2.12,10.08,12.17,24.59,17.92,12.03,81.16,1.72
2016-02-05,豐原,13.7,1.52,7.7,9.23,45.09,48.21,33.13,57.49,3.02
2016-02-12,豐原,16.82,2.54,11.45,13.94,21.99,22.12,19.55,71.84,1.94
2016-02-19,豐原,15.42,3.25,13.85,17.1,26.55,34.81,29.85,75.54,2.51
2016-02-26,豐原,16.34,3.34,14.06,17.38,33.78,41.75,30.01,66.5,2.53
2016-03-04,豐原,19.57,2.66,13.93,16.5,28.41,28.67,25.5,71.66,2.71
2016-03-11,豐原,15.08,3.73,16.73,20.4,21.61,18.79,16.65,85.24,2.07
2016-03-18,豐原,18.35,3.0,15.26,18.29,24.4,30.52,25.95,85.61,2.22
2016-03-25,豐原,16.48,1.7,11.59,13.27,49.76,36.43,31.29,58.96,2.6
2016-04-01,豐原,23.89,2.58,15.54,18.06,30.01,54.73,50.43,74.93,3.76
2016-04-08,豐原,23.3,2.33,14.41,16.73,28.08,33.19,29.95,77.76,2.85
2016-04-15,豐原,23.82,2.26,13.3,15.5,29.46,32.73,24.98,78.4,2.93
2016-04-22,豐原,25.63,2.26,10.96,13.24,28.93,31.57,25.25,73.71,3.11
2016-04-29,豐原,24.94,2.4,12.17,14.43,35.6,42.55,35.14,72.89,3.51
2016-05-06,豐原,27.26,2.09,11.01,13.1,29.71,28.45,22.73,70.74,3.2
2016-05-13,豐原,24.99,1.54,9.07,10.6,36.58,33.17,22.76,75.02,2.31
2016-05-20,豐原,26.05,1.56,11.14,12.66,32.63,34.47,27.92,79.61,3.49
2016-05-27,豐原,29.53,1.87,6.94,8.76,26.41,21.38,15.79,68.41,2.88
2016-06-03,豐原,27.77,1.27,7.42,8.57,28.5,19.94,15.66,74.12,3.13
2016-06-10,豐原,27.02,0.8,4.47,5.15,25.13,12.84,10.32,74.92,2.72
2016-06-17,豐原,28.93,1.51,7.83,9.29,24.17,21.49,15.62,69.97,3.02
2016-06-24,豐原,28.73,1.4,7.24,8.52,24.2,18.45,14.73,72.53,3.44
2016-07-01,豐原,28.37,1.33,7.1,8.33,32.42,27.79,19.92,74.04,3.13
2016-07-08,豐原,28.54,1.75,5.44,7.18,23.69,19.26,13.25,69.2,2.77
2016-07-15,豐原,28.86,2.11,6.33,8.41,21.78,25.68,16.08,68.8,2.64
2016-07-22,豐原,29.23,2.57,9.23,11.8,29.32,31.11,24.08,67.06,3.18
2016-07-29,豐原,28.41,1.93,7.94,9.86,36.65,32.75,21.81,73.91,2.9
2016-08-05,豐原,28.45,1.99,8.73,10.7,30.72,28.93,18.58,74.98,2.9
2016-08-12,豐原,27.05,2.38,8.54,10.91,26.86,27.18,15.4,79.97,3.27
2016-08-19,豐原,28.62,1.43,8.25,9.68,36.43,42.21,26.33,74.8,3.02
2016-08-26,豐原,27.7,1.54,9.37,10.9,47.82,46.66,32.93,70.66,3.1
2016-09-02,豐原,27.14,2.14,7.22,9.32,27.98,17.78,10.63,77.34,2.62
2016-09-09,豐原,26.99,2.63,7.43,10.05,24.13,21.58,11.84,76.76,2.6
2016-09-16,豐原,26.39,1.57,7.19,8.76,33.55,27.6,15.92,73.42,2.53
2016-09-23,豐原,26.97,1.48,7.17,8.64,28.01,25.42,18.29,76.82,1.91
2016-09-30,豐原,27.01,,,,32.2,37.38,26.62,75.07,2.77
2016-10-07,豐原,24.84,2.37,5.86,8.21,25.02,17.92,12.94,79.8,1.94
2016-10-14,豐原,27.08,1.93,12.09,13.99,46.32,66.34,52.18,73.91,3.37
2016-10-21,豐原,26.99,2.11,11.47,13.63,31.11,42.36,30.89,75.85,3.33
2016-10-28,豐原,23.54,1.38,7.7,9.08,34.93,27.13,18.94,70.87,2.24
2016-11-04,豐原,22.17,1.84,10.11,11.91,37.48,30.58,22.68,71.17,2.47
2016-11-11,豐原,23.27,2.38,12.69,14.99,33.48,43.42,35.49,76.26,2.7
2016-11-18,豐原,22.38,2.56,10.81,13.2,25.46,27.97,22.23,77.83,2.27
2016-11-25,豐原,20.21,2.26,12.09,14.34,26.83,30.3,19.29,76.33,2.06
2016-12-02,豐原,20.56,2.11,9.72,11.77,27.21,37.68,24.45,74.6,2.34
2016-12-09,豐原,19.57,1.99,9.7,11.56,30.85,33.1,21.08,68.65,1.99
2016-12-16,豐原,19.16,2.31,14.01,16.33,32.22,46.4,31.4,68.79,2.86
2016-12-23,豐原,17.56,2.52,11.66,14.17,28.05,43.25,25.93,74.17,2.49
