日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2016-01-01,基隆,18.48,9.6,17.68,27.29,17.79,32.37,21.03,86.75,3.62
2016-01-08,基隆,16.05,3.58,10.59,14.16,31.67,31.67,20.79,84.14,1.89
2016-01-15,基隆,15.55,3.27,12.42,15.7,30.45,31.95,21.08,83.46,1.84
2016-01-22,基隆,13.3,4.98,9.4,14.34,32.72,25.87,13.38,70.4,2.22
2016-01-29,基隆,15.23,3.76,9.4,13.16,33.3,15.91,8.21,87.72,1.84
2016-02-05,基隆,15.35,1.77,10.44,12.18,41.58,41.83,26.45,61.28,2.65
2016-02-12,基隆,15.7,5.9,14.3,20.19,24.8,24.3,15.65,80.55,1.99
2016-02-19,基隆,15.3,2.11,9.42,11.46,40.77,47.66,20.21,75.48,2.41
2016-02-26,基隆,15.99,2.9,11.14,14.02,38.23,28.68,15.06,74.98,2.06
2016-03-04,基隆,18.73,7.38,18.32,25.73,22.36,26.16,16.34,87.11,3.75
2016-03-11,基隆,15.1,8.58,17.47,26.05,30.22,27.57,17.26,90.45,2.6
2016-03-18,基隆,17.58,8.01,15.56,23.54,34.03,34.56,21.21,90.24,2.3
2016-03-25,基隆,15.19,3.84,16.76,20.53,41.41,43.09,28.64,75.76,3.59
2016-04-01,基隆,21.82,7.12,19.03,26.18,27.07,43.93,32.43,87.63,3.81
2016-04-08,基隆,20.73,2.3,13.48,15.75,30.88,24.01,15.33,93.83,3.54
2016-04-15,基隆,22.23,4.61,15.96,20.57,33.58,30.38,17.4,87.68,2.8
2016-04-22,基隆,24.2,4.45,11.85,16.34,29.95,32.58,21.24,89.41,2.8
2016-04-29,基隆,24.69,2.73,14.29,17.07,40.84,47.95,30.25,79.77,3.17
2016-05-06,基隆,25.92,3.45,11.78,15.21,27.83,27.89,14.64,84.97,2.84
2016-05-13,基隆,23.88,1.54,7.9,9.47,38.92,23.62,11.28,87.57,1.83
2016-05-20,基隆,24.98,2.82,10.22,13.04,24.99,22.82,12.8,91.62,2.35
2016-05-27,基隆,29.21,3.53,12.29,15.82,22.92,24.96,12.46,80.97,3.57
2016-06-03,基隆,27.88,3.51,13.09,16.66,24.41,25.21,12.89,83.33,2.85
2016-06-10,基隆,27.38,4.95,12.21,17.18,14.79,20.37,8.65,86.32,1.94
2016-06-17,基隆,29.07,4.0,14.61,18.62,23.12,24.33,12.93,80.74,3.56
2016-06-24,基隆,29.71,3.41,13.83,17.21,24.43,23.31,14.51,79.4,3.86
2016-07-01,基隆,29.97,3.09,8.65,11.71,17.11,15.33,7.63,76.79,2.89
2016-07-08,基隆,28.62,2.78,10.05,12.8,22.72,21.06,11.22,85.88,2.47
2016-07-15,基隆,29.73,3.72,13.93,17.69,24.95,24.93,15.53,78.62,2.98
2016-07-22,基隆,29.86,2.59,12.81,15.39,32.75,24.51,17.88,75.64,3.11
2016-07-29,基隆,30.24,2.25,9.4,11.66,24.72,17.77,11.17,75.14,3.14
2016-08-05,基隆,29.42,2.76,9.67,12.41,21.53,15.68,9.03,81.9,2.97
2016-08-12,基隆,29.79,2.02,6.64,8.65,25.65,11.06,5.29,76.11,1.99
2016-08-19,基隆,29.36,2.79,9.8,12.59,26.62,21.75,15.72,79.88,2.74
2016-08-26,基隆,27.97,1.99,10.15,12.11,46.16,30.13,20.24,72.51,2.64
2016-09-02,基隆,27.9,2.95,10.99,13.92,24.8,19.57,11.47,87.68,3.0
2016-09-09,基隆,27.33,2.83,7.46,10.25,21.53,18.51,5.44,87.6,2.03
2016-09-16,基隆,26.24,2.34,6.65,8.99,30.9,26.32,10.29,84.11,2.35
2016-09-23,基隆,27.25,1.62,4.24,5.86,32.25,27.1,12.93,85.77,1.58
2016-09-30,基隆,27.8,2.69,5.54,8.22,20.86,16.54,7.59,81.62,2.01
2016-10-07,基隆,24.56,1.69,3.9,5.59,35.77,16.86,5.46,91.67,1.16
2016-10-14,基隆,26.66,2.07,3.44,5.52,19.92,17.92,6.24,89.85,1.11
2016-10-21,基隆,27.16,4.26,13.73,18.01,25.02,27.75,15.26,85.56,4.09
2016-10-28,基隆,22.77,1.48,4.77,6.24,40.03,26.2,11.05,80.64,1.18
2016-11-04,基隆,21.68,3.98,11.3,15.24,27.94,22.07,10.83,85.09,1.76
2016-11-11,基隆,23.38,4.09,12.04,16.11,31.61,28.69,14.68,81.6,1.92
2016-11-18,基隆,22.0,5.1,11.99,17.07,26.05,17.53,8.42,90.35,1.88
2016-11-25,基隆,20.34,2.06,6.82,8.86,34.98,28.79,12.93,84.21,1.65
2016-12-02,基隆,20.13,1.7,9.08,10.76,34.49,29.31,15.38,85.91,1.85
2016-12-09,基隆,19.26,2.8,8.79,11.55,37.01,28.67,14.9,82.26,2.16
2016-12-16,基隆,20.41,3.66,10.85,14.5,28.48,19.39,10.15,78.05,1.89
2016-12-23,基隆,18.21,2.29,7.58,9.86,36.57,27.95,15.26,77.38,1.62
