日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2016-01-01,平鎮,18.46,8.35,22.29,30.67,17.61,56.71,27.22,89.54,3.46
2016-01-08,平鎮,15.57,3.1,19.68,22.71,24.13,44.5,21.21,85.8,3.0
2016-01-15,平鎮,15.14,2.46,18.17,20.64,24.94,46.43,23.1,86.21,2.74
2016-01-22,平鎮,11.73,8.22,19.99,28.17,19.73,40.84,17.7,79.29,3.38
2016-01-29,平鎮,14.49,3.51,18.23,21.72,22.45,28.2,10.4,90.95,2.35
2016-02-05,平鎮,14.46,2.53,17.75,20.33,33.9,68.27,36.34,62.93,2.62
2016-02-12,平鎮,15.86,3.29,16.49,19.77,22.1,37.66,17.16,81.22,2.52
2016-02-19,平鎮,14.09,2.69,15.74,18.43,28.52,56.52,21.09,84.77,2.25
2016-02-26,平鎮,16.46,2.45,18.31,20.75,33.61,45.71,20.97,73.99,2.72
2016-03-04,平鎮,18.66,8.87,24.17,33.01,21.63,55.76,31.88,86.3,3.26
2016-03-11,平鎮,14.74,8.41,24.51,32.97,26.98,41.57,20.6,92.6,2.63
2016-03-18,平鎮,17.51,6.44,21.58,28.03,31.86,48.72,22.72,92.02,2.7
2016-03-25,平鎮,15.94,3.11,23.54,26.66,43.12,72.42,34.37,71.15,4.07
2016-04-01,平鎮,23.74,4.77,21.78,26.57,25.79,75.03,44.64,84.33,3.65
2016-04-08,平鎮,21.7,3.51,20.22,23.73,25.71,47.78,23.99,92.65,3.28
2016-04-15,平鎮,23.05,3.44,20.11,23.57,33.81,50.62,23.12,85.48,3.32
2016-04-22,平鎮,25.25,3.4,17.01,20.38,29.06,55.76,30.21,82.93,3.59
2016-04-29,平鎮,25.23,2.59,18.39,20.98,43.33,69.85,35.99,74.43,3.84
2016-05-06,平鎮,26.98,3.56,16.18,19.76,28.62,47.13,19.64,77.36,3.45
2016-05-13,平鎮,25.01,1.7,14.41,16.1,37.49,44.94,16.79,76.94,3.37
2016-05-20,平鎮,26.01,3.89,21.37,25.22,24.71,49.12,23.6,84.64,4.51
2016-05-27,平鎮,29.68,2.78,13.67,16.45,19.82,42.14,14.27,76.11,2.58
2016-06-03,平鎮,28.6,2.48,14.37,16.85,26.35,39.54,14.64,78.15,2.91
2016-06-10,平鎮,28.24,3.64,11.93,15.58,19.86,29.21,9.62,77.23,2.16
2016-06-17,平鎮,30.14,3.17,11.46,14.59,20.85,33.9,10.96,71.94,3.02
2016-06-24,平鎮,30.28,2.93,11.92,14.88,22.6,31.64,12.14,72.63,3.3
2016-07-01,平鎮,30.15,2.73,9.63,12.36,21.41,28.16,10.62,71.44,2.84
2016-07-08,平鎮,29.66,3.16,12.52,15.68,22.28,30.08,9.14,74.82,2.76
2016-07-15,平鎮,30.49,3.53,11.48,14.99,18.88,36.08,15.19,68.59,2.75
2016-07-22,平鎮,31.03,2.71,14.89,17.57,27.92,42.97,25.02,68.65,3.77
2016-07-29,平鎮,30.79,2.07,12.45,14.57,31.53,35.45,,68.92,2.89
2016-08-05,平鎮,30.02,2.88,12.99,15.87,23.47,31.8,,74.95,3.5
2016-08-12,平鎮,29.22,2.6,14.84,17.37,30.1,35.12,11.29,77.84,3.34
2016-08-19,平鎮,30.23,2.06,13.23,15.29,26.9,40.59,14.26,70.84,3.42
2016-08-26,平鎮,28.78,1.79,15.37,17.16,50.15,50.75,21.25,66.51,3.56
2016-09-02,平鎮,28.61,3.33,15.52,18.86,22.94,30.82,11.02,78.24,2.81
2016-09-09,平鎮,27.83,3.54,14.2,17.73,20.47,30.38,8.89,81.74,2.79
2016-09-16,平鎮,26.68,1.96,11.54,13.51,32.58,34.25,9.8,76.18,2.3
2016-09-23,平鎮,27.46,2.84,11.4,14.21,25.4,34.1,10.73,79.55,2.69
2016-09-30,平鎮,28.17,4.94,14.11,19.01,21.19,33.62,11.13,74.26,2.85
2016-10-07,平鎮,24.15,3.35,12.32,15.69,28.32,24.91,6.25,88.55,2.47
2016-10-14,平鎮,28.2,2.4,9.08,11.48,17.71,26.5,8.62,73.94,2.41
2016-10-21,平鎮,27.97,3.85,17.91,21.79,29.05,51.57,24.83,78.04,4.08
2016-10-28,平鎮,,2.16,13.43,15.55,34.46,38.72,13.08,,3.18
2016-11-04,平鎮,22.23,2.71,17.98,20.71,32.84,40.62,15.88,78.98,3.55
2016-11-11,平鎮,23.83,3.49,21.89,25.38,33.11,54.69,23.95,77.74,4.34
2016-11-18,平鎮,22.3,4.78,21.32,26.12,22.28,33.52,12.55,82.39,3.67
2016-11-25,平鎮,20.48,2.01,13.84,15.85,30.86,38.83,11.86,79.04,2.12
2016-12-02,平鎮,20.54,2.25,15.06,17.27,31.27,42.81,14.29,79.47,3.15
2016-12-09,平鎮,19.47,2.5,14.85,17.32,33.37,44.05,13.86,76.32,3.01
2016-12-16,平鎮,20.14,6.33,21.0,27.34,28.05,42.57,18.26,71.37,3.35
2016-12-23,平鎮,18.22,2.35,14.96,17.3,32.72,43.06,16.59,72.51,2.5
