日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2016-01-01,永和,19.24,31.96,27.88,59.85,13.95,40.57,23.61,81.39,2.91
2016-01-08,永和,16.44,14.4,22.73,37.14,23.27,33.36,20.38,79.59,2.5
2016-01-15,永和,15.42,19.39,24.18,43.57,20.67,34.66,22.54,81.82,2.09
2016-01-22,永和,12.71,29.75,25.1,54.83,19.7,32.4,17.2,72.17,2.87
2016-01-29,永和,15.34,17.99,21.81,39.79,21.3,16.03,8.01,84.18,2.02
2016-02-05,永和,14.96,16.3,27.24,43.56,23.67,51.57,31.66,62.68,2.75
2016-02-12,永和,16.46,10.62,18.48,29.13,22.67,25.85,15.8,74.35,1.61
2016-02-19,永和,15.04,15.5,22.2,37.69,27.42,47.22,20.68,75.53,2.1
2016-02-26,永和,16.59,10.4,21.21,31.65,30.61,32.54,14.96,67.1,1.82
2016-03-04,永和,20.23,21.49,27.92,49.41,17.52,32.93,19.24,72.74,2.52
2016-03-11,永和,15.27,25.96,29.2,55.23,21.7,31.99,17.94,84.83,2.25
2016-03-18,永和,18.03,32.76,27.53,60.25,28.21,43.04,23.34,82.55,2.72
2016-03-25,永和,16.23,15.0,31.87,46.89,32.15,53.1,30.79,65.74,2.73
2016-04-01,永和,24.33,14.62,32.36,46.93,21.86,55.2,34.4,70.83,3.53
2016-04-08,永和,22.47,18.87,28.71,47.66,18.91,35.61,20.42,80.57,3.36
2016-04-15,永和,23.25,20.48,28.76,49.22,28.26,39.72,20.83,75.39,2.73
2016-04-22,永和,25.68,16.44,26.09,42.54,22.19,44.11,24.91,73.58,3.55
2016-04-29,永和,25.49,10.9,25.74,36.65,36.07,56.74,31.01,67.06,2.89
2016-05-06,永和,26.95,11.18,21.83,33.01,27.48,34.84,17.11,69.38,2.75
2016-05-13,永和,24.96,6.76,15.44,22.13,34.23,25.64,11.08,70.52,1.97
2016-05-20,永和,26.35,10.67,23.3,33.95,22.14,33.63,18.59,75.53,3.75
2016-05-27,永和,30.13,13.41,19.91,33.33,19.83,27.15,11.87,66.61,2.74
2016-06-03,永和,28.97,13.9,20.11,33.99,20.83,27.91,12.09,68.35,2.65
2016-06-10,永和,29.02,15.24,17.6,32.79,12.88,23.21,7.22,68.25,1.92
2016-06-17,永和,29.95,10.27,19.94,30.2,22.62,25.33,10.96,65.08,3.21
2016-06-24,永和,29.8,10.91,20.98,31.93,24.39,27.83,13.26,67.12,2.74
2016-07-01,永和,30.09,10.52,15.31,25.83,15.89,20.29,7.75,65.16,1.96
2016-07-08,永和,28.99,9.41,16.9,26.27,20.36,22.11,8.28,72.37,2.05
2016-07-15,永和,30.11,10.88,17.21,28.17,22.11,28.57,11.34,64.19,2.22
2016-07-22,永和,31.48,8.51,21.46,29.94,30.34,32.47,19.71,58.46,3.71
2016-07-29,永和,31.43,8.19,17.23,25.46,24.76,23.8,12.09,59.8,2.66
2016-08-05,永和,30.41,12.67,18.03,30.69,16.51,20.14,10.6,69.87,3.25
2016-08-12,永和,30.14,9.66,15.22,24.81,19.62,18.07,8.08,66.07,2.49
2016-08-19,永和,29.81,8.88,17.03,25.9,24.39,27.42,14.43,65.1,3.13
2016-08-26,永和,28.81,7.03,19.87,26.89,39.27,37.57,20.98,63.03,2.86
2016-09-02,永和,29.06,12.23,18.22,30.45,19.9,24.18,12.97,73.57,2.49
2016-09-09,永和,28.28,11.96,15.78,27.75,18.07,21.09,8.54,77.09,2.37
2016-09-16,永和,26.95,9.13,13.99,23.15,24.74,27.78,10.88,75.07,1.79
2016-09-23,永和,27.97,7.05,11.91,18.96,25.96,25.94,12.11,75.89,1.64
2016-09-30,永和,28.49,11.94,13.98,25.98,15.21,21.08,9.05,68.08,2.14
2016-10-07,永和,24.72,12.27,17.09,29.34,23.53,15.37,6.11,85.18,1.73
2016-10-14,永和,28.03,6.32,8.46,14.79,16.63,15.0,5.8,74.39,1.36
2016-10-21,永和,28.7,12.47,24.79,37.22,24.88,37.46,19.67,71.83,3.47
2016-10-28,永和,23.09,5.9,15.26,21.18,31.81,31.51,12.38,75.43,2.93
2016-11-04,永和,22.79,8.45,15.52,23.99,24.78,24.57,11.19,75.11,2.06
2016-11-11,永和,24.7,9.69,22.89,32.51,29.46,39.82,18.84,71.23,3.14
2016-11-18,永和,22.99,13.71,21.27,34.98,19.38,20.92,9.44,79.1,2.85
2016-11-25,永和,21.15,8.06,16.33,24.37,28.65,32.15,12.41,76.02,2.19
2016-12-02,永和,21.15,7.0,17.99,25.0,31.0,36.19,15.81,76.7,2.23
2016-12-09,永和,19.93,12.0,20.02,32.05,28.57,35.19,16.1,74.38,2.14
2016-12-16,永和,21.48,14.69,20.54,35.24,23.81,28.66,13.59,67.25,2.24
2016-12-23,永和,19.17,7.77,15.79,23.58,32.17,32.1,16.0,69.57,2.09
