日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2016-01-01,陽明,13.76,0.82,2.15,2.97,39.01,8.86,4.87,98.5,1.43
2016-01-08,陽明,9.85,0.7,2.24,2.94,44.59,10.78,5.86,99.29,1.65
2016-01-15,陽明,9.64,0.84,2.49,3.33,44.04,14.04,8.52,99.31,1.6
2016-01-22,陽明,7.72,0.9,2.01,2.9,35.38,13.48,8.39,93.73,1.48
2016-01-29,陽明,7.69,0.43,1.72,2.13,41.52,4.14,1.82,99.65,1.11
2016-02-05,陽明,8.91,0.55,2.84,3.39,51.7,27.51,18.44,74.25,2.15
2016-02-12,陽明,10.25,0.5,2.58,3.07,38.45,12.06,7.47,95.09,1.36
2016-02-19,陽明,9.18,0.62,3.23,3.85,47.37,26.07,11.76,97.9,1.6
2016-02-26,陽明,10.08,0.47,2.28,2.74,51.55,21.27,12.63,90.26,1.69
2016-03-04,陽明,13.82,0.61,3.9,4.51,43.88,18.82,11.23,92.02,1.64
2016-03-11,陽明,9.59,0.71,2.53,3.23,49.15,10.42,6.63,99.45,1.44
2016-03-18,陽明,12.55,0.51,2.84,3.34,52.24,15.91,11.16,99.72,1.26
2016-03-25,陽明,8.37,0.51,3.59,4.08,62.04,30.08,21.52,85.04,2.2
2016-04-01,陽明,16.44,0.67,5.2,5.87,46.25,31.83,27.3,95.33,2.24
2016-04-08,陽明,16.86,0.63,4.38,5.01,42.49,13.54,10.38,99.32,1.28
2016-04-15,陽明,17.83,0.71,3.12,3.81,49.91,15.59,10.68,97.88,1.24
2016-04-22,陽明,19.49,0.85,4.67,5.52,39.78,21.67,14.84,96.02,1.82
2016-04-29,陽明,18.91,0.61,4.83,5.38,55.11,34.2,26.81,91.24,2.3
2016-05-06,陽明,20.79,0.94,4.55,5.46,42.33,20.0,15.51,91.3,2.35
2016-05-13,陽明,17.7,0.61,2.46,3.07,45.77,14.31,9.6,95.43,1.84
2016-05-20,陽明,20.96,0.68,2.36,3.02,39.49,15.71,11.46,94.15,1.56
2016-05-27,陽明,23.54,1.06,4.5,5.55,30.08,16.68,10.56,89.15,1.98
2016-06-03,陽明,22.5,0.83,3.96,4.78,34.12,15.18,10.35,90.68,2.23
2016-06-10,陽明,22.64,0.85,3.24,4.09,27.33,11.8,6.27,89.77,1.42
2016-06-17,陽明,23.65,0.9,4.6,5.48,33.2,16.57,11.94,87.65,2.4
2016-06-24,陽明,24.08,1.04,4.44,5.47,32.75,15.55,11.72,88.23,2.32
2016-07-01,陽明,23.64,0.88,2.48,3.36,23.6,9.96,6.23,88.02,2.3
2016-07-08,陽明,23.04,0.85,2.54,3.39,29.72,12.48,7.0,92.28,1.8
2016-07-15,陽明,23.52,0.98,4.15,5.12,29.39,18.67,12.78,85.48,2.07
2016-07-22,陽明,24.01,0.85,4.98,5.82,42.69,22.46,19.45,81.6,2.48
2016-07-29,陽明,23.61,1.03,2.1,3.11,32.68,14.69,10.87,84.71,2.47
2016-08-05,陽明,23.12,0.91,1.71,2.62,28.58,10.12,6.64,90.67,1.63
2016-08-12,陽明,23.01,1.31,1.82,3.07,29.44,8.32,4.9,84.88,1.51
2016-08-19,陽明,23.12,0.97,2.33,3.3,33.3,16.67,12.26,82.53,2.04
2016-08-26,陽明,21.62,0.55,3.19,3.73,62.19,26.08,20.89,79.51,1.99
2016-09-02,陽明,22.38,1.07,2.8,3.85,32.28,12.84,8.88,91.95,2.09
2016-09-09,陽明,21.9,1.25,2.27,3.51,27.33,10.37,6.15,93.63,1.6
2016-09-16,陽明,20.16,0.65,1.03,1.67,38.15,14.04,4.54,94.29,1.72
2016-09-23,陽明,20.9,0.56,0.9,1.46,33.91,13.93,9.37,94.45,1.16
2016-09-30,陽明,21.29,0.88,1.16,2.04,25.03,10.34,5.91,91.54,2.16
2016-10-07,陽明,19.5,3.14,9.14,12.24,20.05,5.31,2.81,96.57,1.48
2016-10-14,陽明,21.1,1.9,4.47,6.16,16.62,7.5,3.7,96.47,3.19
2016-10-21,陽明,21.9,1.01,4.12,5.12,41.45,19.75,16.76,90.65,2.76
2016-10-28,陽明,16.2,0.43,1.66,2.09,44.01,11.16,6.36,96.95,1.59
2016-11-04,陽明,16.23,0.55,2.25,2.8,42.63,12.0,7.46,93.67,2.06
2016-11-11,陽明,17.88,0.58,3.13,3.72,45.14,14.14,9.25,90.63,2.4
2016-11-18,陽明,17.4,0.53,1.7,2.22,36.78,7.58,4.08,88.36,1.7
2016-11-25,陽明,14.02,0.8,2.71,3.51,40.53,15.52,8.49,96.24,1.87
2016-12-02,陽明,14.33,0.6,1.66,2.24,44.29,13.18,8.54,97.85,1.61
2016-12-09,陽明,13.03,0.72,2.2,2.89,45.08,13.59,8.49,93.91,1.84
2016-12-16,陽明,14.14,0.69,2.02,2.7,39.43,11.86,7.07,87.81,1.72
2016-12-23,陽明,10.6,0.65,2.53,3.18,44.43,17.6,12.01,94.16,1.74
