日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2016-01-01,苗栗,18.75,7.14,19.93,27.12,17.24,62.28,32.22,87.08,3.22
2016-01-08,苗栗,16.15,3.42,16.73,20.14,26.72,50.8,21.62,82.02,3.14
2016-01-15,苗栗,15.84,4.33,19.47,23.81,22.35,51.12,23.63,82.83,3.24
2016-01-22,苗栗,11.71,6.31,16.52,22.84,22.64,43.71,14.44,77.61,2.94
2016-01-29,苗栗,14.92,4.12,18.51,22.65,22.18,35.12,12.22,87.12,2.9
2016-02-05,苗栗,13.8,3.04,16.38,19.4,36.13,70.27,33.07,65.23,3.33
2016-02-12,苗栗,16.39,3.49,14.65,18.13,21.13,41.12,18.21,77.05,2.52
2016-02-19,苗栗,14.83,3.63,15.42,19.04,29.26,63.4,29.55,78.9,2.1
2016-02-26,苗栗,15.98,4.2,20.66,24.86,28.51,61.44,31.34,74.37,2.81
2016-03-04,苗栗,18.79,5.83,20.93,26.73,20.25,60.73,38.06,82.98,3.95
2016-03-11,苗栗,14.74,8.71,21.26,30.01,19.88,44.44,25.53,89.67,2.74
2016-03-18,苗栗,17.69,5.3,20.16,25.5,24.64,60.05,33.45,91.47,2.63
2016-03-25,苗栗,16.17,2.54,20.26,22.78,39.56,72.63,39.77,67.66,3.4
2016-04-01,苗栗,23.6,3.25,15.95,19.19,26.97,76.92,48.18,81.01,3.27
2016-04-08,苗栗,22.41,3.21,16.24,19.38,23.14,53.17,33.57,87.09,2.3
2016-04-15,苗栗,23.58,2.29,14.57,16.83,30.43,50.24,29.54,81.85,2.52
2016-04-22,苗栗,25.92,2.64,12.96,15.57,26.09,54.2,32.61,78.98,3.0
2016-04-29,苗栗,25.36,2.31,14.47,16.79,34.61,63.12,40.14,75.09,3.14
2016-05-06,苗栗,27.22,2.9,12.47,15.4,25.52,44.97,27.45,75.52,3.3
2016-05-13,苗栗,24.99,1.73,13.24,14.98,34.95,48.79,29.57,77.47,2.92
2016-05-20,苗栗,26.3,4.54,16.98,21.46,21.05,45.95,28.06,84.4,3.29
2016-05-27,苗栗,30.36,1.69,7.6,9.31,22.24,34.9,18.99,69.46,2.46
2016-06-03,苗栗,29.0,2.02,9.62,11.63,25.82,34.73,18.97,74.18,2.48
2016-06-10,苗栗,28.42,1.61,6.64,8.24,22.11,24.88,13.33,74.52,1.71
2016-06-17,苗栗,30.19,2.1,8.73,10.84,19.76,29.29,17.92,70.32,2.52
2016-06-24,苗栗,30.45,2.23,8.52,10.74,20.44,30.42,17.4,71.2,2.49
2016-07-01,苗栗,30.07,2.32,8.59,10.91,24.44,36.3,18.99,73.02,2.46
2016-07-08,苗栗,30.13,2.57,7.3,9.87,22.13,28.11,14.06,67.38,1.68
2016-07-15,苗栗,30.53,2.59,8.86,11.4,18.61,33.09,19.2,65.99,2.1
2016-07-22,苗栗,30.71,2.66,11.19,13.79,24.39,38.7,13.67,67.76,3.03
2016-07-29,苗栗,30.22,2.59,10.97,13.49,30.21,38.62,12.77,71.85,2.59
2016-08-05,苗栗,29.8,3.4,12.19,15.54,22.73,35.12,12.63,75.48,2.8
2016-08-12,苗栗,28.21,3.11,11.52,14.57,22.73,32.39,9.85,81.57,2.22
2016-08-19,苗栗,29.71,3.93,11.92,15.84,25.29,48.21,18.76,76.12,2.97
2016-08-26,苗栗,28.7,2.09,12.91,15.05,48.74,59.19,24.77,67.23,2.77
2016-09-02,苗栗,28.67,2.29,10.3,12.54,23.35,35.04,5.5,76.25,1.96
2016-09-09,苗栗,27.9,4.31,11.27,15.41,18.6,34.02,8.7,79.76,2.13
2016-09-16,苗栗,27.05,2.69,11.38,14.08,30.75,40.55,13.08,73.35,2.47
2016-09-23,苗栗,27.22,3.05,12.09,15.1,18.75,35.95,11.17,79.33,2.34
2016-09-30,苗栗,27.64,4.06,13.43,17.21,23.21,44.92,18.52,78.3,2.61
2016-10-07,苗栗,24.76,3.01,11.64,14.43,26.65,32.39,11.97,85.81,2.16
2016-10-14,苗栗,27.89,2.9,15.18,18.05,37.32,69.58,36.67,76.56,3.14
2016-10-21,苗栗,27.85,3.1,13.09,16.03,26.66,49.4,20.98,78.7,2.89
2016-10-28,苗栗,23.74,2.39,11.66,14.04,34.69,40.69,14.65,72.23,2.72
2016-11-04,苗栗,22.47,2.7,15.1,17.83,30.82,46.2,20.01,77.15,2.63
2016-11-11,苗栗,23.71,4.67,17.79,22.45,30.92,63.23,30.0,80.31,2.94
2016-11-18,苗栗,22.61,4.39,17.07,21.42,23.76,44.05,18.85,83.0,2.9
2016-11-25,苗栗,20.62,4.23,15.73,20.02,23.7,45.89,16.29,79.33,2.35
2016-12-02,苗栗,20.9,3.11,14.02,17.17,28.44,54.76,20.65,77.43,2.99
2016-12-09,苗栗,19.51,5.33,14.81,20.15,27.32,47.48,18.91,75.35,2.66
2016-12-16,苗栗,19.39,5.36,20.79,26.16,24.17,58.27,28.8,74.16,2.94
2016-12-23,苗栗,17.88,5.52,16.31,21.83,25.02,52.97,22.06,74.58,2.44
