日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2016-01-01,臺東,22.17,2.37,6.44,8.8,27.26,16.64,6.43,78.27,1.51
2016-01-08,臺東,19.95,2.0,5.98,7.96,31.43,14.94,8.32,74.45,1.16
2016-01-15,臺東,19.78,2.42,6.48,8.9,28.19,19.23,11.16,75.64,1.16
2016-01-22,臺東,16.15,2.94,6.54,9.48,26.95,13.18,7.04,76.27,1.43
2016-01-29,臺東,20.06,2.3,6.58,8.92,29.24,12.36,4.68,74.73,1.17
2016-02-05,臺東,18.17,2.01,7.67,9.66,37.38,31.58,18.9,67.41,1.32
2016-02-12,臺東,19.58,2.11,6.07,8.16,27.2,17.96,7.92,72.67,1.12
2016-02-19,臺東,19.53,1.79,5.71,7.47,36.05,28.83,12.77,69.14,1.19
2016-02-26,臺東,19.61,1.49,5.46,6.97,38.11,26.86,11.55,64.58,1.16
2016-03-04,臺東,22.14,1.94,5.37,7.3,23.5,14.98,6.35,77.45,1.29
2016-03-11,臺東,19.02,2.11,6.76,8.86,31.07,17.21,7.73,77.05,1.39
2016-03-18,臺東,21.83,4.7,7.61,12.31,18.91,24.51,12.77,80.82,1.53
2016-03-25,臺東,18.54,1.99,7.16,9.16,40.55,34.43,19.61,69.78,1.26
2016-04-01,臺東,24.92,1.76,6.67,8.43,25.44,32.28,18.11,77.26,1.38
2016-04-08,臺東,25.38,1.7,6.54,8.24,24.2,24.46,12.46,77.12,1.32
2016-04-15,臺東,25.85,2.01,5.69,7.67,27.64,24.94,10.55,74.66,1.57
2016-04-22,臺東,26.86,1.9,5.34,7.23,22.38,23.99,11.56,74.38,1.55
2016-04-29,臺東,26.18,1.53,6.07,7.61,32.78,35.14,19.17,71.23,1.62
2016-05-06,臺東,27.95,2.43,5.73,8.16,18.88,18.4,7.0,71.86,1.5
2016-05-13,臺東,26.51,1.69,4.84,6.51,27.58,14.26,6.24,75.41,1.26
2016-05-20,臺東,27.26,1.93,5.7,7.61,21.18,15.91,7.43,80.05,1.25
2016-05-27,臺東,29.94,2.15,5.35,7.5,18.12,23.95,9.88,72.6,1.57
2016-06-03,臺東,28.91,1.74,5.32,7.03,19.64,17.07,7.6,73.83,1.43
2016-06-10,臺東,28.17,2.43,5.8,8.19,17.09,21.29,6.19,75.63,1.17
2016-06-17,臺東,30.16,2.91,4.03,6.93,12.42,13.74,5.55,69.36,1.44
2016-06-24,臺東,30.38,3.31,3.83,7.13,10.15,14.53,3.96,70.26,1.3
2016-07-01,臺東,30.35,3.5,3.48,6.97,10.76,12.38,4.31,68.5,1.34
2016-07-08,臺東,29.1,2.59,4.3,6.84,21.54,,7.67,76.87,1.29
2016-07-15,臺東,30.52,2.32,4.55,6.87,20.76,23.92,11.21,67.88,1.32
2016-07-22,臺東,30.43,2.46,4.13,6.59,17.79,30.96,9.51,68.03,1.71
2016-07-29,臺東,29.62,2.54,4.59,7.11,17.59,55.41,9.75,71.46,1.13
2016-08-05,臺東,29.92,2.31,4.46,6.76,19.48,20.45,7.74,69.63,1.27
2016-08-12,臺東,27.9,2.84,6.23,9.05,15.35,19.81,5.59,78.79,1.51
2016-08-19,臺東,29.53,2.37,4.5,6.84,19.92,25.14,10.51,69.37,1.24
2016-08-26,臺東,28.19,2.21,5.83,8.02,30.85,35.99,14.95,70.8,1.21
2016-09-02,臺東,28.42,2.36,5.72,8.04,17.75,25.96,8.11,75.18,1.3
2016-09-09,臺東,28.26,2.28,3.39,5.65,18.14,26.58,3.88,77.77,1.2
2016-09-16,臺東,27.6,2.53,4.66,7.18,25.97,29.17,7.35,72.73,1.34
2016-09-23,臺東,28.04,2.46,4.18,6.62,26.69,46.02,11.68,74.96,1.27
2016-09-30,臺東,27.13,3.23,4.25,7.47,14.95,22.14,5.65,76.5,1.32
2016-10-07,臺東,25.79,3.86,5.3,9.18,13.3,13.11,3.3,85.15,1.34
2016-10-14,臺東,27.82,2.99,3.36,6.33,15.88,32.66,5.03,74.2,1.35
2016-10-21,臺東,28.33,2.42,4.47,6.87,19.13,24.87,5.0,77.87,1.24
2016-10-28,臺東,25.9,2.61,4.25,6.84,30.61,60.75,5.15,68.59,1.6
2016-11-04,臺東,24.6,2.17,5.27,7.43,28.71,29.38,5.99,68.32,1.21
2016-11-11,臺東,24.21,1.53,5.21,6.74,28.44,27.4,8.8,69.49,1.26
2016-11-18,臺東,24.65,2.42,5.14,7.54,20.94,19.16,4.53,75.37,0.94
2016-11-25,臺東,22.42,2.24,6.32,8.57,26.84,28.74,8.08,75.75,0.97
2016-12-02,臺東,23.74,1.89,6.01,7.9,28.62,33.72,11.57,70.51,1.54
2016-12-09,臺東,22.41,1.99,5.12,7.12,30.1,27.14,8.36,70.29,1.52
2016-12-16,臺東,21.74,2.18,5.47,7.65,25.1,30.0,8.13,68.85,1.79
2016-12-23,臺東,20.79,2.02,5.78,7.81,29.41,42.02,10.14,65.65,1.31
