日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2016-01-01,馬祖,15.05,2.03,9.27,11.28,36.64,54.88,38.52,84.75,3.17
2016-01-08,馬祖,12.13,1.55,6.44,7.97,37.88,45.54,33.65,82.27,2.74
2016-01-15,馬祖,10.97,2.13,7.73,9.72,39.05,60.25,43.48,83.89,4.16
2016-01-22,馬祖,8.0,2.02,5.86,7.86,34.31,25.73,14.43,74.39,2.15
2016-01-29,馬祖,9.01,1.81,5.85,7.59,38.59,38.44,26.17,81.28,2.4
2016-02-05,馬祖,11.52,1.76,5.07,6.81,51.44,65.02,41.46,69.06,3.04
2016-02-12,馬祖,12.3,2.21,5.0,7.2,40.59,33.14,20.78,78.07,2.06
2016-02-19,馬祖,10.96,1.49,5.5,6.98,46.27,69.52,29.81,79.77,2.59
2016-02-26,馬祖,12.02,1.53,6.96,8.42,49.75,61.43,36.71,78.41,3.0
2016-03-04,馬祖,14.78,1.97,7.86,9.83,42.62,38.59,22.97,83.73,2.54
2016-03-11,馬祖,11.07,1.33,7.54,8.76,48.84,60.85,39.44,81.1,3.06
2016-03-18,馬祖,13.56,1.76,8.13,9.83,45.63,46.39,27.54,84.83,2.57
2016-03-25,馬祖,13.37,2.04,10.76,12.78,56.75,69.64,43.85,71.74,3.48
2016-04-01,馬祖,17.83,1.46,9.74,11.08,43.85,48.89,31.65,90.42,2.66
2016-04-08,馬祖,16.41,1.99,6.02,7.98,43.52,21.1,13.5,94.99,2.22
2016-04-15,馬祖,18.11,2.07,5.57,7.63,52.88,36.69,20.86,87.56,2.29
2016-04-22,馬祖,19.31,1.85,5.92,7.76,54.64,39.89,24.4,93.16,2.24
2016-04-29,馬祖,21.58,1.63,7.94,9.55,58.96,64.31,37.7,84.01,3.4
2016-05-06,馬祖,22.84,1.55,6.7,8.24,43.57,44.09,24.09,87.94,2.64
2016-05-13,馬祖,21.17,1.53,5.63,7.12,56.44,41.04,23.41,83.27,2.52
2016-05-20,馬祖,22.05,1.4,7.6,8.94,54.02,47.05,30.76,91.82,2.44
2016-05-27,馬祖,25.39,1.92,5.1,7.01,41.4,35.37,16.64,91.35,2.47
2016-06-03,馬祖,25.08,1.35,5.74,7.04,52.92,36.8,21.57,89.78,2.85
2016-06-10,馬祖,25.96,2.7,5.78,8.35,30.64,23.12,9.9,92.93,2.5
2016-06-17,馬祖,27.34,2.08,6.33,8.38,29.95,28.16,11.47,87.83,3.02
2016-06-24,馬祖,27.92,1.75,4.29,5.91,33.42,28.95,12.49,86.06,2.61
2016-07-01,馬祖,28.73,1.59,3.5,5.08,20.21,21.19,6.16,87.35,2.48
2016-07-08,馬祖,27.71,0.84,2.77,3.6,26.78,24.63,6.01,89.64,2.3
2016-07-15,馬祖,27.83,1.49,6.34,7.85,24.71,36.81,15.84,88.02,3.2
2016-07-22,馬祖,28.85,1.0,5.15,6.13,36.83,40.71,20.79,86.04,3.35
2016-07-29,馬祖,29.34,0.84,4.66,5.49,35.6,38.3,16.67,84.73,3.0
2016-08-05,馬祖,29.07,1.09,5.31,6.39,36.98,32.84,15.01,85.36,2.75
2016-08-12,馬祖,29.1,0.83,2.08,2.89,29.69,19.57,5.01,87.04,2.26
2016-08-19,馬祖,29.74,,,,41.59,38.6,16.92,83.7,2.79
2016-08-26,馬祖,28.26,0.94,6.09,7.0,62.95,50.74,27.25,75.59,3.04
2016-09-02,馬祖,27.87,1.14,3.3,4.44,48.07,34.82,18.81,84.61,2.41
2016-09-09,馬祖,26.06,0.76,2.48,3.22,46.05,24.52,10.24,88.59,2.11
2016-09-16,馬祖,26.76,0.86,3.77,4.61,46.59,35.54,15.91,77.07,2.71
2016-09-23,馬祖,26.51,0.61,3.12,3.72,44.26,38.78,18.12,83.7,2.36
2016-09-30,馬祖,27.14,0.96,3.56,4.5,38.11,34.23,16.82,86.47,2.96
2016-10-07,馬祖,23.31,1.07,2.63,3.65,43.87,33.52,12.18,82.39,2.44
2016-10-14,馬祖,24.14,0.74,2.66,3.38,43.65,41.13,17.32,90.57,2.07
2016-10-21,馬祖,25.52,1.16,5.66,6.78,33.3,39.07,13.85,90.12,2.5
2016-10-28,馬祖,21.36,0.77,3.76,4.52,45.27,40.06,17.6,77.29,2.39
2016-11-04,馬祖,20.15,0.97,4.84,5.79,42.39,40.07,20.86,82.36,2.74
2016-11-11,馬祖,20.6,1.0,6.36,7.36,46.19,53.05,26.91,85.43,2.68
2016-11-18,馬祖,19.74,1.67,8.79,10.44,26.58,32.61,13.67,89.42,2.64
2016-11-25,馬祖,16.05,0.92,5.59,6.51,35.93,45.94,19.89,83.38,2.43
2016-12-02,馬祖,16.71,0.96,6.68,7.64,48.71,64.52,35.62,76.54,3.22
2016-12-09,馬祖,15.95,1.16,7.22,8.39,43.48,53.39,30.76,79.86,2.93
2016-12-16,馬祖,16.6,1.45,8.09,9.54,37.43,40.12,20.22,82.54,2.79
2016-12-23,馬祖,13.82,1.12,7.36,8.49,38.37,48.81,25.87,77.47,3.03
