日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2016-01-01,善化,21.45,3.13,16.66,19.83,18.73,64.18,37.88,81.89,2.49
2016-01-08,善化,19.38,2.16,15.83,17.87,24.36,51.8,30.19,80.02,2.99
2016-01-15,善化,19.11,3.88,20.26,24.05,19.19,60.52,37.28,80.03,3.66
2016-01-22,善化,15.14,2.15,15.32,17.36,24.81,47.81,25.46,74.98,3.02
2016-01-29,善化,16.83,2.28,15.06,17.29,21.55,37.85,21.84,81.34,2.5
2016-02-05,善化,15.63,1.77,13.11,14.85,38.07,71.53,46.82,69.1,2.59
2016-02-12,善化,18.23,2.72,15.39,18.02,17.95,46.35,27.29,75.73,3.2
2016-02-19,善化,17.74,2.15,16.45,18.62,27.72,79.43,43.98,74.69,3.43
2016-02-26,善化,17.99,2.25,15.49,17.79,32.03,81.51,42.97,72.95,3.39
2016-03-04,善化,20.43,3.0,16.07,19.02,22.46,58.43,34.38,76.22,3.34
2016-03-11,善化,17.7,3.09,20.09,23.13,19.57,51.29,32.74,82.52,3.41
2016-03-18,善化,20.85,1.99,14.99,16.89,21.08,61.4,38.69,83.32,2.7
2016-03-25,善化,18.64,1.19,15.13,16.23,41.74,66.91,44.25,72.36,3.27
2016-04-01,善化,24.62,1.41,11.16,12.33,27.04,60.92,40.7,77.64,2.94
2016-04-08,善化,25.29,1.29,9.71,10.86,27.27,41.2,23.5,80.06,2.5
2016-04-15,善化,25.65,1.71,10.82,12.54,28.74,44.02,23.92,79.57,2.74
2016-04-22,善化,26.94,1.31,10.13,11.42,24.13,38.32,19.53,77.61,3.55
2016-04-29,善化,26.46,1.69,11.01,12.69,31.06,58.58,35.1,74.82,3.59
2016-05-06,善化,28.05,1.83,10.08,11.88,24.26,32.89,16.74,76.82,3.2
2016-05-13,善化,26.75,1.31,10.93,12.27,39.4,47.47,24.84,76.32,3.41
2016-05-20,善化,27.18,1.35,9.65,11.01,29.59,38.83,19.76,80.94,2.48
2016-05-27,善化,29.22,1.63,7.75,9.34,17.33,29.19,8.4,76.38,2.32
2016-06-03,善化,28.33,1.28,7.06,8.27,21.92,27.01,8.99,80.04,1.75
2016-06-10,善化,26.83,1.37,7.53,8.88,19.41,23.41,7.76,83.76,1.77
2016-06-17,善化,28.89,1.95,7.51,9.48,21.04,27.3,11.72,77.57,3.19
2016-06-24,善化,29.89,3.55,5.26,8.8,19.14,23.83,10.15,74.04,2.23
2016-07-01,善化,29.57,3.22,6.67,9.89,23.93,27.21,12.45,74.8,3.27
2016-07-08,善化,27.67,1.8,5.32,7.1,22.88,19.57,6.78,82.8,1.91
2016-07-15,善化,28.89,1.43,5.14,6.56,17.78,25.45,10.89,77.29,1.86
2016-07-22,善化,29.85,1.67,4.82,6.49,22.01,25.04,12.91,72.24,2.34
2016-07-29,善化,28.97,1.02,5.46,6.48,30.96,29.25,14.43,77.26,2.74
2016-08-05,善化,28.84,1.33,6.14,7.46,30.31,26.86,13.64,79.42,2.81
2016-08-12,善化,27.68,1.46,7.21,8.7,23.38,21.05,9.39,82.23,2.59
2016-08-19,善化,29.04,1.24,5.95,7.18,32.63,36.67,20.79,78.68,2.45
2016-08-26,善化,28.48,0.89,7.66,8.56,49.58,45.5,28.56,77.87,2.98
2016-09-02,善化,26.58,1.19,6.15,7.2,22.8,16.2,7.51,85.76,2.26
2016-09-09,善化,28.04,1.36,6.19,7.54,24.35,26.3,10.88,80.67,2.73
2016-09-16,善化,27.79,1.67,9.29,10.91,37.54,45.22,21.88,78.52,3.46
2016-09-23,善化,27.78,1.11,7.09,8.19,39.8,47.96,23.79,80.39,2.8
2016-09-30,善化,27.7,1.69,8.78,10.45,36.58,45.48,26.76,81.03,3.21
2016-10-07,善化,26.26,1.45,9.79,11.22,22.7,36.38,18.02,84.01,1.99
2016-10-14,善化,27.58,1.71,11.43,13.13,35.39,68.97,38.6,81.27,2.87
2016-10-21,善化,28.55,2.23,9.33,11.56,24.85,43.98,21.03,75.9,2.75
2016-10-28,善化,26.22,1.74,13.01,14.73,34.55,67.62,33.47,72.26,3.37
2016-11-04,善化,25.04,1.75,13.23,14.97,32.94,55.4,28.1,72.52,2.84
2016-11-11,善化,25.53,2.12,15.65,17.77,37.37,87.15,50.3,76.17,3.9
2016-11-18,善化,24.78,3.31,15.85,19.17,23.6,61.4,35.54,80.45,3.6
2016-11-25,善化,22.46,2.5,16.09,18.55,23.1,49.34,22.75,81.81,2.74
2016-12-02,善化,22.66,2.09,17.26,19.39,25.15,72.53,37.59,79.47,3.46
2016-12-09,善化,21.92,3.87,18.15,21.95,26.81,68.6,32.92,77.29,3.22
2016-12-16,善化,21.21,3.14,18.77,21.92,25.94,75.18,44.83,78.15,3.77
2016-12-23,善化,20.35,3.27,17.71,20.99,24.13,73.78,36.75,78.15,2.9
