日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2016-01-01,臺南,20.45,5.9,22.07,28.03,19.35,68.28,45.52,81.96,3.36
2016-01-08,臺南,17.81,2.54,19.17,21.72,25.83,52.78,33.5,78.69,3.06
2016-01-15,臺南,17.61,5.09,24.37,29.46,19.64,58.38,41.72,72.92,3.44
2016-01-22,臺南,13.62,3.32,18.13,21.48,26.45,48.12,27.73,54.76,2.86
2016-01-29,臺南,16.73,3.38,18.29,21.7,21.52,40.48,19.41,81.16,2.18
2016-02-05,臺南,15.7,2.1,17.95,20.01,39.89,77.2,36.46,61.49,3.33
2016-02-12,臺南,18.67,4.0,20.1,24.13,18.96,47.72,23.54,73.77,3.09
2016-02-19,臺南,17.87,2.91,20.25,23.11,29.8,78.85,46.91,71.12,3.12
2016-02-26,臺南,18.22,2.73,19.9,22.6,35.03,81.0,45.84,68.85,3.5
2016-03-04,臺南,22.14,3.31,21.79,25.12,24.26,57.5,38.86,69.97,3.59
2016-03-11,臺南,17.63,5.03,25.36,30.4,20.67,48.81,36.16,81.7,3.3
2016-03-18,臺南,20.99,3.18,21.19,24.39,22.87,60.54,44.42,81.79,2.54
2016-03-25,臺南,18.47,1.98,21.17,23.17,44.34,69.38,50.29,63.88,3.6
2016-04-01,臺南,25.89,1.58,16.08,17.66,30.08,57.18,43.81,71.68,3.61
2016-04-08,臺南,25.33,1.77,14.82,16.58,29.86,37.71,25.61,75.75,2.65
2016-04-15,臺南,26.08,2.83,13.44,16.24,28.16,38.63,19.22,73.44,3.2
2016-04-22,臺南,27.64,1.42,10.43,11.85,28.16,31.85,20.0,71.05,2.89
2016-04-29,臺南,27.33,1.56,13.81,15.39,33.93,55.9,38.43,65.85,3.34
2016-05-06,臺南,28.55,1.88,11.05,12.93,24.63,35.97,16.34,71.74,3.27
2016-05-13,臺南,27.43,1.4,12.87,14.25,42.63,49.06,26.47,66.58,3.43
2016-05-20,臺南,27.48,1.48,12.77,14.28,31.03,36.18,21.36,75.99,3.26
2016-05-27,臺南,29.99,1.16,6.81,7.96,18.49,23.04,8.61,70.92,2.75
2016-06-03,臺南,28.86,1.34,7.82,9.18,22.92,22.51,11.06,74.65,2.67
2016-06-10,臺南,26.74,2.41,9.69,12.1,17.28,20.6,8.15,83.62,2.48
2016-06-17,臺南,29.89,1.93,8.41,10.35,17.52,23.36,9.85,70.22,2.91
2016-06-24,臺南,30.8,2.19,7.66,9.82,16.01,23.13,9.0,67.28,3.19
2016-07-01,臺南,30.56,1.44,8.16,9.62,22.88,26.04,12.63,66.21,3.08
2016-07-08,臺南,27.45,1.4,7.33,8.74,21.22,23.7,7.61,82.38,2.25
2016-07-15,臺南,29.88,1.92,7.18,9.07,17.67,26.76,13.09,69.58,2.49
2016-07-22,臺南,30.54,1.26,7.21,8.45,22.56,23.21,13.47,64.34,2.57
2016-07-29,臺南,29.64,1.55,8.6,10.13,29.65,26.21,14.34,69.73,2.73
2016-08-05,臺南,29.33,1.03,8.09,9.15,33.28,26.06,15.12,72.53,2.75
2016-08-12,臺南,27.36,1.24,12.11,13.15,20.97,23.2,10.43,80.32,2.63
2016-08-19,臺南,29.36,1.8,7.76,9.55,33.08,35.28,22.11,72.7,3.15
2016-08-26,臺南,29.11,1.6,8.24,9.83,54.33,43.77,30.89,69.32,2.94
2016-09-02,臺南,26.27,2.66,10.98,13.63,20.44,17.27,8.31,84.85,2.39
2016-09-09,臺南,28.15,2.99,8.02,10.97,23.29,25.01,11.46,75.53,2.46
2016-09-16,臺南,28.35,1.57,11.19,12.76,42.23,42.75,23.78,69.25,3.42
2016-09-23,臺南,27.68,0.8,9.79,10.52,43.21,47.52,27.41,76.21,2.81
2016-09-30,臺南,27.71,1.3,14.5,15.74,37.26,41.47,28.28,75.26,3.07
2016-10-07,臺南,25.82,1.96,14.39,16.24,24.28,35.41,18.95,80.14,2.64
2016-10-14,臺南,27.86,1.66,15.85,17.28,38.95,59.4,36.44,74.4,3.75
2016-10-21,臺南,28.48,0.98,10.21,11.05,28.89,37.3,20.13,72.04,3.16
2016-10-28,臺南,25.56,1.81,15.93,17.67,36.89,66.31,31.66,66.51,3.64
2016-11-04,臺南,24.54,1.61,16.42,18.03,37.14,53.01,29.14,66.57,3.42
2016-11-11,臺南,24.95,1.89,19.52,21.32,42.5,81.82,51.53,71.78,4.1
2016-11-18,臺南,24.47,2.93,19.42,22.34,25.92,66.31,39.3,74.07,3.46
2016-11-25,臺南,21.56,3.03,19.4,22.32,24.85,48.89,23.62,76.36,2.84
2016-12-02,臺南,21.64,2.22,19.39,21.55,28.02,71.05,36.68,73.54,3.29
2016-12-09,臺南,21.2,2.79,19.87,22.58,29.86,73.78,34.52,69.46,3.45
2016-12-16,臺南,20.22,2.52,23.47,25.88,27.46,74.85,48.99,70.86,3.46
2016-12-23,臺南,18.98,4.11,21.81,25.94,25.77,69.81,36.29,72.04,3.28
