日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2016-01-01,大寮,21.7,10.57,25.56,36.12,16.68,69.95,44.0,83.17,12.82
2016-01-08,大寮,19.25,11.22,25.83,37.0,18.68,62.34,40.8,79.92,12.29
2016-01-15,大寮,19.43,13.18,29.02,42.19,18.79,70.22,49.15,80.24,14.76
2016-01-22,大寮,15.09,11.11,27.56,38.69,18.57,55.44,34.57,75.89,6.49
2016-01-29,大寮,18.77,10.49,25.72,36.2,15.82,51.68,37.02,79.99,4.75
2016-02-05,大寮,17.48,5.83,18.22,24.02,35.59,60.21,40.75,61.77,4.28
2016-02-12,大寮,20.4,8.75,22.46,31.28,16.28,54.11,35.87,73.92,5.74
2016-02-19,大寮,19.93,5.62,28.62,34.26,24.51,80.69,51.59,72.56,7.35
2016-02-26,大寮,19.98,4.31,23.91,28.25,33.91,78.1,47.28,67.69,7.61
2016-03-04,大寮,23.16,6.19,22.51,28.64,26.78,63.05,45.45,73.11,11.81
2016-03-11,大寮,19.67,9.14,26.67,35.81,16.55,58.37,40.67,83.47,9.37
2016-03-18,大寮,23.04,6.24,22.33,28.51,18.76,62.69,42.61,82.55,6.87
2016-03-25,大寮,19.55,5.8,23.5,29.33,34.72,64.81,41.98,69.88,10.7
2016-04-01,大寮,26.15,3.02,14.79,17.81,25.39,60.22,36.75,75.22,5.66
2016-04-08,大寮,26.04,5.72,16.5,22.22,24.79,39.52,15.84,77.8,11.76
2016-04-15,大寮,27.83,7.17,15.3,22.48,21.09,43.3,20.7,73.1,7.7
2016-04-22,大寮,28.58,4.21,12.31,16.47,20.2,36.42,17.22,72.47,7.0
2016-04-29,大寮,27.97,3.15,12.59,15.72,31.61,53.59,30.44,70.59,8.24
2016-05-06,大寮,28.97,3.34,9.63,12.96,17.94,32.08,8.79,74.98,6.5
2016-05-13,大寮,28.11,3.36,17.13,20.55,37.56,49.91,22.03,73.41,6.86
2016-05-20,大寮,28.23,2.22,11.18,13.41,26.03,36.29,17.83,79.83,4.44
2016-05-27,大寮,30.61,5.39,9.38,14.79,15.1,25.85,6.93,72.95,10.11
2016-06-03,大寮,29.39,3.01,8.77,11.74,18.51,26.07,10.02,78.6,4.79
2016-06-10,大寮,27.3,5.05,10.13,15.15,15.0,22.65,7.34,87.59,6.61
2016-06-17,大寮,30.52,4.04,8.86,12.89,14.76,24.45,6.97,72.2,8.69
2016-06-24,大寮,31.53,2.75,5.57,8.3,14.58,26.65,7.66,69.51,5.18
2016-07-01,大寮,31.05,3.1,9.19,12.28,21.08,29.94,13.88,72.0,7.73
2016-07-08,大寮,28.16,2.21,5.61,7.8,21.96,22.27,6.99,87.04,3.59
2016-07-15,大寮,30.07,4.57,10.05,14.61,13.39,28.48,13.75,74.59,7.21
2016-07-22,大寮,30.44,7.64,12.9,20.56,18.71,27.53,16.71,72.15,8.98
2016-07-29,大寮,29.61,3.55,10.67,14.19,22.89,28.88,16.42,76.88,6.51
2016-08-05,大寮,29.5,5.11,13.21,18.32,29.0,27.01,15.93,78.81,7.36
2016-08-12,大寮,27.28,1.97,5.58,7.55,19.87,12.39,5.81,88.57,2.22
2016-08-19,大寮,29.2,2.78,10.66,13.45,24.39,30.28,21.05,79.77,4.45
2016-08-26,大寮,28.93,1.84,11.78,13.63,43.02,38.55,30.32,78.03,4.13
2016-09-02,大寮,26.46,2.74,9.37,12.12,21.18,12.38,10.83,91.88,3.2
2016-09-09,大寮,28.3,3.31,8.24,11.34,17.93,25.7,9.77,82.96,3.62
2016-09-16,大寮,28.26,1.95,12.22,14.17,37.53,60.71,13.84,78.74,4.73
2016-09-23,大寮,28.29,1.69,10.77,12.44,43.57,56.68,20.16,80.99,4.27
2016-09-30,大寮,27.88,2.2,13.14,15.34,30.57,49.72,16.95,81.64,4.53
2016-10-07,大寮,26.51,3.16,12.6,15.75,23.43,46.84,13.56,87.01,3.75
2016-10-14,大寮,28.21,3.07,18.59,21.7,33.09,100.64,36.71,79.04,6.03
2016-10-21,大寮,28.97,2.4,12.26,14.65,25.37,92.78,16.5,76.72,3.85
2016-10-28,大寮,26.7,2.92,19.49,22.4,38.08,87.78,35.6,73.92,6.17
2016-11-04,大寮,25.29,2.44,18.32,20.72,37.91,70.54,29.94,72.0,5.01
2016-11-11,大寮,25.7,2.83,21.71,24.57,41.36,92.63,48.63,77.17,6.44
2016-11-18,大寮,25.7,5.46,24.12,29.61,24.42,84.78,42.21,77.74,6.98
2016-11-25,大寮,22.85,3.89,20.55,24.46,,69.17,27.32,81.29,5.12
2016-12-02,大寮,23.6,4.3,24.3,28.63,,93.01,44.71,77.42,5.48
2016-12-09,大寮,22.48,3.42,24.12,27.51,30.56,84.02,37.83,73.22,5.59
2016-12-16,大寮,21.83,4.49,28.84,33.36,30.19,89.49,46.04,72.45,7.31
2016-12-23,大寮,20.67,6.01,24.21,30.25,22.22,82.61,37.84,76.89,4.88
