日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2016-01-01,鳳山,21.85,8.71,26.11,34.82,16.2,98.06,42.04,83.84,5.08
2016-01-08,鳳山,19.45,5.68,25.26,30.96,20.14,80.03,34.66,78.58,5.14
2016-01-15,鳳山,19.42,8.14,28.49,36.6,17.72,88.98,44.51,79.37,5.19
2016-01-22,鳳山,15.15,5.78,26.73,32.46,20.51,71.66,30.34,74.27,4.96
2016-01-29,鳳山,18.62,7.67,24.32,31.96,15.68,66.84,28.37,80.56,4.03
2016-02-05,鳳山,17.7,2.65,19.16,21.83,35.14,79.02,39.93,58.36,3.95
2016-02-12,鳳山,20.49,7.28,23.79,31.07,14.7,68.81,33.49,72.8,4.68
2016-02-19,鳳山,20.05,5.08,27.8,32.89,23.73,101.61,50.69,71.11,5.47
2016-02-26,鳳山,20.25,4.23,24.94,29.18,30.7,98.95,45.1,65.68,5.52
2016-03-04,鳳山,23.73,4.71,23.96,28.67,24.53,78.03,37.44,69.29,4.87
2016-03-11,鳳山,19.92,10.64,28.14,38.73,16.15,84.46,35.95,83.63,5.17
2016-03-18,鳳山,23.34,4.49,23.06,27.57,19.02,84.19,39.84,81.28,3.81
2016-03-25,鳳山,20.07,3.19,23.76,26.91,36.41,84.37,39.57,65.65,4.6
2016-04-01,鳳山,26.93,3.05,19.09,22.09,24.03,80.59,35.54,70.83,4.69
2016-04-08,鳳山,26.56,3.5,17.45,20.91,24.39,51.35,19.14,75.62,4.49
2016-04-15,鳳山,27.95,4.94,17.26,22.17,20.85,57.56,20.63,71.43,4.57
2016-04-22,鳳山,28.92,4.98,16.54,21.49,19.5,64.76,18.84,69.38,4.63
2016-04-29,鳳山,28.72,4.0,17.19,21.21,30.77,79.17,32.09,65.5,4.57
2016-05-06,鳳山,29.85,3.79,14.24,18.03,17.29,43.01,10.81,69.75,5.19
2016-05-13,鳳山,28.75,2.1,16.99,19.1,38.3,63.74,21.25,67.44,4.57
2016-05-20,鳳山,28.7,3.14,15.65,18.76,27.14,49.89,16.9,76.72,4.36
2016-05-27,鳳山,31.33,3.43,10.04,13.51,16.89,39.61,7.4,68.55,2.81
2016-06-03,鳳山,30.05,3.62,11.58,15.22,18.9,41.09,8.24,74.73,2.97
2016-06-10,鳳山,27.6,4.15,12.73,16.86,14.39,37.85,7.63,87.2,2.86
2016-06-17,鳳山,31.25,5.18,11.87,17.0,14.98,39.92,9.17,66.86,5.08
2016-06-24,鳳山,32.19,3.54,8.76,12.25,14.37,35.47,7.33,64.01,3.33
2016-07-01,鳳山,31.8,3.27,11.09,14.34,21.34,43.55,11.36,65.79,4.4
2016-07-08,鳳山,28.71,3.16,11.96,15.13,17.86,42.13,7.67,85.51,4.62
2016-07-15,鳳山,30.52,3.49,10.82,14.31,14.48,46.77,10.59,71.01,3.14
2016-07-22,鳳山,31.52,2.62,10.81,13.42,22.14,41.16,12.63,65.76,3.04
2016-07-29,鳳山,30.47,2.79,12.32,15.11,25.19,42.2,15.27,71.65,3.93
2016-08-05,鳳山,30.05,2.35,12.44,14.81,31.22,41.24,13.32,75.91,3.61
2016-08-12,鳳山,27.76,3.07,12.43,15.49,18.56,31.63,6.68,87.21,2.72
2016-08-19,鳳山,30.08,2.5,12.65,15.16,28.93,48.74,17.88,74.92,3.57
2016-08-26,鳳山,29.79,1.41,13.64,15.04,43.7,55.93,24.69,72.87,3.71
2016-09-02,鳳山,27.24,3.48,14.82,18.23,17.08,27.92,6.5,89.71,3.27
2016-09-09,鳳山,29.14,3.26,10.99,14.23,20.59,39.37,11.04,78.71,3.35
2016-09-16,鳳山,29.11,2.36,13.68,16.03,39.16,50.6,19.35,74.51,3.4
2016-09-23,鳳山,29.45,2.0,14.75,16.77,40.52,60.4,27.49,75.15,4.56
2016-09-30,鳳山,28.98,3.33,19.29,22.63,30.32,55.1,22.44,78.02,4.41
2016-10-07,鳳山,27.2,3.78,16.66,20.49,22.33,62.08,17.58,85.06,3.78
2016-10-14,鳳山,29.02,2.03,17.79,19.83,39.25,94.03,39.54,74.83,4.61
2016-10-21,鳳山,29.77,4.01,15.03,19.0,24.8,56.2,18.12,72.26,4.94
2016-10-28,鳳山,27.33,2.92,21.17,24.07,37.72,95.95,36.51,69.48,5.81
2016-11-04,鳳山,26.1,2.71,19.54,22.27,36.73,83.44,29.28,67.04,4.69
2016-11-11,鳳山,26.47,2.23,23.22,25.42,41.68,109.24,49.25,73.2,6.55
2016-11-18,鳳山,26.3,6.49,26.27,32.73,27.1,103.64,48.21,74.4,5.9
2016-11-25,鳳山,23.48,4.55,23.98,28.62,22.25,77.91,27.52,77.82,4.72
2016-12-02,鳳山,24.03,7.06,28.25,35.31,20.27,116.79,46.44,73.98,4.66
2016-12-09,鳳山,23.24,4.36,25.66,30.01,27.67,102.61,38.07,68.49,4.63
2016-12-16,鳳山,22.62,4.68,28.96,33.58,28.0,105.0,45.25,68.34,5.28
2016-12-23,鳳山,21.21,7.36,26.74,34.1,20.72,101.05,38.79,74.24,4.86
