日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2017-01-01,南投,20.48,6.53,17.9,24.41,20.12,81.77,47.5,79.75,2.19
2017-01-08,南投,19.23,5.83,22.07,27.92,19.67,60.42,33.06,75.52,2.37
2017-01-15,南投,17.48,6.85,19.12,25.88,18.22,53.75,24.95,76.15,2.15
2017-01-22,南投,17.19,4.75,18.96,23.71,22.58,56.32,26.43,67.79,2.01
2017-01-29,南投,19.27,3.52,15.37,18.9,23.28,50.65,22.53,70.6,1.87
2017-02-05,南投,16.57,3.51,18.73,22.26,25.49,72.13,36.54,67.4,2.55
2017-02-12,南投,18.0,4.43,19.11,23.57,27.48,65.03,33.18,64.42,2.05
2017-02-19,南投,19.01,4.76,18.52,23.27,20.48,62.23,33.2,78.27,2.15
2017-02-26,南投,17.49,3.92,20.62,24.54,26.34,65.34,34.64,69.35,2.4
2017-03-05,南投,18.76,4.28,21.01,25.27,23.79,66.42,41.89,77.78,2.28
2017-03-12,南投,20.13,3.96,20.31,24.34,25.0,68.19,40.41,76.04,2.4
2017-03-19,南投,22.39,3.4,18.4,21.83,29.45,61.46,35.55,72.13,2.1
2017-03-26,南投,19.7,2.82,18.2,21.06,32.45,65.02,32.64,69.71,2.18
2017-04-02,南投,22.09,1.85,16.14,17.98,36.92,66.91,38.11,62.42,2.56
2017-04-09,南投,23.89,3.85,17.45,21.34,20.3,51.19,27.72,76.37,2.42
2017-04-16,南投,25.71,2.85,11.17,13.98,22.09,41.96,22.01,73.52,1.93
2017-04-23,南投,22.04,2.29,17.86,20.17,31.67,60.16,32.05,76.34,2.26
2017-04-30,南投,25.73,2.26,15.84,18.08,29.08,55.33,29.77,67.43,2.41
2017-05-07,南投,27.66,2.18,13.62,15.81,26.33,54.29,26.07,67.74,2.4
2017-05-14,南投,25.32,2.17,13.97,16.15,28.5,37.08,16.22,75.65,1.99
2017-05-21,南投,26.72,2.4,13.51,15.93,25.59,44.76,19.02,74.07,2.06
2017-05-28,南投,26.52,2.2,9.52,11.73,24.13,34.54,15.27,79.62,2.24
2017-06-04,南投,27.74,2.15,9.04,11.2,21.37,30.06,11.1,75.43,1.96
2017-06-11,南投,26.42,2.52,7.8,10.34,13.72,24.62,4.01,81.0,1.64
2017-06-18,南投,27.93,2.96,7.78,10.71,14.42,26.27,6.36,72.95,1.72
2017-06-25,南投,28.88,1.89,7.78,9.64,22.11,34.4,12.43,68.74,1.93
2017-07-02,南投,26.38,1.91,7.99,9.86,19.27,23.87,6.78,77.06,1.36
2017-07-09,南投,26.83,1.37,8.4,9.74,25.24,29.43,9.95,72.29,1.44
2017-07-16,南投,28.42,1.64,10.53,12.17,29.28,39.86,17.35,70.64,2.2
2017-07-23,南投,28.5,1.37,9.95,11.29,26.84,42.12,24.21,71.92,2.53
2017-07-30,南投,27.28,1.93,7.65,9.55,18.47,27.64,12.42,77.6,1.63
2017-08-06,南投,29.56,1.41,6.99,8.39,16.33,32.33,13.87,69.3,1.52
2017-08-13,南投,29.55,1.74,9.12,10.81,21.39,31.69,13.52,66.57,2.07
2017-08-20,南投,29.77,1.81,11.2,13.05,26.76,40.2,19.37,74.92,2.69
2017-08-27,南投,29.9,1.49,10.56,12.02,25.66,44.38,20.85,75.05,2.04
2017-09-03,南投,29.93,1.51,9.35,10.86,21.85,38.68,17.89,77.86,2.16
2017-09-10,南投,30.32,1.56,13.61,15.2,28.26,48.66,22.72,69.39,2.72
2017-09-17,南投,31.02,1.02,14.89,15.93,41.11,60.76,33.52,65.35,3.18
2017-09-24,南投,31.06,1.97,12.07,14.03,25.64,41.45,20.4,69.27,2.32
2017-10-01,南投,30.86,1.68,14.35,16.02,28.73,60.52,30.26,71.32,3.03
2017-10-08,南投,30.04,2.75,14.44,17.17,27.16,54.09,25.76,72.85,2.51
2017-10-15,南投,27.4,3.2,13.76,16.97,22.46,34.28,10.34,75.85,1.81
2017-10-22,南投,24.32,2.11,17.76,19.85,34.64,54.73,25.92,65.41,1.88
2017-10-29,南投,24.27,2.15,16.5,18.66,27.92,49.58,20.62,69.07,1.86
2017-11-05,南投,25.81,2.65,19.13,21.78,23.54,65.5,30.48,76.32,2.47
2017-11-12,南投,25.53,5.28,18.94,24.22,17.75,56.21,24.9,78.61,2.15
2017-11-19,南投,22.4,3.53,20.4,23.9,17.88,41.17,16.88,73.08,2.3
2017-11-26,南投,24.11,3.1,18.52,21.57,22.48,57.93,28.23,75.63,2.19
2017-12-03,南投,19.1,5.92,20.67,26.63,17.12,49.33,23.9,76.91,2.11
2017-12-10,南投,19.86,6.78,21.47,28.19,15.91,56.55,28.7,77.96,2.53
2017-12-17,南投,18.05,3.03,19.25,22.24,22.38,50.06,23.95,69.33,2.69
2017-12-24,南投,20.42,4.4,20.91,25.27,22.48,84.83,49.47,72.45,2.8
