日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2017-01-01,沙鹿,21.24,4.59,18.13,22.69,24.72,74.92,34.19,84.62,2.27
2017-01-08,沙鹿,18.54,2.15,13.78,15.98,30.09,44.93,19.96,77.39,2.03
2017-01-15,沙鹿,16.77,1.76,11.51,13.27,30.35,35.48,12.48,76.9,1.73
2017-01-22,沙鹿,16.23,1.66,11.79,13.47,36.24,43.12,20.38,69.46,2.09
2017-01-29,沙鹿,18.07,1.01,8.46,9.45,35.05,40.3,15.06,76.32,1.7
2017-02-05,沙鹿,15.57,1.45,11.34,12.77,37.69,52.8,26.06,66.18,2.16
2017-02-12,沙鹿,17.18,3.13,17.41,20.57,36.3,55.14,28.61,67.14,2.86
2017-02-19,沙鹿,18.12,3.66,15.62,19.22,31.6,44.92,22.5,80.55,1.91
2017-02-26,沙鹿,16.33,1.49,14.6,16.13,39.63,48.59,24.1,71.3,2.09
2017-03-05,沙鹿,18.1,3.64,18.32,21.93,37.13,51.14,29.86,78.54,2.41
2017-03-12,沙鹿,18.98,1.89,14.86,16.79,36.53,48.89,24.69,78.8,2.32
2017-03-19,沙鹿,21.02,1.84,14.79,16.62,39.87,44.93,22.79,77.62,2.23
2017-03-26,沙鹿,19.51,1.95,17.15,19.05,46.93,70.26,38.45,66.2,2.63
2017-04-02,沙鹿,22.59,1.89,17.08,18.85,46.44,58.87,33.42,58.58,3.34
2017-04-09,沙鹿,24.02,3.47,17.23,20.65,29.18,41.46,24.54,78.71,2.72
2017-04-16,沙鹿,26.03,1.99,11.9,13.86,32.03,39.7,25.96,77.55,2.6
2017-04-23,沙鹿,22.32,1.7,17.15,18.86,45.96,46.15,28.48,71.64,2.61
2017-04-30,沙鹿,26.27,2.84,20.1,22.96,35.69,48.96,32.85,69.26,3.56
2017-05-07,沙鹿,27.68,3.17,16.41,19.59,29.98,48.43,23.84,75.21,4.4
2017-05-14,沙鹿,25.84,1.85,14.42,16.26,42.57,28.95,17.72,78.86,2.27
2017-05-21,沙鹿,26.68,2.14,13.8,15.94,35.45,30.01,16.33,75.55,3.2
2017-05-28,沙鹿,28.36,1.89,11.76,13.67,30.36,24.08,15.72,82.2,2.56
2017-06-04,沙鹿,29.59,3.75,13.68,17.4,23.77,26.05,18.84,78.6,3.28
2017-06-11,沙鹿,28.68,2.12,9.6,11.7,18.91,15.78,7.71,81.43,2.28
2017-06-18,沙鹿,28.49,3.01,9.17,12.2,14.12,17.89,7.04,76.28,2.25
2017-06-25,沙鹿,29.48,2.74,10.9,13.66,20.68,23.7,9.12,74.33,3.71
2017-07-02,沙鹿,28.88,2.21,11.31,13.48,23.13,17.88,10.3,73.67,2.79
2017-07-09,沙鹿,29.14,2.34,9.55,11.9,22.15,21.22,9.92,71.92,3.23
2017-07-16,沙鹿,28.27,1.68,11.2,12.87,28.1,26.36,13.08,72.77,3.0
2017-07-23,沙鹿,28.32,2.02,11.54,13.56,29.56,36.08,17.91,74.14,3.77
2017-07-30,沙鹿,27.14,1.85,8.07,9.91,24.67,29.61,10.46,79.86,2.25
2017-08-06,沙鹿,28.86,1.8,7.85,9.6,18.04,26.59,10.89,72.76,2.11
2017-08-13,沙鹿,29.21,3.39,10.45,13.86,17.27,20.71,10.32,66.09,3.07
2017-08-20,沙鹿,28.64,2.82,14.31,17.09,26.25,33.69,17.25,71.36,3.22
2017-08-27,沙鹿,28.68,1.79,12.96,14.71,28.56,38.73,19.32,71.57,2.94
2017-09-03,沙鹿,28.54,2.1,10.61,12.7,27.12,28.46,13.23,75.02,3.3
2017-09-10,沙鹿,28.48,3.52,12.37,15.86,29.93,33.31,13.45,69.01,3.57
2017-09-17,沙鹿,28.45,1.32,16.84,18.17,42.57,54.86,30.29,71.08,3.64
2017-09-24,沙鹿,28.92,2.16,13.03,15.19,27.62,40.22,18.68,75.21,3.94
2017-10-01,沙鹿,28.3,2.11,12.79,14.92,35.08,46.11,21.54,75.34,2.79
2017-10-08,沙鹿,28.14,1.99,13.01,15.06,31.4,47.34,20.32,74.16,3.29
2017-10-15,沙鹿,25.01,1.68,9.99,11.66,32.07,27.84,8.14,85.59,1.73
2017-10-22,沙鹿,21.59,0.93,10.98,11.93,56.17,42.94,18.65,73.13,2.03
2017-10-29,沙鹿,21.66,1.85,11.21,13.08,42.74,39.97,14.29,77.51,1.97
2017-11-05,沙鹿,23.1,1.92,13.29,15.25,33.04,44.35,14.22,84.98,2.38
2017-11-12,沙鹿,22.8,2.58,15.88,18.41,26.0,42.48,16.29,86.3,2.61
2017-11-19,沙鹿,18.81,1.5,11.51,13.01,27.93,25.38,6.43,84.1,2.04
2017-11-26,沙鹿,20.99,2.73,12.37,15.1,31.42,42.64,16.32,87.0,2.18
2017-12-03,沙鹿,16.37,2.07,11.86,13.96,32.92,35.98,17.88,81.43,2.03
2017-12-10,沙鹿,17.51,2.49,13.4,15.89,29.76,35.64,13.33,83.64,2.26
2017-12-17,沙鹿,15.46,2.61,15.74,18.35,33.15,45.47,20.71,75.92,2.45
2017-12-24,沙鹿,18.51,3.28,17.29,20.56,31.42,67.23,32.02,71.09,2.51
