日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2017-01-01,三重,22.84,65.63,38.67,104.24,,53.88,16.72,71.61,3.82
2017-01-08,三重,18.89,57.27,35.63,92.94,,51.94,19.36,72.42,3.68
2017-01-15,三重,17.24,69.3,36.58,105.91,,45.68,11.14,72.68,3.23
2017-01-22,三重,17.17,58.01,38.57,96.55,,51.19,12.84,64.52,3.04
2017-01-29,三重,18.98,55.55,32.76,88.32,,49.41,11.67,70.65,3.5
2017-02-05,三重,16.27,62.16,38.41,100.53,,67.15,24.41,61.27,3.59
2017-02-12,三重,18.91,59.16,43.43,102.57,,55.98,17.84,57.48,3.85
2017-02-19,三重,18.34,72.85,40.78,113.65,,48.85,16.94,76.25,3.04
2017-02-26,三重,16.35,64.92,45.06,109.95,,68.03,22.35,68.8,3.29
2017-03-05,三重,17.44,58.72,46.35,105.09,,60.88,22.21,75.14,3.61
2017-03-12,三重,18.32,63.67,42.76,106.36,,49.78,14.86,77.12,2.78
2017-03-19,三重,20.27,55.78,41.62,97.36,,43.64,12.59,75.23,2.99
2017-03-26,三重,19.75,60.46,50.9,111.34,,87.21,33.97,65.0,3.84
2017-04-02,三重,22.89,50.79,46.58,97.38,,68.31,26.7,57.12,3.51
2017-04-09,三重,23.41,50.37,42.34,92.69,,63.74,23.01,71.39,4.26
2017-04-16,三重,25.45,58.95,37.2,96.16,,62.57,22.85,72.86,3.29
2017-04-23,三重,21.85,51.28,47.14,98.42,,60.17,17.74,64.21,3.41
2017-04-30,三重,26.62,42.91,37.7,80.51,,59.91,21.86,62.83,4.94
2017-05-07,三重,27.2,45.98,38.92,84.86,,69.05,19.49,68.27,4.66
2017-05-14,三重,25.43,38.23,36.84,74.3,,44.82,12.42,70.39,3.19
2017-05-21,三重,25.95,39.91,34.6,74.5,,41.27,10.86,69.5,3.83
2017-05-28,三重,27.44,49.81,32.0,81.87,,35.31,8.49,71.37,2.99
2017-06-04,三重,29.28,45.66,34.8,80.44,,58.63,20.58,71.62,4.43
2017-06-11,三重,26.4,53.23,33.26,86.53,,37.24,9.03,80.14,3.02
2017-06-18,三重,29.63,70.8,33.64,104.42,,43.08,11.23,65.94,3.51
2017-06-25,三重,30.59,55.35,32.46,87.85,,48.13,16.07,62.57,4.1
2017-07-02,三重,29.39,53.28,30.73,84.01,,39.76,13.08,64.98,3.88
2017-07-09,三重,30.92,53.18,32.52,85.7,,45.56,13.26,63.7,4.42
2017-07-16,三重,32.42,47.36,26.52,73.9,,39.39,14.01,55.71,3.6
2017-07-23,三重,31.66,44.5,27.55,72.06,,44.11,16.42,63.61,3.92
2017-07-30,三重,31.0,46.59,30.86,77.39,,45.98,15.71,64.95,3.37
2017-08-06,三重,33.76,63.84,31.53,95.37,,47.81,17.3,53.94,3.99
2017-08-13,三重,32.36,50.52,32.18,82.7,,49.72,19.63,59.54,4.42
2017-08-20,三重,31.76,44.6,23.95,68.61,,36.94,11.52,60.25,3.21
2017-08-27,三重,30.44,45.0,25.32,70.35,,36.1,10.62,66.72,3.78
2017-09-03,三重,30.33,51.95,30.94,82.88,,43.94,16.15,69.22,4.39
2017-09-10,三重,29.97,58.51,34.75,93.26,,49.5,14.93,63.15,4.07
2017-09-17,三重,30.61,38.12,36.93,75.1,,54.55,22.13,59.51,5.11
2017-09-24,三重,31.46,43.14,34.03,77.19,,49.05,18.81,61.94,5.03
2017-10-01,三重,29.94,40.98,30.71,71.69,,52.11,19.01,66.53,4.72
2017-10-08,三重,28.51,45.14,19.73,64.88,,33.59,7.42,73.64,3.36
2017-10-15,三重,25.9,59.11,30.73,89.84,,38.5,9.0,76.33,3.15
2017-10-22,三重,23.28,52.0,41.01,93.02,,59.68,18.0,61.73,2.75
2017-10-29,三重,22.99,58.07,37.44,95.47,,54.56,13.94,69.2,3.2
2017-11-05,三重,25.23,43.64,30.52,74.15,,43.64,11.57,70.43,3.18
2017-11-12,三重,24.24,52.82,32.41,85.23,,40.19,11.9,75.14,4.28
2017-11-19,三重,19.78,63.22,32.93,96.05,,36.12,7.24,77.69,3.67
2017-11-26,三重,22.95,49.47,30.48,79.98,,37.04,9.26,74.3,3.18
2017-12-03,三重,18.17,63.2,35.58,98.76,,51.9,13.64,70.0,3.55
2017-12-10,三重,19.14,61.22,33.31,94.47,,43.42,8.96,70.55,3.12
2017-12-17,三重,17.7,63.49,35.41,98.91,,49.42,13.46,64.8,3.0
2017-12-24,三重,19.38,51.12,35.54,86.71,,66.22,21.7,65.55,3.68
