日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2017-01-01,中山,22.77,11.86,27.55,39.45,18.97,36.39,18.76,79.56,2.93
2017-01-08,中山,18.71,9.07,23.63,32.57,23.62,36.84,20.51,81.2,3.07
2017-01-15,中山,17.21,11.87,24.97,36.85,20.27,27.95,11.47,80.95,2.41
2017-01-22,中山,17.05,6.44,21.99,28.4,29.06,33.15,14.78,72.77,2.72
2017-01-29,中山,18.86,11.83,22.66,34.53,21.83,31.08,16.65,80.18,2.49
2017-02-05,中山,16.18,7.77,21.12,28.89,30.41,48.18,24.53,69.11,2.56
2017-02-12,中山,18.96,9.59,28.55,38.15,27.93,37.19,18.53,63.09,2.35
2017-02-19,中山,18.45,17.48,29.6,46.98,19.58,32.64,17.11,84.52,1.95
2017-02-26,中山,16.35,13.88,30.11,43.95,25.79,48.73,23.99,76.68,2.66
2017-03-05,中山,17.5,10.88,31.43,42.36,29.38,41.62,22.46,83.51,2.74
2017-03-12,中山,18.4,10.04,26.76,36.81,25.94,31.36,15.65,85.65,1.87
2017-03-19,中山,20.33,11.2,26.45,37.55,28.44,26.54,13.76,84.04,2.74
2017-03-26,中山,19.89,8.65,31.22,39.77,35.15,67.19,31.08,70.88,2.81
2017-04-02,中山,22.93,9.45,29.45,38.84,33.18,49.46,27.14,60.99,2.69
2017-04-09,中山,23.46,11.34,30.35,41.76,24.01,44.42,22.68,79.2,3.59
2017-04-16,中山,25.42,11.09,25.98,37.01,19.54,40.37,23.02,81.06,2.61
2017-04-23,中山,21.9,9.77,31.18,40.94,31.1,42.36,17.7,71.06,2.51
2017-04-30,中山,26.38,8.67,23.89,32.6,27.93,42.32,21.96,70.61,3.97
2017-05-07,中山,27.08,9.78,25.94,35.71,26.31,51.02,21.08,76.82,4.04
2017-05-14,中山,25.26,5.35,21.12,26.5,34.99,27.03,12.66,73.82,2.57
2017-05-21,中山,25.84,6.97,22.01,28.93,29.03,27.35,13.05,79.21,3.56
2017-05-28,中山,27.22,10.0,21.6,31.5,24.21,20.55,10.18,80.45,2.42
2017-06-04,中山,29.3,9.41,24.16,33.43,22.79,35.48,18.76,81.59,4.12
2017-06-11,中山,26.43,14.1,24.14,38.22,17.58,18.99,7.84,90.82,2.87
2017-06-18,中山,29.4,19.01,24.04,43.03,15.32,26.62,11.59,75.15,2.81
2017-06-25,中山,30.79,9.44,22.99,32.42,21.66,34.01,16.56,61.6,3.32
2017-07-02,中山,30.0,10.19,20.25,30.41,14.78,25.08,10.01,61.08,2.37
2017-07-09,中山,31.14,13.23,23.64,36.88,14.67,31.52,16.32,63.42,2.46
2017-07-16,中山,32.15,9.05,17.91,26.93,16.02,37.61,12.85,65.52,3.2
2017-07-23,中山,31.3,9.4,19.44,28.84,20.85,34.66,17.05,69.86,3.51
2017-07-30,中山,30.59,9.43,24.13,33.55,18.47,37.89,14.72,66.15,2.94
2017-08-06,中山,33.01,11.84,19.63,31.44,18.63,40.61,15.63,65.17,3.19
2017-08-13,中山,31.89,8.23,22.78,31.05,21.84,42.9,20.79,71.39,4.04
2017-08-20,中山,31.37,8.75,16.94,25.7,15.34,28.99,12.47,68.86,3.14
2017-08-27,中山,30.15,8.21,17.88,26.0,17.68,31.75,11.76,70.74,2.88
2017-09-03,中山,29.95,10.89,24.44,35.19,15.2,34.95,15.78,66.83,3.3
2017-09-10,中山,29.5,12.69,25.26,37.74,19.67,39.67,17.3,72.22,2.87
2017-09-17,中山,30.48,6.09,25.29,31.36,32.61,55.5,23.54,68.98,4.5
2017-09-24,中山,31.21,8.03,23.61,31.7,24.47,47.67,19.11,71.02,3.83
2017-10-01,中山,29.54,6.24,20.98,27.2,24.6,45.11,17.93,77.86,3.21
2017-10-08,中山,28.08,8.73,14.08,22.78,12.37,26.0,8.66,87.35,2.12
2017-10-15,中山,25.62,15.33,23.46,38.67,16.23,25.15,9.96,88.85,1.76
2017-10-22,中山,22.96,7.21,27.72,34.91,30.09,51.73,19.54,71.13,1.58
2017-10-29,中山,22.52,8.21,22.22,30.35,27.45,37.99,13.79,81.18,2.17
2017-11-05,中山,24.49,7.11,19.92,27.07,25.84,28.93,12.3,83.9,2.15
2017-11-12,中山,23.69,10.93,24.23,35.21,19.96,25.67,12.03,87.52,3.15
2017-11-19,中山,19.04,13.2,23.66,36.89,19.09,21.25,8.11,89.48,2.1
2017-11-26,中山,22.44,9.93,21.31,31.17,21.79,26.88,10.64,86.18,2.36
2017-12-03,中山,17.7,9.22,23.68,32.83,24.11,36.51,14.9,80.85,2.55
2017-12-10,中山,18.46,11.91,23.54,35.43,21.79,29.08,12.02,82.55,2.5
2017-12-17,中山,17.04,9.93,24.05,33.84,22.67,33.27,13.82,75.42,2.33
2017-12-24,中山,18.87,7.46,23.32,30.79,26.78,54.88,22.31,76.13,2.71
