日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2017-01-01,大園,20.99,4.74,17.44,22.16,28.33,50.53,22.18,83.9,4.11
2017-01-08,大園,17.55,3.4,15.58,18.99,34.41,46.81,20.77,79.7,3.56
2017-01-15,大園,16.14,3.46,16.01,19.5,32.31,37.06,11.45,79.42,2.72
2017-01-22,大園,15.62,2.7,14.15,16.77,40.74,51.3,23.02,69.67,3.24
2017-01-29,大園,17.14,2.53,13.43,15.95,31.86,47.27,19.15,80.57,3.24
2017-02-05,大園,14.48,2.49,13.26,15.71,41.1,58.85,24.95,67.97,3.71
2017-02-12,大園,17.13,3.7,17.95,21.68,40.7,53.85,24.26,63.55,3.84
2017-02-19,大園,16.29,4.58,15.92,20.53,36.76,47.36,20.52,88.12,3.77
2017-02-26,大園,15.15,6.61,20.97,27.52,40.14,56.83,23.89,72.4,4.1
2017-03-05,大園,16.45,5.83,20.95,26.75,45.05,51.43,24.52,80.51,3.62
2017-03-12,大園,17.18,2.58,12.85,15.45,46.98,43.51,13.88,86.08,2.83
2017-03-19,大園,19.13,3.05,14.51,17.53,43.74,36.27,13.72,84.92,3.31
2017-03-26,大園,18.43,2.52,20.93,23.33,47.85,81.42,37.04,71.82,4.69
2017-04-02,大園,21.61,3.18,19.51,22.4,45.38,67.0,32.69,61.97,4.92
2017-04-09,大園,22.62,4.9,18.19,22.92,35.1,45.77,19.39,75.86,4.55
2017-04-16,大園,24.44,3.02,13.91,16.54,34.25,49.86,22.98,81.22,3.94
2017-04-23,大園,20.82,3.35,20.93,24.25,43.39,48.25,18.28,68.98,4.24
2017-04-30,大園,24.74,4.43,18.28,22.63,36.5,48.99,23.61,73.39,4.88
2017-05-07,大園,26.02,3.28,16.33,19.59,32.38,53.42,18.62,76.48,4.55
2017-05-14,大園,24.57,2.26,16.09,18.35,42.91,33.25,13.9,75.62,3.68
2017-05-21,大園,25.1,2.75,15.54,18.34,36.25,32.04,12.06,75.05,4.0
2017-05-28,大園,26.96,2.62,11.59,14.18,34.45,29.56,10.56,78.4,3.43
2017-06-04,大園,28.2,3.49,13.4,16.87,25.87,37.03,17.31,81.84,5.22
2017-06-11,大園,26.4,3.57,14.48,18.1,26.94,24.57,9.07,86.39,4.05
2017-06-18,大園,28.0,4.1,9.06,13.02,18.38,25.17,9.8,74.45,3.53
2017-06-25,大園,29.51,2.71,10.38,13.08,24.94,32.98,13.88,72.91,4.07
2017-07-02,大園,30.02,3.31,12.82,16.15,22.0,28.02,12.55,74.4,4.09
2017-07-09,大園,30.57,2.77,11.25,14.03,21.0,30.03,13.05,71.6,4.48
2017-07-16,大園,30.64,2.77,11.82,14.52,26.98,35.55,16.38,71.1,4.77
2017-07-23,大園,30.7,3.56,11.74,15.33,24.75,32.87,16.34,71.57,4.65
2017-07-30,大園,30.23,2.47,11.9,14.3,25.44,33.36,14.35,73.45,3.56
2017-08-06,大園,31.33,1.42,6.36,7.76,23.05,33.29,12.04,67.11,2.91
2017-08-13,大園,30.54,2.22,11.34,13.51,25.78,30.26,15.64,71.14,4.25
2017-08-20,大園,30.79,3.23,13.35,16.51,23.99,35.3,14.14,69.32,4.25
2017-08-27,大園,30.22,3.9,12.63,16.51,24.22,31.39,10.43,68.12,3.83
2017-09-03,大園,29.85,2.7,14.35,16.87,28.17,32.97,15.47,74.65,4.91
2017-09-10,大園,29.29,2.29,12.81,15.11,32.51,40.77,14.9,68.33,4.16
2017-09-17,大園,29.06,2.25,17.67,19.9,43.68,52.76,26.16,71.82,6.24
2017-09-24,大園,30.65,2.18,13.79,15.84,28.75,37.73,18.11,69.62,3.9
2017-10-01,大園,29.12,2.04,14.12,16.17,37.83,45.91,19.26,74.64,5.03
2017-10-08,大園,28.53,4.32,11.47,15.75,20.32,29.25,7.34,76.53,3.38
2017-10-15,大園,25.28,4.12,10.35,14.43,35.26,33.58,9.85,87.46,1.95
2017-10-22,大園,22.82,1.34,15.74,17.03,50.79,54.52,20.64,63.38,2.38
2017-10-29,大園,22.2,2.88,14.75,17.5,41.57,48.56,15.55,74.26,3.11
2017-11-05,大園,24.09,3.36,15.81,19.15,37.35,46.09,16.97,79.48,3.95
2017-11-12,大園,23.52,3.76,18.16,21.85,28.57,38.34,15.09,86.45,4.47
2017-11-19,大園,19.11,3.06,14.35,17.33,32.2,30.15,8.36,86.64,2.71
2017-11-26,大園,21.59,5.05,14.96,19.86,32.08,39.6,11.53,85.49,3.33
2017-12-03,大園,17.16,4.34,15.48,19.77,35.24,44.5,15.64,74.7,3.03
2017-12-10,大園,18.33,4.46,15.82,20.3,33.0,36.84,11.76,76.8,3.58
2017-12-17,大園,16.43,3.94,16.36,20.24,34.61,49.29,19.0,70.51,3.76
2017-12-24,大園,18.58,3.39,15.95,19.25,36.05,62.74,24.12,71.08,3.4
