日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2017-01-01,汐止,20.77,9.91,22.03,31.9,20.61,37.4,23.25,80.74,3.36
2017-01-08,汐止,16.72,3.5,15.25,18.72,31.72,35.93,25.06,82.41,2.88
2017-01-15,汐止,15.6,6.77,17.55,24.33,26.25,25.03,16.16,80.84,2.05
2017-01-22,汐止,14.96,4.49,15.28,19.74,31.46,30.4,17.95,74.12,2.58
2017-01-29,汐止,16.91,8.56,16.71,25.27,24.49,28.04,19.47,82.66,2.49
2017-02-05,汐止,15.35,4.21,14.22,18.46,35.56,44.57,26.04,66.28,2.17
2017-02-12,汐止,17.39,7.68,23.06,30.78,28.54,34.49,21.72,64.78,2.75
2017-02-19,汐止,17.33,6.34,18.7,25.04,26.6,25.51,19.29,84.38,2.47
2017-02-26,汐止,15.29,6.48,20.19,26.72,32.15,42.05,24.72,75.33,3.15
2017-03-05,汐止,16.21,6.11,23.56,29.63,33.6,37.23,25.71,83.51,3.41
2017-03-12,汐止,17.55,3.54,19.1,22.62,32.29,28.54,18.29,82.73,2.5
2017-03-19,汐止,19.21,4.21,18.11,22.36,34.52,25.76,17.95,82.64,2.9
2017-03-26,汐止,18.46,7.48,23.88,31.34,35.9,58.94,32.7,70.9,2.94
2017-04-02,汐止,21.21,9.43,23.67,33.05,32.33,46.08,30.64,63.83,3.67
2017-04-09,汐止,21.83,9.07,24.02,33.12,26.29,41.37,27.07,81.54,5.18
2017-04-16,汐止,24.35,11.27,20.22,31.39,20.18,38.97,25.83,80.71,2.8
2017-04-23,汐止,20.49,7.46,22.53,29.92,33.59,35.56,21.49,72.25,3.57
2017-04-30,汐止,24.76,7.63,19.16,26.78,26.63,36.39,25.01,75.42,5.2
2017-05-07,汐止,25.69,7.12,19.62,26.74,26.96,43.53,22.94,79.57,4.28
2017-05-14,汐止,24.43,2.66,14.26,16.91,37.22,22.14,15.37,78.8,4.55
2017-05-21,汐止,24.57,4.71,15.8,20.53,30.64,25.23,15.84,81.06,3.62
2017-05-28,汐止,25.97,5.46,14.98,20.43,26.1,17.87,12.11,82.08,2.03
2017-06-04,汐止,28.33,5.73,18.89,24.6,25.41,36.09,23.51,81.01,6.49
2017-06-11,汐止,25.54,8.16,17.67,25.8,19.64,17.5,11.31,88.74,3.18
2017-06-18,汐止,28.1,11.84,17.55,29.37,17.76,25.33,14.57,77.33,3.54
2017-06-25,汐止,30.07,5.26,16.47,21.67,23.07,30.58,19.39,70.77,4.93
2017-07-02,汐止,29.64,9.13,15.43,24.52,15.82,20.88,12.8,74.49,2.83
2017-07-09,汐止,30.77,7.06,15.61,22.71,20.0,27.05,16.72,78.2,5.17
2017-07-16,汐止,31.89,7.17,12.26,19.46,16.65,20.89,12.56,69.32,2.98
2017-07-23,汐止,30.87,4.25,12.66,16.87,29.44,25.58,17.77,79.85,2.81
2017-07-30,汐止,30.35,6.98,16.71,23.66,25.36,32.46,19.28,81.51,3.48
2017-08-06,汐止,32.41,3.92,15.29,19.22,26.15,33.65,20.51,72.07,3.19
2017-08-13,汐止,31.66,4.87,15.47,20.3,30.58,32.28,24.44,76.82,5.42
2017-08-20,汐止,30.89,4.72,10.07,14.83,19.78,16.81,11.37,77.74,1.78
2017-08-27,汐止,29.64,3.17,10.06,13.18,26.14,19.5,11.4,83.58,2.02
2017-09-03,汐止,29.61,5.19,16.01,21.16,19.42,26.52,14.9,83.36,4.2
2017-09-10,汐止,28.71,5.68,15.93,21.57,27.9,32.41,16.14,76.49,3.36
2017-09-17,汐止,29.49,4.5,16.91,21.39,35.76,34.71,21.84,71.52,5.26
2017-09-24,汐止,30.39,4.4,17.23,21.39,35.62,32.75,21.29,74.49,4.24
2017-10-01,汐止,28.2,3.18,12.13,15.16,33.71,30.63,16.92,83.45,3.46
2017-10-08,汐止,27.41,2.64,7.46,10.09,21.12,15.5,6.54,87.78,3.1
2017-10-15,汐止,24.91,7.67,11.09,18.73,30.51,20.3,8.72,89.82,2.03
2017-10-22,汐止,22.25,7.46,20.3,26.81,37.96,45.18,21.37,73.73,2.59
2017-10-29,汐止,22.07,4.8,14.79,19.54,35.44,33.91,15.76,82.42,2.06
2017-11-05,汐止,23.94,2.65,12.48,15.01,32.37,24.25,12.56,86.45,1.8
2017-11-12,汐止,22.95,5.72,18.6,24.22,24.36,22.4,14.3,91.21,2.67
2017-11-19,汐止,18.83,5.62,15.83,21.41,27.15,20.05,13.58,91.23,1.92
2017-11-26,汐止,22.02,5.61,14.87,20.18,28.41,19.69,13.02,88.83,2.26
2017-12-03,汐止,17.26,6.07,18.36,24.23,29.78,32.44,21.56,83.0,2.77
2017-12-10,汐止,18.01,7.01,16.06,22.97,29.09,25.43,18.04,84.96,2.06
2017-12-17,汐止,16.77,6.04,17.11,23.11,29.56,28.87,19.18,77.15,2.94
2017-12-24,汐止,18.44,3.53,15.97,19.36,34.27,48.21,29.89,77.3,2.56
