日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2017-01-01,淡水,,3.03,12.49,15.4,25.74,38.52,18.7,,2.41
2017-01-08,淡水,,1.86,7.19,9.07,33.69,35.78,18.68,,1.91
2017-01-15,淡水,,2.57,6.84,9.43,31.92,27.41,10.56,,1.5
2017-01-22,淡水,,1.44,5.45,6.88,37.91,33.38,12.73,,1.72
2017-01-29,淡水,,3.38,9.13,12.51,28.62,34.66,16.5,,2.25
2017-02-05,淡水,,1.59,6.79,8.36,37.07,44.92,21.9,,2.28
2017-02-12,淡水,,3.19,12.82,16.01,33.27,35.26,17.19,,2.16
2017-02-19,淡水,,2.32,10.45,12.74,31.64,31.1,15.78,,1.65
2017-02-26,淡水,,2.33,12.58,14.89,33.42,43.73,20.9,,1.48
2017-03-05,淡水,,3.37,14.69,18.03,33.76,39.94,21.23,,2.53
2017-03-12,淡水,,1.53,8.53,10.01,34.77,31.9,14.22,,1.92
2017-03-19,淡水,,1.71,11.02,12.77,39.91,26.18,14.2,,1.82
2017-03-26,淡水,,2.1,15.03,17.13,46.27,65.83,32.26,,3.01
2017-04-02,淡水,,3.07,15.63,18.67,40.38,49.84,27.8,,2.87
2017-04-09,淡水,,3.44,15.73,19.17,29.55,46.06,22.62,,2.16
2017-04-16,淡水,,2.38,13.12,15.51,27.44,48.33,25.01,,2.74
2017-04-23,淡水,,2.89,12.61,15.49,39.35,39.31,19.12,,2.11
2017-04-30,淡水,,2.69,14.65,17.33,28.49,42.79,23.67,,2.84
2017-05-07,淡水,,2.01,11.87,13.89,28.76,43.94,20.17,,3.15
2017-05-14,淡水,,1.2,6.32,7.52,38.16,26.69,14.43,,2.25
2017-05-21,淡水,,2.0,9.07,11.08,30.28,26.57,12.88,,2.39
2017-05-28,淡水,,1.66,8.56,10.19,28.62,21.65,10.88,,2.43
2017-06-04,淡水,,2.79,12.31,15.11,21.3,36.96,18.59,,2.92
2017-06-11,淡水,,3.66,12.28,15.95,22.22,22.13,7.81,,1.75
2017-06-18,淡水,,5.69,11.58,17.26,14.6,25.38,9.83,,2.68
2017-06-25,淡水,,2.4,10.8,13.22,22.52,32.29,13.75,,2.94
2017-07-02,淡水,28.67,3.22,11.98,15.2,18.43,23.79,6.79,79.52,2.68
2017-07-09,淡水,29.47,2.93,12.1,15.01,19.15,25.94,9.52,77.15,3.08
2017-07-16,淡水,30.44,1.65,9.27,10.9,22.95,25.55,10.49,69.59,3.1
2017-07-23,淡水,29.98,1.99,8.87,10.88,22.88,23.46,11.77,75.17,3.1
2017-07-30,淡水,29.38,2.79,12.2,14.97,21.24,29.88,15.86,77.9,2.62
2017-08-06,淡水,31.07,1.9,7.8,9.7,19.13,32.14,14.15,69.37,3.26
2017-08-13,淡水,30.31,2.12,8.99,11.15,22.78,29.49,14.68,72.75,3.01
2017-08-20,淡水,30.52,1.76,6.91,8.66,20.37,16.98,7.6,67.61,2.54
2017-08-27,淡水,29.26,1.54,5.96,7.49,23.16,16.89,7.23,70.95,2.52
2017-09-03,淡水,28.84,2.33,10.36,12.69,21.27,25.88,10.56,78.59,3.01
2017-09-10,淡水,28.16,2.23,10.51,12.75,27.72,38.64,11.87,72.76,2.93
2017-09-17,淡水,28.75,1.44,10.56,11.98,33.88,38.66,18.43,69.74,3.75
2017-09-24,淡水,29.55,2.93,10.66,13.6,25.27,32.41,13.29,71.76,3.43
2017-10-01,淡水,28.33,1.2,5.82,7.02,33.67,33.23,13.67,78.21,1.81
2017-10-08,淡水,28.0,1.12,3.26,4.37,20.96,17.68,4.91,79.0,2.0
2017-10-15,淡水,24.0,3.24,5.4,8.61,31.86,26.83,7.44,92.95,1.86
2017-10-22,淡水,21.5,2.05,11.7,13.76,41.04,45.88,18.13,73.97,1.52
2017-10-29,淡水,21.46,1.26,7.04,8.26,37.09,37.12,13.09,80.36,1.83
2017-11-05,淡水,23.93,0.99,4.69,5.67,36.78,27.82,12.5,80.85,1.93
2017-11-12,淡水,22.63,1.99,10.08,12.01,24.93,24.9,11.05,88.32,2.13
2017-11-19,淡水,18.41,2.02,7.54,9.55,28.4,21.68,7.81,88.84,1.35
2017-11-26,淡水,21.55,3.03,6.22,9.23,30.53,20.81,9.96,81.89,1.18
2017-12-03,淡水,16.94,2.02,8.36,10.37,31.45,34.46,14.64,75.76,2.05
2017-12-10,淡水,18.18,3.3,7.55,10.86,29.98,26.5,9.57,74.87,1.63
2017-12-17,淡水,16.13,1.4,7.79,9.17,31.75,34.55,13.73,71.72,2.29
2017-12-24,淡水,18.29,1.8,7.67,9.42,32.78,47.14,22.05,70.08,2.08
