日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2017-01-01,小港,22.8,7.34,31.44,38.73,26.43,95.81,57.69,77.23,5.55
2017-01-08,小港,22.41,8.28,33.76,42.08,26.18,95.02,53.3,73.51,6.98
2017-01-15,小港,20.88,6.95,31.13,38.09,21.63,80.86,42.85,70.3,5.06
2017-01-22,小港,19.96,6.33,29.76,36.21,29.17,91.05,43.21,66.2,6.42
2017-01-29,小港,21.4,4.74,27.88,32.64,25.76,81.9,42.29,69.76,6.78
2017-02-05,小港,19.47,6.4,29.77,36.14,25.85,99.49,51.41,67.07,5.79
2017-02-12,小港,20.6,6.44,33.34,39.73,31.19,85.71,44.58,62.64,6.47
2017-02-19,小港,23.27,7.16,27.07,34.03,23.73,81.83,38.94,73.84,7.9
2017-02-26,小港,20.99,4.06,26.35,30.29,36.1,90.82,47.23,63.29,6.61
2017-03-05,小港,22.27,6.18,28.65,34.71,26.0,74.76,46.34,73.64,6.44
2017-03-12,小港,23.34,4.45,26.72,31.14,32.52,69.41,40.06,74.98,7.07
2017-03-19,小港,25.46,3.57,24.48,27.73,35.73,72.94,33.74,72.07,7.37
2017-03-26,小港,22.96,2.85,23.94,26.8,38.53,64.54,29.62,67.03,6.25
2017-04-02,小港,24.26,2.72,18.44,21.18,42.89,59.86,26.59,61.6,7.08
2017-04-09,小港,26.09,6.37,22.86,29.12,19.23,53.25,23.85,79.36,9.06
2017-04-16,小港,27.42,4.77,16.58,21.2,18.89,40.88,15.25,78.01,7.89
2017-04-23,小港,24.99,2.89,22.83,25.56,42.11,56.45,27.2,73.52,8.44
2017-04-30,小港,28.04,2.63,17.88,20.35,39.68,60.17,26.07,69.26,9.5
2017-05-07,小港,29.21,3.38,14.41,17.64,27.61,47.48,15.77,72.48,8.88
2017-05-14,小港,27.27,3.58,21.3,24.94,35.43,45.06,19.08,77.09,8.0
2017-05-21,小港,28.2,3.6,17.4,20.98,30.91,37.89,12.69,78.08,7.29
2017-05-28,小港,28.48,5.62,15.34,20.93,24.35,40.1,14.07,82.89,10.63
2017-06-04,小港,29.81,6.03,13.29,19.27,10.83,33.89,10.7,79.46,10.33
2017-06-11,小港,29.27,6.21,12.93,19.15,9.99,33.37,10.61,81.27,8.82
2017-06-18,小港,30.13,4.92,10.77,15.56,11.58,28.53,9.26,75.17,6.88
2017-06-25,小港,30.52,4.35,11.25,15.6,15.35,28.56,8.44,72.71,7.06
2017-07-02,小港,30.72,5.0,9.85,14.84,12.08,33.48,8.04,70.67,9.36
2017-07-09,小港,31.09,4.57,10.77,15.31,17.13,32.77,9.44,69.48,7.58
2017-07-16,小港,30.71,3.6,14.59,18.1,30.09,43.3,19.41,71.67,7.37
2017-07-23,小港,30.62,3.51,13.34,16.66,20.57,34.49,13.96,75.37,6.8
2017-07-30,小港,29.86,6.86,14.62,21.47,17.28,42.16,16.62,82.48,9.68
2017-08-06,小港,31.61,3.88,9.14,12.98,14.42,31.57,12.88,75.43,5.91
2017-08-13,小港,31.93,2.88,11.4,14.2,21.09,31.03,14.01,69.27,6.15
2017-08-20,小港,31.08,5.68,17.53,22.79,20.53,44.75,19.56,72.43,11.57
2017-08-27,小港,29.9,4.76,15.45,20.18,19.7,39.46,17.48,77.17,7.65
2017-09-03,小港,30.66,4.87,13.46,18.36,17.96,38.92,15.53,74.93,10.99
2017-09-10,小港,31.25,2.52,15.82,18.26,31.79,43.17,19.94,70.45,6.88
2017-09-17,小港,31.02,3.13,21.64,24.62,42.09,59.07,31.91,68.46,9.46
2017-09-24,小港,31.45,3.87,14.23,18.09,24.85,43.77,18.27,72.85,7.61
2017-10-01,小港,30.9,2.73,17.3,19.79,38.75,64.16,32.17,74.04,8.52
2017-10-08,小港,29.99,4.54,17.4,21.55,27.98,54.88,23.91,77.17,6.65
2017-10-15,小港,28.62,3.19,20.45,23.65,29.66,60.27,22.2,76.4,5.13
2017-10-22,小港,26.35,2.13,26.0,27.87,45.89,88.14,36.42,62.83,6.55
2017-10-29,小港,26.31,2.7,27.17,29.75,36.94,91.72,33.91,64.65,6.53
2017-11-05,小港,26.85,4.13,31.62,35.43,28.24,99.33,47.44,76.53,7.61
2017-11-12,小港,27.35,5.45,29.45,34.86,27.03,73.62,40.67,76.18,6.83
2017-11-19,小港,24.33,5.4,30.4,35.79,23.68,80.99,33.78,68.43,5.48
2017-11-26,小港,25.43,4.45,29.42,33.77,25.64,90.28,40.84,73.89,5.27
2017-12-03,小港,22.01,5.2,32.03,37.17,21.94,83.77,38.98,66.16,5.28
2017-12-10,小港,21.93,6.28,31.91,37.89,21.42,82.81,40.36,71.3,5.77
2017-12-17,小港,20.11,4.86,29.11,33.94,25.45,71.44,33.99,64.33,4.97
2017-12-24,小港,21.96,3.89,28.22,32.11,31.58,94.75,49.03,70.33,5.73
