日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2018-01-01,土城,19.28,3.95,14.69,18.63,28.54,26.78,11.73,78.74,2.38
2018-01-08,土城,13.73,4.76,16.07,20.82,27.33,28.39,11.75,67.66,2.19
2018-01-15,土城,19.73,9.73,19.91,29.63,28.65,31.93,17.66,80.14,2.78
2018-01-22,土城,17.88,1.76,12.49,14.25,32.15,26.69,11.07,77.66,1.68
2018-01-29,土城,12.43,1.67,18.42,20.09,26.1,24.27,14.47,90.09,2.11
2018-02-05,土城,12.78,8.85,23.4,32.24,23.9,36.76,19.93,85.79,2.18
2018-02-12,土城,18.09,7.52,20.16,27.69,31.89,63.39,27.56,68.76,2.25
2018-02-19,土城,17.85,6.24,19.34,25.58,27.57,43.17,24.26,81.65,2.5
2018-02-26,土城,21.42,16.02,25.59,41.6,22.55,60.32,34.68,75.39,3.69
2018-03-05,土城,18.24,3.23,14.16,17.4,33.0,31.44,14.65,68.47,1.97
2018-03-12,土城,20.92,10.53,25.12,35.65,25.55,45.95,23.97,72.28,2.96
2018-03-19,土城,19.37,4.31,17.62,21.92,35.68,44.2,18.81,65.42,2.39
2018-03-26,土城,23.74,4.15,13.99,18.15,35.38,39.97,15.6,60.65,2.17
2018-04-02,土城,21.49,4.38,16.13,20.49,35.57,65.38,25.08,67.17,2.47
2018-04-09,土城,23.8,10.57,24.87,35.45,27.18,53.03,25.66,73.52,3.89
2018-04-16,土城,23.13,3.49,16.47,19.97,42.58,53.54,21.17,67.05,2.28
2018-04-23,土城,24.47,4.0,18.08,22.09,41.63,42.68,22.96,70.49,2.83
2018-04-30,土城,26.54,4.08,18.04,22.11,36.86,47.36,26.61,68.72,3.41
2018-05-07,土城,26.34,2.87,16.07,18.94,39.22,40.77,18.75,67.54,3.19
2018-05-14,土城,29.77,5.73,18.52,24.24,27.78,40.81,25.09,69.66,4.52
2018-05-21,土城,29.11,3.25,16.17,19.42,35.7,38.95,21.31,67.19,3.64
2018-05-28,土城,28.49,2.58,13.53,16.1,40.27,31.25,18.7,71.18,2.16
2018-06-04,土城,29.54,3.32,12.44,15.76,24.22,20.66,12.56,70.62,1.86
2018-06-11,土城,27.37,2.0,12.63,14.63,42.07,26.37,12.59,71.14,1.78
2018-06-18,土城,29.58,6.46,13.77,20.21,19.2,25.71,9.18,71.02,2.29
2018-06-25,土城,30.19,4.32,15.14,19.44,28.97,34.42,17.45,67.93,3.46
2018-07-02,土城,30.73,4.7,12.83,17.53,20.17,24.43,10.16,61.51,2.59
2018-07-09,土城,30.45,3.58,7.76,11.35,14.7,18.5,8.36,63.78,1.22
2018-07-16,土城,30.88,3.1,6.7,9.8,12.71,14.98,7.3,63.79,1.63
2018-07-23,土城,30.21,6.64,16.55,23.18,25.66,35.76,18.82,71.17,3.32
2018-07-30,土城,31.29,3.4,14.64,18.03,31.73,33.67,16.7,65.49,3.22
2018-08-06,土城,30.82,3.22,13.57,16.8,27.42,30.1,17.98,63.89,2.96
2018-08-13,土城,29.49,4.18,15.63,19.81,24.78,25.5,12.42,73.18,2.54
2018-08-20,土城,29.21,3.99,14.99,18.98,24.99,23.48,10.04,74.88,2.15
2018-08-27,土城,27.7,7.7,17.66,25.35,21.42,31.89,12.26,77.58,2.79
2018-09-03,土城,28.72,4.37,16.92,21.29,26.42,34.1,15.45,74.07,2.47
2018-09-10,土城,29.46,4.88,9.98,14.86,18.9,18.89,7.93,68.24,1.59
2018-09-17,土城,30.2,4.75,13.96,18.7,24.84,33.7,18.67,65.04,2.72
2018-09-24,土城,25.49,3.03,15.92,18.95,31.86,35.22,14.43,75.79,1.47
2018-10-01,土城,25.17,1.03,11.91,12.93,51.24,37.75,18.62,62.89,2.04
2018-10-08,土城,23.32,1.66,12.42,14.08,36.27,22.53,12.27,81.16,1.91
2018-10-15,土城,23.5,1.69,12.83,14.53,41.0,25.81,13.46,74.36,2.12
2018-10-22,土城,24.21,3.86,15.29,19.16,38.7,45.54,20.73,66.93,2.11
2018-10-29,土城,22.53,1.47,12.3,13.78,42.69,24.41,13.77,73.63,1.77
2018-11-05,土城,25.1,4.94,16.8,21.74,26.65,34.57,23.6,75.2,2.45
2018-11-12,土城,23.69,3.29,14.99,18.28,30.4,29.14,18.17,72.76,2.12
2018-11-19,土城,21.96,2.21,13.91,16.11,31.51,23.98,14.68,73.11,2.14
2018-11-26,土城,21.93,6.05,17.4,23.44,30.76,36.85,20.08,69.4,2.04
2018-12-03,土城,21.39,8.9,18.78,27.68,26.98,29.4,16.8,76.82,2.76
2018-12-10,土城,19.23,3.55,14.2,17.75,24.4,19.8,11.13,80.84,2.13
2018-12-17,土城,19.9,13.25,22.75,35.98,27.47,43.57,24.3,68.25,2.58
2018-12-24,土城,17.48,2.31,12.97,15.27,27.47,13.12,8.32,82.69,1.38
