日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2018-01-01,宜蘭,18.0,1.33,8.14,9.47,29.36,33.61,12.02,84.25,1.6
2018-01-08,宜蘭,13.11,0.76,6.65,7.4,33.95,32.38,12.63,65.09,1.86
2018-01-15,宜蘭,18.92,1.41,9.08,10.48,33.68,30.95,12.75,83.66,1.3
2018-01-22,宜蘭,16.84,0.75,5.88,6.63,37.34,29.78,10.71,83.11,0.7
2018-01-29,宜蘭,12.65,0.91,6.97,7.89,35.99,21.15,9.17,82.74,0.85
2018-02-05,宜蘭,12.65,1.49,8.69,10.18,32.8,28.97,12.46,80.29,1.29
2018-02-12,宜蘭,17.77,0.83,7.01,7.86,39.2,55.34,20.1,70.78,1.46
2018-02-19,宜蘭,18.8,0.75,6.09,6.85,36.64,30.14,13.2,79.12,1.43
2018-02-26,宜蘭,21.01,1.12,7.27,8.38,35.64,38.76,16.1,79.26,1.43
2018-03-05,宜蘭,18.01,0.9,5.28,6.18,39.53,34.25,13.12,68.65,1.47
2018-03-12,宜蘭,21.35,0.95,6.26,7.21,36.47,36.14,12.98,72.99,1.58
2018-03-19,宜蘭,19.73,0.65,5.73,6.4,45.15,43.07,16.27,63.62,1.52
2018-03-26,宜蘭,22.53,0.75,5.57,6.32,36.06,42.05,14.91,70.58,1.59
2018-04-02,宜蘭,21.65,0.71,5.76,6.46,37.28,63.7,19.65,68.73,1.57
2018-04-09,宜蘭,23.88,0.91,5.72,6.63,36.9,40.7,14.71,72.88,1.69
2018-04-16,宜蘭,21.69,0.66,5.67,6.34,40.08,48.08,15.14,76.24,1.57
2018-04-23,宜蘭,23.12,0.76,6.1,6.88,43.24,40.86,18.94,78.12,1.71
2018-04-30,宜蘭,25.3,1.01,6.64,7.66,33.68,41.19,16.63,76.11,1.53
2018-05-07,宜蘭,25.02,0.88,5.67,6.56,34.66,36.79,13.86,74.45,1.87
2018-05-14,宜蘭,29.07,1.0,5.38,6.37,24.97,30.61,12.13,75.3,2.04
2018-05-21,宜蘭,28.24,0.7,4.73,5.45,39.52,37.68,13.09,75.43,2.35
2018-05-28,宜蘭,28.02,0.69,4.87,5.56,41.1,30.99,10.55,75.04,1.91
2018-06-04,宜蘭,28.36,1.18,3.28,4.45,22.35,20.58,5.5,79.43,2.0
2018-06-11,宜蘭,26.73,0.61,4.28,4.89,44.78,26.35,10.27,74.57,1.79
2018-06-18,宜蘭,28.08,0.96,5.44,6.39,22.69,23.26,7.61,82.06,2.81
2018-06-25,宜蘭,29.54,0.96,4.55,5.52,24.08,25.3,9.08,73.14,3.3
2018-07-02,宜蘭,29.75,0.87,6.36,7.24,25.56,27.1,8.24,68.25,3.57
2018-07-09,宜蘭,28.84,1.14,3.24,4.36,14.79,18.7,3.98,74.96,2.56
2018-07-16,宜蘭,29.18,1.37,3.59,4.96,11.99,18.51,4.35,76.6,2.53
2018-07-23,宜蘭,29.74,1.05,5.16,6.21,27.06,31.31,13.79,72.62,3.53
2018-07-30,宜蘭,30.28,0.59,5.59,6.17,35.87,32.16,15.77,70.89,4.56
2018-08-06,宜蘭,30.34,0.77,4.55,5.33,28.94,28.64,13.36,67.81,3.82
2018-08-13,宜蘭,29.07,1.76,5.92,7.69,26.88,22.85,8.03,78.9,3.26
2018-08-20,宜蘭,29.12,1.28,5.2,6.5,30.28,25.37,6.87,77.12,2.12
2018-08-27,宜蘭,27.86,1.37,5.42,6.78,18.8,28.24,6.26,76.56,1.99
2018-09-03,宜蘭,28.77,0.95,4.36,5.32,27.21,33.71,11.89,73.59,2.06
2018-09-10,宜蘭,27.79,1.42,4.42,5.83,17.01,27.64,4.49,81.16,2.04
2018-09-17,宜蘭,28.69,1.37,4.19,5.54,16.63,28.23,7.98,75.87,1.93
2018-09-24,宜蘭,25.49,0.63,3.99,4.62,37.93,29.7,7.89,75.08,1.75
2018-10-01,宜蘭,24.72,0.54,4.03,4.58,51.96,39.46,13.35,66.89,1.75
2018-10-08,宜蘭,21.62,0.63,4.51,5.14,36.41,20.68,7.13,92.36,1.42
2018-10-15,宜蘭,21.99,0.7,4.53,5.23,41.41,26.21,9.68,85.19,1.54
2018-10-22,宜蘭,23.43,0.69,4.37,5.06,39.96,39.24,11.34,71.44,1.65
2018-10-29,宜蘭,21.1,1.41,5.94,7.36,41.53,26.25,8.64,82.79,1.88
2018-11-05,宜蘭,23.9,1.03,5.1,6.12,23.84,23.43,4.95,85.25,1.54
2018-11-12,宜蘭,22.65,0.81,4.69,5.5,32.87,18.32,9.62,81.05,1.66
2018-11-19,宜蘭,20.49,0.67,4.96,5.63,31.86,15.93,12.15,82.43,1.63
2018-11-26,宜蘭,20.8,0.74,5.59,6.33,31.96,28.21,13.86,75.52,1.32
2018-12-03,宜蘭,20.82,1.13,5.12,6.23,31.34,16.89,8.67,83.21,1.71
2018-12-10,宜蘭,18.67,0.91,5.98,6.88,29.61,14.69,7.85,85.65,1.97
2018-12-17,宜蘭,19.48,0.83,7.27,8.09,34.74,34.42,13.81,70.28,2.72
2018-12-24,宜蘭,17.12,0.76,5.31,6.07,32.44,11.6,4.78,86.92,1.74
