日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2018-01-01,朴子,19.07,2.36,10.12,12.47,27.64,66.01,23.68,87.81,2.51
2018-01-08,朴子,14.5,2.35,10.04,12.38,32.63,52.83,16.57,69.75,2.82
2018-01-15,朴子,20.2,1.75,9.99,11.74,33.15,82.02,36.16,84.9,2.53
2018-01-22,朴子,18.76,1.84,9.26,11.1,33.65,72.33,19.81,81.45,2.76
2018-01-29,朴子,14.19,1.7,9.43,11.12,32.24,49.55,19.86,80.04,2.47
2018-02-05,朴子,14.15,1.96,11.87,13.82,31.57,70.94,30.82,79.75,2.58
2018-02-12,朴子,19.34,1.4,10.27,11.65,40.24,104.27,38.18,72.47,2.87
2018-02-19,朴子,19.63,2.07,10.44,12.5,34.52,81.62,33.35,82.49,2.93
2018-02-26,朴子,22.19,2.33,10.61,12.91,32.74,93.96,40.9,81.64,2.61
2018-03-05,朴子,19.4,0.99,10.53,11.51,35.52,70.19,22.41,74.45,3.02
2018-03-12,朴子,21.73,1.76,10.95,12.72,41.18,84.17,39.9,77.54,3.0
2018-03-19,朴子,21.06,1.32,9.96,11.28,44.98,74.8,27.94,66.82,2.82
2018-03-26,朴子,23.52,1.05,8.36,9.41,46.38,90.97,38.07,76.0,2.59
2018-04-02,朴子,23.52,1.4,7.9,9.28,42.96,103.77,32.94,65.14,2.45
2018-04-09,朴子,26.16,2.09,9.77,11.86,33.49,61.49,17.87,72.64,3.05
2018-04-16,朴子,24.32,1.57,9.94,11.52,48.78,82.83,32.62,74.51,3.45
2018-04-23,朴子,26.83,1.95,9.53,11.48,46.59,78.11,34.16,74.35,3.94
2018-04-30,朴子,28.13,2.28,7.08,9.36,38.54,69.38,24.59,73.69,2.95
2018-05-07,朴子,27.06,1.9,8.94,10.84,34.37,65.3,21.97,77.83,3.77
2018-05-14,朴子,29.49,2.39,7.0,9.36,16.71,37.17,12.19,77.19,2.42
2018-05-21,朴子,29.97,1.85,6.68,8.52,28.07,49.18,19.36,72.85,2.61
2018-05-28,朴子,30.26,2.13,6.3,8.42,33.99,81.36,17.91,75.15,2.87
2018-06-04,朴子,30.98,2.06,6.87,8.92,35.13,54.81,17.56,75.3,2.8
2018-06-11,朴子,28.83,1.53,7.67,9.21,43.92,53.17,17.47,80.94,2.7
2018-06-18,朴子,28.04,1.97,7.34,9.3,19.1,36.68,7.6,90.11,2.29
2018-06-25,朴子,30.0,1.98,7.21,9.17,19.1,40.09,9.83,78.09,2.29
2018-07-02,朴子,28.92,2.3,7.36,9.66,20.3,36.39,7.9,84.67,1.97
2018-07-09,朴子,30.17,1.84,6.14,7.96,26.14,54.26,18.46,80.54,2.49
2018-07-16,朴子,30.93,1.72,6.78,8.5,31.3,48.14,18.24,77.4,2.68
2018-07-23,朴子,30.49,2.11,7.51,9.61,20.88,45.87,12.56,79.08,2.39
2018-07-30,朴子,30.81,2.17,6.27,8.43,22.61,45.58,8.19,77.24,2.18
2018-08-06,朴子,30.93,1.65,6.68,8.32,31.58,57.24,18.37,74.79,2.49
2018-08-13,朴子,29.58,2.5,7.37,9.86,24.62,41.37,8.11,82.42,2.53
2018-08-20,朴子,28.08,1.88,7.06,8.94,31.21,34.19,9.01,91.15,2.22
2018-08-27,朴子,27.08,2.41,6.99,9.37,18.33,31.43,8.48,90.82,1.95
2018-09-03,朴子,29.48,1.86,6.97,8.82,27.63,45.36,12.85,82.31,1.91
2018-09-10,朴子,29.25,2.2,7.61,9.81,32.59,61.32,21.03,84.05,2.81
2018-09-17,朴子,30.22,2.08,6.6,8.67,30.3,54.22,22.21,78.71,2.98
2018-09-24,朴子,27.9,1.23,6.45,7.65,45.91,85.47,16.84,71.01,2.56
2018-10-01,朴子,26.39,1.44,8.3,9.73,56.92,93.77,26.08,68.26,3.02
2018-10-08,朴子,25.9,1.79,9.1,10.87,37.71,65.36,20.67,80.1,3.08
2018-10-15,朴子,25.42,1.76,8.12,9.87,40.28,65.71,21.17,79.9,2.45
2018-10-22,朴子,25.03,1.19,8.28,9.46,43.52,105.97,29.39,75.08,3.14
2018-10-29,朴子,23.34,1.35,10.64,12.0,36.75,74.59,19.54,78.67,3.08
2018-11-05,朴子,25.55,1.34,8.19,9.14,35.13,85.4,37.44,87.18,2.39
2018-11-12,朴子,24.51,1.35,11.19,12.54,32.15,70.62,28.91,83.9,3.34
2018-11-19,朴子,23.14,1.38,10.97,12.36,32.1,67.18,20.73,81.26,2.91
2018-11-26,朴子,22.24,1.89,12.16,14.05,33.1,60.5,27.48,86.21,3.11
2018-12-03,朴子,23.29,1.91,11.26,13.15,26.84,73.36,22.37,80.94,3.36
2018-12-10,朴子,21.03,1.26,10.28,11.55,25.58,49.1,15.96,82.46,3.01
2018-12-17,朴子,20.86,2.79,13.9,16.69,29.86,85.96,32.99,78.82,2.73
2018-12-24,朴子,19.83,1.4,9.44,10.85,28.9,72.95,14.06,79.08,2.87
