日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2018-01-01,屏東,21.07,2.66,19.3,21.96,24.62,70.63,42.18,78.68,2.78
2018-01-08,屏東,16.67,2.01,17.08,19.1,22.83,48.24,24.61,70.38,2.09
2018-01-15,屏東,22.56,2.62,22.5,25.12,30.99,87.27,52.29,71.26,3.58
2018-01-22,屏東,22.07,1.45,17.81,19.25,32.38,77.88,36.59,70.68,2.89
2018-01-29,屏東,16.56,2.47,17.43,19.9,20.0,58.55,31.4,77.39,2.14
2018-02-05,屏東,16.31,2.12,16.69,18.8,21.09,56.04,31.77,75.49,1.69
2018-02-12,屏東,21.63,1.77,16.23,18.0,30.86,73.06,32.06,67.82,2.68
2018-02-19,屏東,23.13,1.66,17.03,18.67,29.48,66.96,37.52,70.68,2.63
2018-02-26,屏東,25.09,1.91,15.07,16.99,31.9,59.28,31.7,69.01,2.91
2018-03-05,屏東,21.78,1.98,16.24,18.21,31.26,60.12,31.74,70.41,3.12
2018-03-12,屏東,23.65,0.99,15.23,16.22,47.38,59.98,37.67,64.76,2.9
2018-03-19,屏東,22.99,1.1,13.71,14.82,46.0,57.58,27.1,61.11,2.39
2018-03-26,屏東,24.63,0.82,13.7,14.53,47.09,58.66,34.02,64.28,2.93
2018-04-02,屏東,24.46,0.97,11.89,12.85,38.79,68.93,30.35,65.88,2.75
2018-04-09,屏東,27.41,1.45,12.4,13.85,29.07,49.84,16.89,66.05,3.02
2018-04-16,屏東,26.8,0.98,13.79,14.77,49.06,67.54,32.84,64.62,3.84
2018-04-23,屏東,27.33,1.0,13.03,14.02,39.94,66.7,29.37,73.32,3.01
2018-04-30,屏東,28.99,1.15,11.3,12.44,34.79,46.62,20.34,67.01,2.9
2018-05-07,屏東,27.55,1.36,12.44,13.79,31.62,39.29,17.58,75.95,2.59
2018-05-14,屏東,30.35,1.99,10.32,12.3,20.26,31.45,13.25,71.18,2.88
2018-05-21,屏東,30.63,1.3,10.61,11.91,26.73,39.47,17.58,69.2,3.15
2018-05-28,屏東,31.08,1.36,10.4,11.76,30.51,34.73,16.31,70.02,2.91
2018-06-04,屏東,30.82,1.15,10.08,11.22,32.71,35.32,14.21,71.55,2.99
2018-06-11,屏東,28.48,0.97,10.12,11.09,38.02,36.41,11.7,82.1,2.15
2018-06-18,屏東,27.79,2.87,10.86,13.72,15.74,33.74,7.04,85.75,2.22
2018-06-25,屏東,29.44,1.38,9.47,10.87,19.26,32.0,9.52,77.92,2.36
2018-07-02,屏東,27.25,2.08,10.07,12.13,16.48,19.24,5.76,85.75,1.72
2018-07-09,屏東,29.64,1.1,9.6,10.7,28.49,30.23,14.21,76.7,2.91
2018-07-16,屏東,29.58,0.94,9.44,10.38,29.05,31.89,15.3,79.2,2.61
2018-07-23,屏東,28.85,1.01,9.42,10.42,23.46,28.02,11.91,81.78,2.21
2018-07-30,屏東,29.82,1.25,8.2,9.45,21.2,25.37,10.34,77.32,2.11
2018-08-06,屏東,29.18,0.91,7.93,8.82,31.24,25.23,12.47,78.74,1.81
2018-08-13,屏東,27.8,1.38,9.5,10.88,22.68,18.1,7.7,86.6,1.9
2018-08-20,屏東,27.1,1.27,9.14,10.4,27.31,16.36,7.08,88.62,1.14
2018-08-27,屏東,26.39,3.26,7.96,11.21,17.12,17.65,7.01,87.1,1.36
2018-09-03,屏東,28.48,1.01,8.82,9.84,25.16,27.44,12.82,81.33,2.08
2018-09-10,屏東,28.86,1.15,10.92,12.07,27.39,34.3,17.78,81.19,2.63
2018-09-17,屏東,29.88,0.78,9.41,10.19,33.77,40.89,22.39,75.42,2.5
2018-09-24,屏東,28.44,0.79,9.8,10.6,41.93,47.67,20.53,75.14,2.49
2018-10-01,屏東,27.23,0.58,10.66,11.27,56.26,57.98,30.17,70.8,2.9
2018-10-08,屏東,26.95,0.88,12.78,13.68,43.24,52.91,34.01,79.08,2.9
2018-10-15,屏東,27.09,0.84,12.64,13.5,44.38,56.74,31.13,76.65,3.07
2018-10-22,屏東,26.78,0.9,13.46,14.36,45.63,65.47,35.4,73.42,3.34
2018-10-29,屏東,25.21,1.48,17.1,18.57,33.31,69.63,33.91,75.9,2.97
2018-11-05,屏東,27.05,0.99,13.95,14.95,36.08,73.4,41.29,75.28,3.24
2018-11-12,屏東,26.59,0.82,14.57,15.4,42.92,73.88,45.89,73.69,3.51
2018-11-19,屏東,25.07,1.23,15.54,16.79,36.77,64.9,31.62,72.71,2.83
2018-11-26,屏東,24.42,1.07,15.61,16.68,30.93,54.31,30.83,74.61,2.55
2018-12-03,屏東,25.52,1.25,17.89,19.15,35.21,73.97,34.85,71.81,3.16
2018-12-10,屏東,23.47,1.43,17.82,19.25,30.19,76.56,39.38,75.83,2.93
2018-12-17,屏東,23.16,1.09,17.4,18.5,37.59,81.8,42.17,70.2,2.97
2018-12-24,屏東,22.14,1.41,16.58,17.98,31.66,71.9,30.04,73.21,2.83
