日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2018-01-01,楠梓,19.49,7.33,19.44,26.77,22.96,95.22,42.63,81.89,2.62
2018-01-08,楠梓,14.92,5.93,17.4,23.34,25.74,64.99,27.98,69.04,2.67
2018-01-15,楠梓,20.89,5.48,20.8,26.29,26.59,106.55,62.43,76.65,2.64
2018-01-22,楠梓,19.84,4.8,17.7,22.5,28.21,89.11,41.88,74.94,2.77
2018-01-29,楠梓,14.81,5.39,16.92,22.31,22.81,60.91,35.75,77.33,2.02
2018-02-05,楠梓,14.28,6.28,18.98,25.26,20.99,71.57,44.6,78.1,1.91
2018-02-12,楠梓,20.3,4.87,14.9,19.78,33.02,88.33,35.59,70.29,2.19
2018-02-19,楠梓,21.16,4.38,16.12,20.5,29.91,83.7,41.35,74.89,2.54
2018-02-26,楠梓,23.78,5.33,16.88,22.21,29.47,88.33,38.03,73.05,3.14
2018-03-05,楠梓,20.43,4.59,15.2,19.79,31.98,81.86,31.68,71.77,2.84
2018-03-12,楠梓,22.63,4.46,17.92,22.38,43.98,82.43,36.16,67.11,3.09
2018-03-19,楠梓,21.87,4.45,16.26,20.72,44.39,78.41,28.83,62.19,2.82
2018-03-26,楠梓,24.02,4.29,15.06,19.35,45.42,90.27,38.27,66.88,2.8
2018-04-02,楠梓,23.56,3.26,10.73,13.99,39.23,92.05,31.17,65.68,2.5
2018-04-09,楠梓,26.68,4.57,14.33,18.89,29.33,59.38,19.5,67.64,3.37
2018-04-16,楠梓,25.45,2.49,13.86,16.36,46.34,86.91,35.13,66.21,3.55
2018-04-23,楠梓,26.98,3.55,11.56,15.1,43.81,65.88,25.18,72.79,3.12
2018-04-30,楠梓,28.36,3.64,11.0,14.64,35.31,64.18,22.67,68.99,3.26
2018-05-07,楠梓,27.28,3.22,11.81,15.03,33.77,52.25,13.56,75.01,2.95
2018-05-14,楠梓,29.68,5.48,9.83,15.31,17.78,41.29,7.78,71.46,3.32
2018-05-21,楠梓,29.95,4.11,9.4,13.51,25.94,50.19,10.69,69.2,2.84
2018-05-28,楠梓,30.36,2.78,10.47,13.25,30.98,51.18,10.84,71.08,3.08
2018-06-04,楠梓,30.34,2.68,11.75,14.42,31.33,50.45,10.95,71.0,2.62
2018-06-11,楠梓,28.03,2.47,13.27,15.73,38.85,48.05,13.72,80.75,2.9
2018-06-18,楠梓,28.82,6.84,12.78,19.62,14.09,35.27,9.47,80.4,2.92
2018-06-25,楠梓,29.2,3.81,9.64,13.45,17.34,39.64,12.29,76.34,2.25
2018-07-02,楠梓,26.77,5.6,12.42,18.02,15.69,30.7,8.31,85.38,1.97
2018-07-09,楠梓,29.15,2.7,10.43,13.13,27.27,40.6,16.3,75.98,2.85
2018-07-16,楠梓,29.21,2.04,8.15,10.19,29.15,44.47,16.86,77.71,2.21
2018-07-23,楠梓,28.68,4.05,10.48,14.53,22.06,39.28,14.93,79.57,1.99
2018-07-30,楠梓,29.17,4.45,9.21,13.66,18.56,35.17,12.45,77.48,1.8
2018-08-06,楠梓,29.07,2.69,9.19,11.88,28.3,38.89,16.85,76.56,2.04
2018-08-13,楠梓,27.19,5.0,14.45,19.45,19.97,30.6,8.74,86.68,2.81
2018-08-20,楠梓,26.26,4.29,12.99,17.28,24.49,28.21,9.82,90.35,3.08
2018-08-27,楠梓,26.21,8.37,12.88,21.25,14.37,23.19,10.54,86.06,2.94
2018-09-03,楠梓,28.3,3.41,10.19,13.6,24.3,31.33,15.51,81.17,2.0
2018-09-10,楠梓,28.76,3.6,12.59,16.19,28.09,46.43,24.81,80.46,2.44
2018-09-17,楠梓,29.45,3.25,11.33,14.58,30.56,50.65,24.25,75.71,2.77
2018-09-24,楠梓,27.96,1.78,11.08,12.86,44.07,68.44,23.79,72.03,2.52
2018-10-01,楠梓,26.48,1.76,13.22,14.97,57.98,78.59,33.49,69.59,3.11
2018-10-08,楠梓,26.48,2.98,14.67,17.66,41.23,68.73,34.99,76.38,3.01
2018-10-15,楠梓,26.12,2.42,15.18,17.6,41.79,75.52,37.12,77.1,2.75
2018-10-22,楠梓,25.72,3.1,15.67,18.77,45.02,92.02,42.88,73.17,3.22
2018-10-29,楠梓,23.6,4.07,18.53,22.6,30.91,94.58,39.66,77.71,3.17
2018-11-05,楠梓,25.93,3.37,16.88,20.24,33.78,100.18,46.27,79.71,2.97
2018-11-12,楠梓,25.36,3.47,17.94,21.4,37.95,82.95,50.03,76.34,3.26
2018-11-19,楠梓,23.78,3.05,17.35,20.38,33.78,62.65,31.81,74.36,3.04
2018-11-26,楠梓,23.07,4.9,19.16,24.06,28.07,60.04,38.52,77.87,2.94
2018-12-03,楠梓,24.25,4.26,18.72,22.98,29.46,68.85,35.41,74.04,2.94
2018-12-10,楠梓,21.76,4.4,19.15,23.55,24.34,59.82,34.91,77.14,2.53
2018-12-17,楠梓,21.8,4.28,22.88,27.16,32.17,79.55,47.74,70.81,3.08
2018-12-24,楠梓,20.51,2.17,17.23,19.38,25.72,57.12,28.11,73.42,2.61
