日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2018-01-01,美濃,20.32,1.42,10.94,12.35,24.68,66.58,31.88,82.59,1.62
2018-01-08,美濃,15.86,1.37,9.53,10.89,23.85,46.59,17.73,76.96,1.5
2018-01-15,美濃,21.76,1.77,11.99,13.78,29.69,73.85,38.28,75.57,1.86
2018-01-22,美濃,21.33,1.35,9.94,11.29,30.11,67.17,28.27,74.91,1.69
2018-01-29,美濃,16.05,1.51,10.26,11.77,19.26,52.31,26.8,82.3,1.27
2018-02-05,美濃,15.79,1.7,10.16,11.85,20.11,54.15,28.84,81.14,1.08
2018-02-12,美濃,20.83,1.23,7.86,9.09,30.49,64.09,25.6,72.61,1.88
2018-02-19,美濃,22.43,1.38,8.46,9.83,29.66,62.71,30.88,74.9,1.63
2018-02-26,美濃,24.44,1.47,7.69,9.15,32.52,57.22,23.91,72.02,2.18
2018-03-05,美濃,21.26,1.7,9.14,10.84,29.69,59.11,24.22,73.86,1.65
2018-03-12,美濃,22.81,1.5,7.13,8.62,44.06,56.03,25.61,69.25,1.6
2018-03-19,美濃,22.29,1.36,8.05,9.42,45.02,56.5,21.17,65.82,1.72
2018-03-26,美濃,24.18,0.87,6.88,7.76,46.6,59.04,26.49,67.88,2.08
2018-04-02,美濃,24.26,0.98,6.58,7.56,37.14,62.64,22.89,68.28,1.74
2018-04-09,美濃,27.01,1.12,6.46,7.58,30.79,42.11,12.03,67.38,2.08
2018-04-16,美濃,26.26,1.04,7.69,8.72,45.69,60.24,25.2,67.64,2.5
2018-04-23,美濃,26.82,0.68,6.7,7.4,36.73,54.6,20.89,75.61,1.96
2018-04-30,美濃,28.56,0.94,6.8,7.76,34.89,50.04,17.35,70.04,2.4
2018-05-07,美濃,26.91,0.82,5.28,6.11,31.27,38.87,12.34,78.12,1.92
2018-05-14,美濃,29.84,1.06,6.12,7.19,22.41,30.43,9.45,70.14,2.28
2018-05-21,美濃,30.32,0.79,5.25,6.05,28.91,34.64,12.76,68.27,1.97
2018-05-28,美濃,30.44,0.91,4.86,5.78,29.81,33.27,11.87,69.55,1.99
2018-06-04,美濃,29.69,0.93,3.83,4.74,31.64,33.26,8.72,73.95,1.77
2018-06-11,美濃,27.7,0.64,3.41,4.05,33.27,31.44,8.47,83.04,1.48
2018-06-18,美濃,26.73,1.15,2.84,3.97,16.92,21.34,2.36,86.79,1.32
2018-06-25,美濃,28.5,1.4,4.06,5.46,20.12,27.3,3.96,79.52,1.37
2018-07-02,美濃,26.59,1.4,2.39,3.78,17.07,17.83,1.57,86.11,1.17
2018-07-09,美濃,29.1,0.99,3.87,4.87,25.99,31.79,7.84,76.91,1.54
2018-07-16,美濃,29.0,1.32,3.88,5.2,26.49,30.81,7.61,79.45,1.29
2018-07-23,美濃,28.24,1.06,2.99,4.06,22.7,27.69,4.16,82.14,1.18
2018-07-30,美濃,29.36,1.07,2.96,4.04,20.23,23.0,3.33,77.12,1.12
2018-08-06,美濃,28.65,0.87,2.82,3.7,30.18,24.52,5.32,78.96,1.19
2018-08-13,美濃,27.19,1.28,2.84,4.11,22.17,18.18,1.75,86.48,1.36
2018-08-20,美濃,26.17,0.82,2.17,2.98,25.72,15.05,5.25,89.6,1.02
2018-08-27,美濃,25.61,1.25,2.53,3.78,17.64,17.04,3.5,88.33,1.35
2018-09-03,美濃,27.89,1.27,2.77,4.05,24.62,26.02,5.16,82.61,1.16
2018-09-10,美濃,28.51,1.42,3.74,5.17,26.12,33.73,9.93,81.49,1.33
2018-09-17,美濃,29.45,1.07,3.99,5.04,30.33,40.15,16.36,75.42,1.63
2018-09-24,美濃,28.22,1.03,4.79,5.81,37.82,45.94,15.23,75.28,1.69
2018-10-01,美濃,26.94,1.15,6.19,7.35,49.93,60.92,24.06,71.57,2.22
2018-10-08,美濃,26.18,0.99,6.03,7.03,36.95,48.41,22.92,80.85,1.52
2018-10-15,美濃,26.85,0.95,6.74,7.69,40.3,53.68,22.59,76.09,1.72
2018-10-22,美濃,26.28,0.74,7.46,8.2,47.25,72.48,25.75,72.47,1.91
2018-10-29,美濃,24.51,1.51,9.09,10.59,32.91,60.83,21.41,78.01,1.9
2018-11-05,美濃,26.59,1.24,7.08,8.31,36.97,63.39,29.9,75.94,2.04
2018-11-12,美濃,26.0,1.47,7.97,9.44,40.16,68.66,31.64,74.53,1.84
2018-11-19,美濃,24.38,1.56,8.93,10.48,33.72,58.36,19.94,74.11,1.8
2018-11-26,美濃,23.88,1.79,8.26,10.04,28.54,47.94,18.47,76.27,1.79
2018-12-03,美濃,24.74,1.33,8.91,10.23,32.55,59.79,21.06,73.54,1.69
2018-12-10,美濃,22.95,2.17,10.45,12.61,27.55,66.12,25.34,76.14,2.17
2018-12-17,美濃,22.45,2.07,9.44,11.51,36.3,73.08,28.11,71.14,1.98
2018-12-24,美濃,21.6,1.88,9.25,11.09,26.17,61.63,18.79,73.72,1.81
