日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2019-01-01,竹山,20.13,4.87,16.84,21.7,18.11,58.33,33.3,83.77,2.68
2019-01-08,竹山,21.0,4.24,18.61,22.85,19.94,66.06,35.35,80.28,2.33
2019-01-15,竹山,18.07,2.77,15.92,18.69,23.72,61.32,28.55,84.04,2.55
2019-01-22,竹山,16.57,2.47,14.5,16.97,31.09,62.6,26.77,72.09,2.51
2019-01-29,竹山,19.95,3.03,13.58,16.61,32.04,62.65,26.77,72.51,2.56
2019-02-05,竹山,20.44,2.49,10.3,12.76,25.65,53.89,21.4,75.62,1.84
2019-02-12,竹山,21.21,2.47,14.77,17.22,27.83,56.44,28.91,76.46,2.55
2019-02-19,竹山,20.48,3.52,15.53,19.05,23.51,65.19,41.85,82.8,2.18
2019-02-26,竹山,21.36,2.53,13.19,15.72,32.39,71.27,44.57,80.11,2.15
2019-03-05,竹山,18.49,3.21,15.44,18.65,23.76,37.75,25.34,90.44,1.51
2019-03-12,竹山,20.88,2.38,13.61,15.98,36.6,64.22,44.16,77.25,2.38
2019-03-19,竹山,21.66,3.71,13.17,16.88,24.5,49.37,31.02,83.42,2.27
2019-03-26,竹山,22.73,2.25,10.59,12.84,33.85,51.74,31.11,81.48,2.09
2019-04-02,竹山,23.14,2.17,10.98,13.14,35.94,59.08,39.21,81.9,2.16
2019-04-09,竹山,24.64,2.34,10.42,12.74,30.93,46.73,24.59,78.59,2.37
2019-04-16,竹山,24.32,2.36,11.24,13.59,29.24,40.6,22.27,85.87,1.94
2019-04-23,竹山,26.99,1.81,7.51,9.32,31.2,39.66,19.51,76.65,2.37
2019-04-30,竹山,23.24,1.76,9.56,11.29,25.29,34.37,15.59,88.88,2.25
2019-05-07,竹山,24.64,2.47,10.79,13.26,31.08,45.65,24.06,87.22,2.16
2019-05-14,竹山,26.89,2.41,6.07,8.48,16.52,28.44,9.81,87.11,2.26
2019-05-21,竹山,25.57,1.52,8.72,10.23,32.68,50.54,26.9,86.47,2.42
2019-05-28,竹山,26.53,2.93,7.51,10.42,22.32,30.9,11.72,85.29,2.43
2019-06-04,竹山,27.11,2.12,5.1,7.21,15.78,20.2,5.15,83.09,2.09
2019-06-11,竹山,26.06,2.28,7.49,9.75,27.69,20.36,8.66,87.84,1.94
2019-06-18,竹山,28.79,1.85,4.54,6.37,17.29,,5.06,76.59,1.87
2019-06-25,竹山,28.19,2.75,5.14,7.88,22.12,17.51,3.91,80.33,1.94
2019-07-02,竹山,28.18,1.94,4.24,6.16,15.61,18.51,3.59,79.24,1.94
2019-07-09,竹山,28.73,2.32,3.86,6.17,18.05,23.46,7.02,76.99,2.06
2019-07-16,竹山,28.49,2.4,5.21,7.6,28.62,29.19,15.06,80.6,2.33
2019-07-23,竹山,27.99,2.85,4.53,7.38,22.6,20.74,6.33,81.17,2.1
2019-07-30,竹山,27.95,0.98,5.0,5.98,28.62,29.11,14.71,82.85,2.34
2019-08-06,竹山,28.49,1.17,4.71,5.88,28.21,31.14,15.37,84.69,2.12
2019-08-13,竹山,26.92,1.3,3.77,5.07,25.57,15.02,4.7,90.26,1.96
2019-08-20,竹山,27.56,1.4,4.68,6.08,23.77,26.45,15.26,88.11,2.2
2019-08-27,竹山,28.3,0.84,5.34,6.19,28.49,32.34,20.27,84.26,2.5
2019-09-03,竹山,27.4,1.47,5.63,7.11,25.35,25.54,15.39,86.34,2.17
2019-09-10,竹山,28.29,0.96,5.96,6.91,38.69,41.25,30.31,82.27,2.51
2019-09-17,竹山,26.21,0.74,9.29,10.04,48.87,36.5,18.93,74.17,2.44
2019-09-24,竹山,26.49,1.23,10.38,11.59,37.8,45.44,26.67,82.03,2.22
2019-10-01,竹山,26.99,1.54,7.26,8.81,34.77,46.08,31.53,82.12,2.26
2019-10-08,竹山,26.57,1.34,9.3,10.64,43.44,52.13,31.76,80.95,2.13
2019-10-15,竹山,24.37,1.42,12.76,14.17,39.48,43.81,21.44,74.9,1.89
2019-10-22,竹山,24.44,1.54,12.33,13.87,39.82,47.71,26.49,78.81,1.93
2019-10-29,竹山,24.36,1.54,12.4,13.95,36.71,59.48,30.23,82.89,1.92
2019-11-05,竹山,22.59,1.57,13.01,14.57,38.16,45.34,23.31,74.58,2.19
2019-11-12,竹山,22.2,1.37,12.87,14.23,42.7,57.95,34.99,76.65,1.9
2019-11-19,竹山,22.34,2.3,12.8,15.1,27.89,41.0,22.26,80.42,2.04
2019-11-26,竹山,21.01,2.07,13.24,15.31,29.99,46.43,23.16,77.36,1.6
2019-12-03,竹山,15.95,1.68,12.92,14.61,23.9,27.73,15.64,82.33,1.88
2019-12-10,竹山,19.13,1.88,13.68,15.54,27.16,42.58,24.25,76.52,1.94
2019-12-17,竹山,20.24,3.96,14.54,18.5,18.19,37.85,21.92,85.97,1.55
2019-12-24,竹山,19.48,3.27,15.91,19.17,20.12,39.46,22.49,84.05,2.3
