日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2019-01-01,新莊,19.48,4.01,15.63,19.63,25.56,13.63,7.58,77.48,2.17
2019-01-08,新莊,20.93,6.54,18.68,25.22,24.53,31.12,12.54,71.61,2.42
2019-01-15,新莊,18.16,6.9,20.83,27.73,28.9,38.78,15.16,69.35,2.55
2019-01-22,新莊,16.94,5.21,19.64,24.84,37.4,48.37,17.4,58.79,2.49
2019-01-29,新莊,19.75,10.83,23.2,34.02,28.76,47.31,22.18,64.54,3.12
2019-02-05,新莊,18.88,2.45,11.01,13.45,30.27,28.69,11.24,72.49,1.72
2019-02-12,新莊,19.88,3.88,15.98,19.85,29.25,26.77,9.06,74.29,2.08
2019-02-19,新莊,19.12,4.67,18.21,22.86,30.53,33.45,12.68,75.49,2.23
2019-02-26,新莊,19.96,3.57,17.77,21.32,34.81,45.54,20.52,71.98,2.39
2019-03-05,新莊,17.42,3.65,20.33,23.96,36.12,32.39,14.87,75.85,2.15
2019-03-12,新莊,20.45,4.04,19.75,23.78,45.43,45.67,16.68,59.58,2.47
2019-03-19,新莊,21.27,9.23,20.43,29.65,33.89,41.87,17.75,70.46,2.5
2019-03-26,新莊,21.82,4.37,17.72,22.08,38.8,41.2,17.02,67.39,3.26
2019-04-02,新莊,23.35,4.19,19.98,24.17,37.61,44.0,21.03,68.95,3.1
2019-04-09,新莊,23.06,3.76,16.51,20.25,37.82,32.57,14.93,68.88,2.58
2019-04-16,新莊,24.61,5.05,23.42,28.46,31.25,40.02,19.51,71.07,3.42
2019-04-23,新莊,27.63,4.27,15.84,20.1,32.91,34.04,16.67,65.22,4.12
2019-04-30,新莊,23.56,2.66,13.61,16.27,43.68,34.22,13.33,64.93,2.2
2019-05-07,新莊,23.92,3.1,16.34,19.44,37.61,21.74,9.09,72.03,2.63
2019-05-14,新莊,28.06,6.63,17.83,24.45,20.42,29.88,17.11,70.18,3.35
2019-05-21,新莊,26.73,3.23,16.11,19.34,39.48,35.6,12.11,57.61,2.33
2019-05-28,新莊,27.43,3.89,15.72,19.59,31.22,28.28,11.62,66.14,3.08
2019-06-04,新莊,30.15,10.79,15.34,26.12,18.18,26.15,12.68,62.64,3.87
2019-06-11,新莊,26.49,6.8,19.77,26.56,35.82,24.3,12.44,70.4,2.27
2019-06-18,新莊,29.94,3.66,14.12,17.78,22.38,18.86,9.82,65.73,3.42
2019-06-25,新莊,29.93,5.83,17.61,23.44,22.28,12.19,12.55,68.13,3.33
2019-07-02,新莊,,,,,,,,,
2019-07-09,新莊,31.45,4.12,13.34,17.44,18.28,6.64,12.46,60.42,2.87
2019-07-16,新莊,30.65,3.14,12.99,16.11,20.27,26.46,9.6,66.15,2.84
2019-07-23,新莊,30.73,3.95,18.39,22.32,25.45,27.95,13.31,64.38,4.44
2019-07-30,新莊,32.2,2.05,8.13,10.15,17.28,17.23,5.35,55.08,2.23
2019-08-06,新莊,31.22,2.23,8.67,10.83,23.26,22.44,9.33,63.2,2.3
2019-08-13,新莊,31.14,3.68,13.65,17.33,32.26,20.49,10.19,60.15,3.4
2019-08-20,新莊,30.25,4.68,13.73,18.4,21.17,21.4,8.45,64.77,2.35
2019-08-27,新莊,31.65,5.22,12.12,17.33,15.4,19.43,8.27,57.1,3.05
2019-09-03,新莊,29.45,4.85,12.92,17.75,19.06,20.02,8.6,64.95,2.75
2019-09-10,新莊,30.02,2.53,10.03,12.55,22.65,21.48,9.41,61.51,2.06
2019-09-17,新莊,25.16,2.06,15.37,17.42,38.85,31.77,14.94,68.35,2.29
2019-09-24,新莊,26.45,3.61,11.63,15.23,24.68,14.9,10.9,70.41,1.77
2019-10-01,新莊,28.69,5.19,15.46,20.64,30.7,33.93,24.05,61.49,3.09
2019-10-08,新莊,26.89,1.8,10.57,12.37,46.51,30.52,18.85,60.15,2.02
2019-10-15,新莊,23.51,2.33,13.78,16.09,39.4,32.5,17.36,65.63,1.75
2019-10-22,新莊,24.34,3.1,12.84,15.93,40.87,31.39,13.84,66.17,2.33
2019-10-29,新莊,23.52,1.57,11.22,12.77,43.89,44.04,17.36,74.59,1.89
2019-11-05,新莊,22.26,4.01,14.79,18.8,41.75,35.97,13.72,63.45,1.9
2019-11-12,新莊,22.65,3.09,18.11,21.14,36.79,44.28,21.14,64.64,2.36
2019-11-19,新莊,21.47,3.75,14.39,18.13,26.54,26.52,10.92,78.02,1.82
2019-11-26,新莊,19.61,2.91,14.21,17.12,30.65,27.31,12.36,73.82,2.21
2019-12-03,新莊,16.25,4.56,19.22,23.78,29.61,27.35,12.84,71.01,1.72
2019-12-10,新莊,20.55,5.78,19.27,25.05,32.87,37.58,17.51,68.85,3.14
2019-12-17,新莊,20.19,9.13,19.17,28.3,22.21,21.63,11.2,80.02,2.73
2019-12-24,新莊,18.75,9.78,20.16,29.93,21.06,26.97,14.03,77.98,2.87
