日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2019-01-01,麥寮,19.26,3.27,7.52,10.78,28.33,49.63,15.26,86.19,1.73
2019-01-08,麥寮,19.13,2.02,8.26,10.27,27.93,69.45,19.82,87.7,1.58
2019-01-15,麥寮,17.13,2.2,8.65,10.79,36.04,76.08,31.6,85.05,1.92
2019-01-22,麥寮,16.15,1.95,10.42,12.36,39.68,95.67,27.47,75.78,2.58
2019-01-29,麥寮,18.8,1.82,11.74,13.56,31.95,92.98,40.1,82.33,2.25
2019-02-05,麥寮,19.91,1.3,7.84,9.14,30.14,62.42,22.98,80.23,2.05
2019-02-12,麥寮,20.33,1.26,8.92,10.16,30.15,61.79,19.17,82.85,2.04
2019-02-19,麥寮,19.48,2.44,10.37,12.8,28.61,58.07,22.51,85.72,2.09
2019-02-26,麥寮,20.38,1.65,9.97,11.6,36.0,69.74,27.63,83.43,2.15
2019-03-05,麥寮,18.31,2.07,12.39,14.45,32.6,39.16,18.02,86.39,2.36
2019-03-12,麥寮,20.54,1.88,11.53,13.41,42.79,69.37,30.32,74.75,2.9
2019-03-19,麥寮,21.15,2.63,9.82,12.43,27.73,50.16,22.31,85.45,2.55
2019-03-26,麥寮,22.23,1.72,8.87,10.59,38.27,52.23,21.1,82.0,2.47
2019-04-02,麥寮,22.41,1.87,8.13,9.99,39.84,56.36,28.27,83.89,1.6
2019-04-09,麥寮,23.51,2.14,8.05,10.18,34.0,51.93,18.53,81.99,1.84
2019-04-16,麥寮,23.92,1.94,9.16,11.07,34.53,41.39,17.53,85.18,1.79
2019-04-23,麥寮,26.12,2.28,7.36,9.63,28.03,42.66,13.73,82.16,2.03
2019-04-30,麥寮,23.13,1.98,9.57,11.52,34.92,46.38,16.56,83.04,2.22
2019-05-07,麥寮,22.04,1.56,11.22,12.78,30.17,38.0,16.33,88.49,2.28
2019-05-14,麥寮,29.48,3.04,5.17,8.21,17.7,26.82,8.39,76.14,2.43
2019-05-21,麥寮,27.44,2.11,9.23,11.33,41.88,65.89,29.4,81.75,2.91
2019-05-28,麥寮,26.9,2.31,7.24,9.53,26.65,34.37,8.75,82.14,2.25
2019-06-04,麥寮,28.41,4.11,6.56,10.65,14.91,31.48,6.61,82.88,1.93
2019-06-11,麥寮,26.81,2.41,7.87,10.27,33.42,34.9,11.87,85.07,1.89
2019-06-18,麥寮,28.83,2.85,5.73,8.57,14.63,26.02,4.39,82.46,1.5
2019-06-25,麥寮,28.41,2.83,6.05,8.87,19.67,28.37,4.82,84.37,1.23
2019-07-02,麥寮,28.43,2.91,5.25,8.16,19.21,25.6,4.13,81.58,1.48
2019-07-09,麥寮,28.97,2.58,4.24,6.81,17.11,19.04,6.23,81.72,1.3
2019-07-16,麥寮,28.76,2.99,6.0,8.99,21.41,32.93,8.27,82.89,1.44
2019-07-23,麥寮,29.04,2.26,6.72,8.97,16.8,21.55,7.47,80.73,2.09
2019-07-30,麥寮,29.1,2.58,8.68,11.26,25.25,31.45,19.37,81.72,1.91
2019-08-06,麥寮,29.4,3.12,4.77,7.87,24.86,53.49,17.58,83.45,2.04
2019-08-13,麥寮,27.51,2.06,5.63,7.69,28.21,18.58,7.9,88.23,1.28
2019-08-20,麥寮,28.23,2.14,6.47,8.61,26.65,29.74,13.21,85.04,2.3
2019-08-27,麥寮,28.58,3.2,7.08,10.28,26.38,32.65,15.41,83.96,2.57
2019-09-03,麥寮,28.27,3.05,8.43,11.48,26.54,27.42,13.33,82.58,2.64
2019-09-10,麥寮,28.47,2.23,7.08,9.28,33.18,44.42,18.79,81.2,2.7
2019-09-17,麥寮,26.16,1.31,7.53,8.83,52.64,94.6,18.54,71.76,2.73
2019-09-24,麥寮,26.31,2.74,8.44,11.17,29.09,85.35,16.77,80.65,2.62
2019-10-01,麥寮,27.45,2.1,8.55,10.63,37.7,61.74,34.6,82.6,2.16
2019-10-08,麥寮,26.39,2.22,9.31,11.49,39.72,94.24,26.3,79.46,2.56
2019-10-15,麥寮,24.27,1.55,8.65,10.2,45.05,108.16,18.87,71.2,2.95
2019-10-22,麥寮,24.25,1.61,10.33,11.91,38.8,68.47,20.88,78.45,2.59
2019-10-29,麥寮,24.24,2.1,7.56,9.65,42.13,87.07,23.9,81.53,2.28
2019-11-05,麥寮,22.78,1.67,9.99,11.66,41.41,62.3,18.48,72.4,2.67
2019-11-12,麥寮,22.54,2.83,12.37,15.19,37.61,78.34,32.97,79.11,2.7
2019-11-19,麥寮,22.28,2.17,8.65,10.82,26.81,47.43,13.3,82.02,2.19
2019-11-26,麥寮,21.06,1.97,8.07,10.02,32.0,51.45,18.0,77.96,2.3
2019-12-03,麥寮,16.94,1.98,9.47,11.42,33.64,36.74,12.91,72.86,2.25
2019-12-10,麥寮,18.91,3.67,10.84,14.5,29.92,56.4,23.8,83.44,1.86
2019-12-17,麥寮,20.04,3.41,8.48,11.88,24.94,39.17,15.72,85.68,2.0
2019-12-24,麥寮,18.87,2.03,9.38,11.4,28.16,42.45,13.91,84.97,1.85
