日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2019-01-01,左營,21.72,3.37,21.82,25.2,23.36,60.89,30.01,81.53,3.01
2019-01-08,左營,23.15,2.44,20.07,22.5,30.48,76.44,30.91,80.55,3.14
2019-01-15,左營,20.47,2.27,17.93,20.21,27.98,69.6,35.37,79.64,2.5
2019-01-22,左營,18.79,2.5,19.85,22.34,35.93,88.99,44.32,71.45,3.19
2019-01-29,左營,22.68,2.38,20.11,22.49,38.81,66.83,29.47,72.02,2.84
2019-02-05,左營,22.81,1.35,12.28,13.63,34.69,54.36,24.97,76.23,2.52
2019-02-12,左營,23.51,1.91,16.02,17.93,32.61,51.61,29.73,77.21,3.07
2019-02-19,左營,23.74,2.61,14.42,17.03,31.41,39.85,28.12,77.07,2.5
2019-02-26,左營,23.5,1.65,14.31,15.94,39.55,56.41,35.96,77.4,2.54
2019-03-05,左營,22.03,2.79,19.32,22.1,27.26,41.69,27.92,82.05,2.56
2019-03-12,左營,23.34,1.47,17.28,18.75,48.25,62.25,39.72,71.78,3.07
2019-03-19,左營,24.22,2.34,17.28,19.62,26.87,50.4,27.92,79.93,2.97
2019-03-26,左營,25.12,1.34,11.88,13.23,39.35,36.88,19.71,77.2,2.91
2019-04-02,左營,25.11,1.02,10.71,11.73,48.74,44.68,28.33,78.28,2.61
2019-04-09,左營,26.56,1.84,10.58,12.41,35.45,38.42,21.64,77.08,2.86
2019-04-16,左營,26.33,1.81,13.65,15.45,37.73,26.04,18.19,81.44,2.71
2019-04-23,左營,28.47,1.55,8.49,10.05,27.34,23.94,14.76,77.68,2.87
2019-04-30,左營,25.45,1.25,12.44,13.7,35.72,30.76,14.39,85.24,2.16
2019-05-07,左營,26.55,1.84,12.66,14.51,39.48,50.4,24.92,83.72,2.63
2019-05-14,左營,29.51,1.41,5.87,7.29,20.9,23.41,9.51,82.86,2.35
2019-05-21,左營,27.75,1.38,11.85,13.23,47.19,40.88,17.04,79.49,3.04
2019-05-28,左營,29.26,1.99,8.62,10.6,27.09,25.82,11.93,78.67,2.54
2019-06-04,左營,29.97,3.99,9.08,13.07,14.79,15.85,6.52,78.54,3.31
2019-06-11,左營,28.93,2.92,12.12,15.04,29.06,22.19,8.08,83.12,2.99
2019-06-18,左營,30.47,3.45,8.21,11.66,16.55,15.02,5.15,77.69,2.83
2019-06-25,左營,29.44,2.59,12.22,14.81,20.73,14.09,6.5,82.88,3.21
2019-07-02,左營,28.54,5.73,13.11,18.84,13.81,18.57,5.61,86.47,2.81
2019-07-09,左營,29.38,3.2,8.96,12.16,15.86,21.13,6.12,83.54,2.32
2019-07-16,左營,28.85,3.52,11.69,15.21,21.09,24.16,7.65,85.17,2.71
2019-07-23,左營,30.05,2.03,8.1,10.13,19.4,15.04,5.39,78.74,3.11
2019-07-30,左營,29.68,1.56,10.57,12.12,27.16,25.32,9.24,80.95,2.75
2019-08-06,左營,29.99,1.62,7.09,8.71,28.15,30.22,8.33,84.4,2.57
2019-08-13,左營,27.44,2.67,13.53,16.2,20.14,16.63,4.96,92.38,2.46
2019-08-20,左營,28.55,2.33,10.77,13.1,25.78,22.7,9.76,86.99,3.59
2019-08-27,左營,29.34,2.15,9.4,11.55,26.17,26.27,12.39,83.25,2.89
2019-09-03,左營,28.75,2.16,9.74,11.91,24.64,17.29,7.52,84.53,2.97
2019-09-10,左營,29.12,1.05,9.32,10.39,40.81,29.66,15.24,80.98,2.69
2019-09-17,左營,27.75,1.11,9.97,11.1,53.26,52.35,17.47,72.42,2.95
2019-09-24,左營,28.13,1.04,12.3,13.35,54.34,57.11,29.02,76.77,3.57
2019-10-01,左營,28.36,1.19,9.6,10.8,45.13,45.13,28.19,78.74,2.77
2019-10-08,左營,28.0,0.89,7.9,8.8,55.54,45.06,24.24,78.77,2.88
2019-10-15,左營,26.38,1.48,14.85,16.33,50.17,68.56,27.13,72.25,3.38
2019-10-22,左營,26.27,1.29,12.84,14.13,52.06,56.19,27.26,75.89,3.45
2019-10-29,左營,25.83,1.33,15.24,16.58,44.62,80.36,33.21,79.65,3.46
2019-11-05,左營,24.08,1.71,15.76,17.46,45.02,72.62,28.01,74.13,3.12
2019-11-12,左營,24.22,1.59,16.52,18.11,47.97,67.98,33.38,73.61,3.21
2019-11-19,左營,23.85,2.17,16.62,18.79,34.01,56.94,24.93,78.62,2.91
2019-11-26,左營,22.25,1.92,15.69,17.6,33.79,60.74,24.4,77.21,2.82
2019-12-03,左營,17.76,2.24,16.78,19.02,26.19,39.4,19.77,77.85,2.3
2019-12-10,左營,21.21,2.11,18.25,20.36,36.43,58.83,29.71,75.35,2.82
2019-12-17,左營,22.21,2.65,19.07,21.71,24.16,52.08,28.05,78.92,2.74
2019-12-24,左營,21.29,2.58,19.82,22.39,20.34,52.61,26.06,77.64,2.65
