日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2019-01-01,潮州,22.42,1.81,16.42,18.21,26.25,76.6,35.71,81.12,3.23
2019-01-08,潮州,23.63,1.3,14.43,15.74,37.37,88.93,40.1,79.01,2.66
2019-01-15,潮州,20.95,1.29,15.59,16.88,27.64,82.63,41.63,81.6,2.3
2019-01-22,潮州,19.22,2.43,16.23,18.67,37.49,87.27,41.76,72.65,2.46
2019-01-29,潮州,22.39,2.77,13.19,15.96,38.96,68.14,30.75,69.91,2.05
2019-02-05,潮州,23.06,2.09,10.86,12.95,33.63,58.11,26.41,67.0,1.88
2019-02-12,潮州,23.87,1.7,10.4,12.09,34.01,57.26,24.51,66.05,1.75
2019-02-19,潮州,23.91,1.17,9.32,10.49,30.66,50.02,24.11,66.56,2.21
2019-02-26,潮州,23.72,1.05,9.93,10.99,37.69,61.17,29.69,66.97,1.88
2019-03-05,潮州,22.59,1.69,11.55,13.24,26.79,42.82,20.35,72.26,1.64
2019-03-12,潮州,23.28,1.53,11.57,13.11,43.48,66.09,32.35,63.9,2.42
2019-03-19,潮州,24.04,2.27,11.82,14.08,26.08,55.4,27.61,70.93,2.22
2019-03-26,潮州,24.93,1.81,10.62,12.43,33.77,54.99,23.94,69.52,2.7
2019-04-02,潮州,25.55,1.09,9.69,10.78,45.59,61.92,34.25,66.83,2.37
2019-04-09,潮州,26.52,1.63,8.47,10.1,37.29,51.15,25.23,66.61,2.34
2019-04-16,潮州,25.93,1.53,8.68,10.21,32.09,36.11,18.14,72.54,1.89
2019-04-23,潮州,27.81,2.02,7.13,9.14,25.65,37.77,18.66,67.8,2.23
2019-04-30,潮州,24.7,1.41,6.62,8.03,33.62,36.02,17.32,77.84,1.7
2019-05-07,潮州,26.53,1.28,7.39,8.67,38.52,48.14,25.02,74.55,2.01
2019-05-14,潮州,28.3,1.87,5.81,7.68,20.48,30.52,12.95,73.39,1.72
2019-05-21,潮州,26.66,1.25,5.73,6.97,37.97,35.98,18.16,74.93,1.58
2019-05-28,潮州,28.38,1.88,5.27,7.15,24.25,24.94,12.26,70.85,1.74
2019-06-04,潮州,29.21,1.93,4.83,6.75,15.28,21.08,10.9,69.05,1.57
2019-06-11,潮州,28.17,1.25,3.93,5.18,23.77,24.28,9.67,75.25,1.62
2019-06-18,潮州,29.83,1.68,5.66,7.34,18.83,20.07,10.71,66.98,1.93
2019-06-25,潮州,28.32,1.11,3.29,4.41,19.3,20.2,9.76,74.89,1.31
2019-07-02,潮州,,,,,,,,,
2019-07-09,潮州,28.53,1.63,3.2,4.84,19.05,17.21,11.55,75.7,1.33
2019-07-16,潮州,28.09,1.68,3.62,5.29,25.16,22.88,13.25,76.68,1.7
2019-07-23,潮州,29.09,1.58,4.55,6.13,19.87,18.0,11.46,71.8,1.79
2019-07-30,潮州,28.85,1.71,4.92,6.62,27.43,24.52,14.82,73.32,2.07
2019-08-06,潮州,29.13,1.68,4.03,5.7,27.63,24.78,12.15,76.26,1.66
2019-08-13,潮州,26.85,1.56,3.03,4.58,24.36,14.99,9.07,83.55,1.71
2019-08-20,潮州,28.02,1.26,2.46,3.71,26.66,16.32,10.85,77.87,1.85
2019-08-27,潮州,28.7,1.62,5.14,6.76,28.37,27.68,17.46,77.6,2.03
2019-09-03,潮州,27.52,1.57,3.35,4.91,24.44,19.34,11.35,82.72,1.52
2019-09-10,潮州,28.29,1.44,3.99,5.43,34.66,29.31,18.34,78.31,1.72
2019-09-17,潮州,27.53,1.21,5.66,6.86,44.55,46.44,20.49,73.62,1.9
2019-09-24,潮州,27.21,1.13,5.83,6.97,48.36,52.07,30.68,75.7,2.24
2019-10-01,潮州,27.41,1.2,5.74,6.93,38.8,45.35,30.65,76.83,2.09
2019-10-08,潮州,26.93,2.18,4.63,6.8,39.16,38.89,23.7,78.85,1.93
2019-10-15,潮州,26.28,2.75,4.79,7.53,45.39,43.69,21.37,73.6,1.74
2019-10-22,潮州,26.02,1.9,6.37,8.27,47.47,47.94,28.61,75.95,2.35
2019-10-29,潮州,26.31,3.23,10.05,13.27,46.16,64.78,34.73,77.33,2.64
2019-11-05,潮州,23.88,2.18,8.63,10.79,43.01,57.39,28.34,75.89,2.23
2019-11-12,潮州,24.25,1.76,8.75,10.5,50.07,58.73,31.77,71.32,2.34
2019-11-19,潮州,24.33,2.61,11.31,13.91,38.06,58.56,27.83,76.12,2.35
2019-11-26,潮州,22.63,1.25,10.79,12.05,38.27,60.9,28.35,76.81,2.39
2019-12-03,潮州,18.22,1.25,11.46,12.71,24.56,41.87,22.51,80.82,1.67
2019-12-10,潮州,20.89,1.18,10.39,11.57,38.97,48.71,26.84,73.14,1.73
2019-12-17,潮州,23.0,1.77,11.85,13.6,31.56,53.25,29.6,76.73,2.05
2019-12-24,潮州,22.09,2.63,13.61,16.22,26.91,58.23,31.42,80.65,2.3
