日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2015-01-01,沙鹿,16.98,4.57,18.76,23.29,30.0,71.05,33.73,67.94,3.0
2015-01-08,沙鹿,16.85,3.26,17.12,20.43,29.19,56.88,21.55,67.55,3.21
2015-01-15,沙鹿,16.27,1.79,13.79,15.56,35.43,70.78,29.07,70.36,2.81
2015-01-22,沙鹿,17.04,3.38,19.79,23.23,34.51,73.02,40.57,68.59,3.26
2015-01-29,沙鹿,16.57,2.21,11.5,13.69,28.1,39.33,9.91,79.1,2.02
2015-02-05,沙鹿,13.88,2.1,13.54,15.6,33.96,63.29,23.57,67.37,2.87
2015-02-12,沙鹿,18.61,4.08,20.68,24.8,38.94,90.95,41.71,67.81,3.12
2015-02-19,沙鹿,20.1,2.33,14.8,17.15,26.93,60.35,26.0,80.06,2.54
2015-02-26,沙鹿,18.95,2.26,13.62,15.91,29.41,51.22,24.5,77.69,2.51
2015-03-05,沙鹿,17.6,2.06,15.22,17.29,29.03,40.1,15.31,78.52,2.4
2015-03-12,沙鹿,22.02,3.95,18.05,21.97,27.9,70.21,33.76,80.7,3.1
2015-03-19,沙鹿,20.95,1.82,14.21,16.04,35.05,56.83,23.93,77.97,2.26
2015-03-26,沙鹿,23.18,3.21,17.83,21.04,31.02,54.84,24.92,76.65,3.25
2015-04-02,沙鹿,25.35,2.26,11.25,13.52,27.03,41.96,14.51,73.89,2.79
2015-04-09,沙鹿,19.98,1.65,14.96,16.62,44.59,45.43,16.33,68.12,2.62
2015-04-16,沙鹿,25.46,2.44,14.66,17.17,31.66,54.23,22.06,73.21,3.18
2015-04-23,沙鹿,25.29,2.18,13.08,15.29,42.86,59.03,20.91,76.08,4.0
2015-04-30,沙鹿,27.11,2.29,15.1,17.39,28.88,56.89,26.55,80.05,3.01
2015-05-07,沙鹿,27.71,1.92,15.53,17.48,33.75,61.66,24.72,77.57,3.75
2015-05-14,沙鹿,29.22,2.48,11.55,13.99,20.39,32.12,8.46,74.97,3.18
2015-05-21,沙鹿,27.78,2.84,15.02,17.85,23.83,30.78,9.6,90.76,2.3
2015-05-28,沙鹿,29.68,2.37,9.04,11.36,21.42,29.04,4.85,80.36,2.33
2015-06-04,沙鹿,29.92,2.91,10.1,13.0,19.35,27.65,6.91,76.64,2.67
2015-06-11,沙鹿,30.98,2.6,8.83,11.41,16.49,26.25,4.62,74.78,2.99
2015-06-18,沙鹿,30.88,2.47,11.38,13.84,22.54,33.23,10.78,76.01,3.14
2015-06-25,沙鹿,31.59,2.11,8.9,10.98,19.48,40.21,10.89,73.2,2.59
2015-07-02,沙鹿,30.44,1.56,10.12,11.68,30.49,51.36,12.15,83.13,2.62
2015-07-09,沙鹿,28.72,1.25,9.17,10.4,30.52,45.33,16.58,79.89,2.8
2015-07-16,沙鹿,28.39,1.94,8.86,10.76,31.09,41.38,15.83,73.89,2.96
2015-07-23,沙鹿,28.14,2.3,9.57,11.87,20.55,33.11,6.48,72.84,2.59
2015-07-30,沙鹿,28.6,2.78,10.49,13.25,22.55,34.09,10.87,71.41,4.57
2015-08-06,沙鹿,28.61,2.36,8.95,11.29,20.92,34.35,9.6,78.58,2.49
2015-08-13,沙鹿,27.87,2.35,11.65,14.0,19.36,29.38,7.09,80.23,2.59
2015-08-20,沙鹿,28.98,1.5,14.58,16.04,39.71,60.66,26.24,79.2,4.5
2015-08-27,沙鹿,26.38,3.49,13.6,17.1,17.79,24.84,4.45,84.81,2.49
2015-09-03,沙鹿,27.85,3.72,13.7,17.37,24.45,36.22,10.58,76.51,3.03
2015-09-10,沙鹿,26.76,2.0,15.41,17.39,37.49,54.74,18.45,74.82,3.15
2015-09-17,沙鹿,26.88,1.75,16.24,17.96,45.65,61.76,29.52,73.42,3.93
2015-09-24,沙鹿,27.44,1.76,13.09,14.78,36.73,46.4,20.62,80.3,2.46
2015-10-01,沙鹿,27.34,2.29,16.15,18.39,33.6,62.79,29.3,82.32,3.41
2015-10-08,沙鹿,23.72,1.35,12.43,13.76,45.04,50.81,17.53,72.34,2.33
2015-10-15,沙鹿,24.19,1.98,14.78,16.72,37.09,52.52,16.58,74.98,2.33
2015-10-22,沙鹿,24.93,2.13,16.45,18.56,33.28,62.8,24.99,81.27,3.11
2015-10-29,沙鹿,23.59,2.16,17.04,19.21,35.12,61.41,22.16,79.48,3.07
2015-11-05,沙鹿,24.7,2.51,18.89,21.42,35.1,78.32,36.23,80.45,3.68
2015-11-12,沙鹿,24.99,4.21,22.98,26.97,27.07,66.81,29.04,79.35,3.52
2015-11-19,沙鹿,23.92,2.34,17.17,19.52,28.13,53.84,18.14,79.61,2.74
2015-11-26,沙鹿,20.86,3.35,18.14,21.5,31.51,54.23,23.44,69.27,2.57
2015-12-03,沙鹿,20.1,3.02,14.86,17.89,27.11,44.37,11.75,76.83,2.57
2015-12-10,沙鹿,19.97,2.24,14.19,16.44,30.52,53.08,22.54,78.39,3.04
2015-12-17,沙鹿,18.64,4.14,17.47,21.61,23.94,61.77,24.05,76.54,3.49
2015-12-24,沙鹿,18.25,2.96,15.29,18.27,29.97,51.36,21.1,79.81,2.56
