日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2015-01-01,中山,17.25,28.03,29.8,57.83,20.08,68.92,24.43,67.1,3.44
2015-01-08,中山,17.3,8.41,24.37,32.79,27.92,64.33,21.71,65.3,2.89
2015-01-15,中山,17.43,10.34,25.93,36.3,25.58,82.57,31.45,65.08,3.17
2015-01-22,中山,17.58,17.33,34.51,51.83,20.86,75.82,31.48,70.75,3.29
2015-01-29,中山,17.04,10.37,21.9,32.27,20.71,36.34,9.72,80.44,2.45
2015-02-05,中山,14.32,14.95,29.46,44.41,21.53,64.0,23.8,72.23,3.19
2015-02-12,中山,19.19,11.85,31.5,43.35,30.85,98.76,36.12,63.47,3.41
2015-02-19,中山,19.76,12.98,25.84,38.8,23.45,70.27,24.84,77.58,3.19
2015-02-26,中山,18.01,14.46,24.96,39.43,21.4,55.58,20.05,81.5,2.72
2015-03-05,中山,16.68,9.03,24.87,33.88,24.25,45.76,13.16,84.49,2.81
2015-03-12,中山,21.82,19.86,35.87,55.74,18.05,81.77,30.36,79.42,4.68
2015-03-19,中山,20.22,6.89,24.55,31.4,34.66,73.29,22.94,79.43,4.47
2015-03-26,中山,22.33,19.8,33.67,53.45,20.89,54.46,19.27,75.61,3.42
2015-04-02,中山,25.17,8.75,24.24,33.02,25.69,55.62,20.68,72.95,4.16
2015-04-09,中山,18.68,9.99,33.1,43.06,27.49,53.95,16.95,75.24,2.49
2015-04-16,中山,23.82,15.05,30.47,45.54,23.83,69.33,26.18,75.56,3.06
2015-04-23,中山,25.04,8.09,23.72,31.85,32.52,43.88,22.79,72.57,3.51
2015-04-30,中山,24.76,10.98,30.51,41.46,27.98,39.18,27.42,78.3,5.12
2015-05-07,中山,26.1,14.13,29.94,44.04,23.0,43.91,24.88,75.36,4.33
2015-05-14,中山,29.22,12.28,26.1,38.42,18.76,42.2,21.32,69.72,3.58
2015-05-21,中山,24.77,15.52,28.52,44.01,19.41,25.89,12.55,87.03,3.25
2015-05-28,中山,30.5,12.94,24.12,37.09,17.41,35.86,15.94,69.99,3.27
2015-06-04,中山,29.8,10.35,24.12,34.41,20.52,34.38,16.24,72.55,3.92
2015-06-11,中山,30.96,8.61,25.19,33.78,21.21,36.9,17.56,69.86,3.88
2015-06-18,中山,30.46,8.86,23.84,32.63,20.19,33.88,14.73,72.54,3.6
2015-06-25,中山,32.73,13.77,23.27,37.03,17.06,42.77,17.65,62.77,3.72
2015-07-02,中山,32.1,6.73,16.51,23.25,19.44,33.42,11.29,64.17,2.53
2015-07-09,中山,30.19,8.58,19.76,28.32,20.25,37.15,17.94,71.64,3.0
2015-07-16,中山,30.73,8.12,22.16,30.27,26.54,41.08,20.75,67.59,4.86
2015-07-23,中山,30.1,9.51,22.3,31.81,21.55,36.93,16.4,69.82,3.23
2015-07-30,中山,29.97,8.43,24.13,32.52,21.64,35.59,18.97,66.79,4.02
2015-08-06,中山,29.8,8.93,17.71,26.67,18.77,35.3,14.98,75.02,2.89
2015-08-13,中山,29.86,15.42,22.23,37.63,12.24,27.02,10.65,72.65,2.55
2015-08-20,中山,29.51,9.94,17.13,27.08,16.2,27.64,9.21,75.31,2.93
2015-08-27,中山,26.79,16.0,28.47,44.53,11.55,24.15,10.17,87.11,3.24
2015-09-03,中山,29.23,10.05,23.07,33.12,23.56,33.7,14.11,70.79,3.16
2015-09-10,中山,27.55,5.57,19.6,25.18,31.45,34.4,14.09,71.42,2.46
2015-09-17,中山,27.85,6.08,24.39,30.45,34.71,41.63,21.78,69.07,3.97
2015-09-24,中山,27.82,7.1,22.05,29.15,25.61,33.76,16.39,78.12,2.91
2015-10-01,中山,28.8,9.22,17.51,26.68,17.89,28.3,12.82,73.21,3.08
2015-10-08,中山,24.16,5.81,25.73,31.5,34.85,45.63,19.94,71.14,2.96
2015-10-15,中山,25.04,6.4,20.6,26.89,30.17,36.96,14.64,75.27,3.39
2015-10-22,中山,25.6,8.07,23.1,31.13,28.12,42.7,21.72,79.31,3.23
2015-10-29,中山,24.17,8.1,21.88,29.89,26.65,25.92,9.49,80.17,2.61
2015-11-05,中山,25.85,10.85,25.82,36.38,22.45,44.71,26.01,76.01,3.56
2015-11-12,中山,25.79,10.83,27.12,37.95,22.22,36.34,18.98,76.83,3.88
2015-11-19,中山,24.38,7.76,21.01,28.78,23.36,24.22,8.64,77.3,3.41
2015-11-26,中山,20.65,8.86,22.5,31.36,21.97,27.2,11.16,72.04,2.88
2015-12-03,中山,19.88,10.15,21.82,31.92,21.03,40.3,12.8,76.76,2.58
2015-12-10,中山,19.55,9.85,24.26,34.1,20.74,43.66,25.51,80.01,3.25
2015-12-17,中山,20.08,16.29,26.45,42.75,15.66,43.65,18.67,72.69,4.51
2015-12-24,中山,18.18,10.59,26.14,36.72,22.0,45.2,21.8,81.14,2.4
