日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2015-01-01,桃園,15.29,9.85,21.93,31.76,25.96,55.74,29.39,74.42,5.01
2015-01-08,桃園,15.73,2.04,12.24,14.29,38.2,44.26,21.56,71.45,2.77
2015-01-15,桃園,15.55,2.72,15.88,18.64,33.45,60.29,31.49,72.49,3.14
2015-01-22,桃園,15.54,4.95,25.14,30.08,28.48,62.41,38.14,75.4,4.75
2015-01-29,桃園,15.22,2.28,12.74,15.0,27.82,25.04,9.88,81.57,2.08
2015-02-05,桃園,12.42,5.46,20.14,25.61,27.71,46.74,27.46,77.69,3.91
2015-02-12,桃園,18.74,3.21,20.75,23.97,41.84,74.0,40.28,68.18,5.03
2015-02-19,桃園,18.97,4.51,19.16,23.67,27.19,52.45,27.62,81.43,2.81
2015-02-26,桃園,17.15,6.09,16.22,22.33,27.47,36.55,21.62,83.29,2.3
2015-03-05,桃園,15.85,2.24,15.74,18.04,31.04,27.47,12.23,84.73,2.49
2015-03-12,桃園,21.33,11.09,30.38,41.46,22.84,60.92,36.95,81.54,5.9
2015-03-19,桃園,19.48,2.18,15.44,17.65,41.14,47.72,20.96,81.99,3.4
2015-03-26,桃園,21.69,6.09,25.26,31.35,26.59,40.43,22.18,78.4,6.15
2015-04-02,桃園,24.69,4.31,16.04,20.33,28.46,36.2,20.62,78.1,4.44
2015-04-09,桃園,17.77,2.96,22.8,25.7,35.6,39.79,17.68,77.49,5.34
2015-04-16,桃園,23.24,6.05,22.12,28.19,28.03,55.77,29.39,78.64,6.8
2015-04-23,桃園,24.53,2.18,15.9,18.1,39.58,49.4,23.49,76.74,4.39
2015-04-30,桃園,24.07,3.34,21.27,24.61,33.16,50.74,28.44,81.02,6.46
2015-05-07,桃園,25.52,5.07,21.07,26.16,29.24,48.41,25.85,79.49,6.45
2015-05-14,桃園,28.32,5.15,17.47,22.57,20.06,35.99,19.06,75.81,5.7
2015-05-21,桃園,24.05,4.38,20.03,24.45,27.37,24.83,12.22,85.95,4.65
2015-05-28,桃園,29.82,4.67,14.22,18.89,21.21,32.12,14.5,76.76,6.01
2015-06-04,桃園,29.76,4.16,17.01,21.21,21.62,34.84,16.73,76.44,5.2
2015-06-11,桃園,31.1,3.57,16.09,19.72,24.01,32.17,15.28,73.32,5.51
2015-06-18,桃園,30.29,3.06,15.94,19.0,24.84,31.96,16.74,77.85,6.23
2015-06-25,桃園,32.07,3.38,12.18,15.53,21.37,35.99,16.49,71.57,3.58
2015-07-02,桃園,31.89,2.21,12.74,14.92,25.34,30.81,15.11,72.88,5.04
2015-07-09,桃園,30.37,2.75,12.1,14.9,27.24,33.33,19.25,76.2,4.0
2015-07-16,桃園,30.84,3.25,16.46,19.69,32.13,38.86,24.24,74.59,6.79
2015-07-23,桃園,30.09,4.01,16.3,20.32,24.26,33.02,18.06,75.29,5.86
2015-07-30,桃園,30.13,4.48,17.54,22.0,24.84,33.35,21.52,73.39,6.05
2015-08-06,桃園,28.56,4.72,14.5,19.17,17.42,31.0,18.05,80.45,5.38
2015-08-13,桃園,28.4,3.67,15.08,18.74,19.55,25.71,12.25,75.33,4.97
2015-08-20,桃園,27.78,3.32,12.19,15.51,22.58,25.87,12.88,79.38,3.53
2015-08-27,桃園,24.81,6.56,21.51,28.1,15.57,26.74,14.09,87.67,5.57
2015-09-03,桃園,27.06,4.53,15.7,20.21,28.32,32.18,16.79,77.13,4.57
2015-09-10,桃園,25.96,2.11,13.26,15.37,40.92,29.31,13.11,72.97,3.38
2015-09-17,桃園,26.18,2.31,17.06,19.33,45.84,40.15,25.49,70.18,4.84
2015-09-24,桃園,25.85,3.44,14.66,18.14,34.28,29.57,16.2,80.85,4.57
2015-10-01,桃園,27.13,5.2,15.69,20.89,23.65,30.63,16.47,74.55,5.09
2015-10-08,桃園,22.13,1.97,14.57,16.53,46.1,38.12,20.43,74.85,4.12
2015-10-15,桃園,24.71,1.8,10.23,12.06,41.13,30.61,13.81,74.35,3.91
2015-10-22,桃園,24.6,2.36,14.85,17.22,34.09,38.8,22.94,81.42,3.84
2015-10-29,桃園,22.97,2.58,15.18,17.78,32.16,36.31,20.47,81.29,4.42
2015-11-05,桃園,24.49,5.34,21.06,26.41,25.91,51.08,33.39,78.7,5.65
2015-11-12,桃園,24.62,7.09,24.35,31.41,17.48,42.44,26.33,78.74,7.01
2015-11-19,桃園,23.36,2.68,14.27,16.95,21.17,27.86,10.15,77.71,4.12
2015-11-26,桃園,19.31,3.37,14.71,18.05,23.32,34.4,12.7,73.53,4.51
2015-12-03,桃園,18.44,3.06,13.25,16.32,28.38,36.34,12.19,78.97,1.52
2015-12-10,桃園,18.18,5.3,17.03,22.33,26.09,43.29,26.1,81.67,2.63
2015-12-17,桃園,18.52,6.88,20.69,27.6,21.51,44.61,21.05,75.32,6.58
2015-12-24,桃園,16.67,3.93,16.78,20.69,29.6,40.43,22.63,84.32,4.13
