日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2015-01-01,新竹,16.32,8.01,20.82,28.83,26.58,62.99,34.96,69.15,3.38
2015-01-08,新竹,16.76,2.11,13.84,15.96,36.55,43.27,23.45,65.45,1.84
2015-01-15,新竹,16.46,2.29,16.22,18.49,33.62,63.22,34.41,67.96,1.94
2015-01-22,新竹,16.61,3.52,21.62,25.13,33.06,60.14,35.87,68.82,2.61
2015-01-29,新竹,15.87,2.11,14.32,16.39,26.06,29.79,14.44,80.03,1.23
2015-02-05,新竹,13.38,5.44,19.26,24.72,28.4,49.86,30.28,72.2,2.5
2015-02-12,新竹,17.93,4.55,23.0,27.57,37.13,77.57,42.05,65.68,2.76
2015-02-19,新竹,18.23,2.9,16.69,19.55,27.3,55.21,33.2,80.66,2.32
2015-02-26,新竹,16.51,5.47,15.41,20.88,27.99,44.26,27.18,83.12,2.37
2015-03-05,新竹,15.86,2.49,17.9,20.39,28.71,33.19,20.98,82.45,2.55
2015-03-12,新竹,20.46,7.12,23.31,30.47,23.76,58.31,36.28,80.12,3.47
2015-03-19,新竹,19.54,1.49,14.82,16.29,40.17,49.32,25.76,78.45,2.36
2015-03-26,新竹,21.31,6.62,21.95,28.58,24.36,37.92,24.24,76.67,2.79
2015-04-02,新竹,23.72,3.75,12.22,16.02,25.05,27.49,17.61,74.92,2.46
2015-04-09,新竹,18.21,2.15,20.37,22.46,37.63,41.22,24.62,73.15,2.81
2015-04-16,新竹,23.43,2.65,15.56,18.22,30.47,45.84,26.77,73.07,3.0
2015-04-23,新竹,24.46,2.52,15.05,17.55,37.63,43.75,25.16,72.82,2.89
2015-04-30,新竹,24.65,3.91,17.5,21.37,30.44,41.01,26.59,77.46,2.49
2015-05-07,新竹,25.52,2.72,16.42,19.15,31.25,44.53,27.01,76.6,3.09
2015-05-14,新竹,27.88,3.46,13.23,16.62,17.88,24.7,15.19,71.51,2.68
2015-05-21,新竹,24.21,4.11,18.8,22.89,24.9,20.67,15.11,83.55,2.55
2015-05-28,新竹,28.92,3.07,10.19,13.25,19.9,21.94,11.89,74.18,2.32
2015-06-04,新竹,28.88,3.06,11.31,14.34,19.81,21.85,13.46,72.61,2.68
2015-06-11,新竹,30.24,4.57,11.94,16.53,13.86,19.02,11.34,68.83,3.05
2015-06-18,新竹,29.7,2.76,11.96,14.75,24.14,20.65,13.46,70.83,2.16
2015-06-25,新竹,31.18,2.52,9.42,11.94,19.35,29.04,14.14,65.81,2.31
2015-07-02,新竹,30.3,2.02,11.88,13.92,29.28,30.88,16.02,71.66,2.28
2015-07-09,新竹,29.43,1.89,9.53,11.45,29.45,33.99,21.81,72.3,2.21
2015-07-16,新竹,30.09,2.39,12.43,14.83,29.22,29.34,21.04,65.02,2.44
2015-07-23,新竹,29.61,3.08,11.49,14.56,18.93,23.31,16.02,66.71,2.54
2015-07-30,新竹,29.65,2.83,11.43,14.23,21.84,22.34,18.06,63.89,2.48
2015-08-06,新竹,28.77,4.99,12.45,17.46,14.39,24.13,13.44,73.15,2.28
2015-08-13,新竹,29.7,2.51,11.0,13.47,21.7,18.64,13.57,66.54,2.33
2015-08-20,新竹,29.5,2.12,10.9,13.03,26.35,24.24,14.99,69.25,2.02
2015-08-27,新竹,26.32,5.46,15.51,21.03,15.99,18.97,12.86,81.77,1.97
2015-09-03,新竹,28.18,2.73,12.3,15.05,29.28,28.91,18.19,70.32,2.5
2015-09-10,新竹,27.48,1.8,12.68,14.46,41.31,33.45,19.97,64.35,2.28
2015-09-17,新竹,27.74,1.41,15.97,17.35,51.77,48.29,34.07,64.64,3.78
2015-09-24,新竹,27.25,2.69,15.01,17.72,34.17,34.16,20.89,74.44,2.97
2015-10-01,新竹,28.91,3.62,15.77,19.42,28.2,43.09,26.07,68.88,2.9
2015-10-08,新竹,24.2,1.27,13.31,14.54,50.9,44.9,23.46,65.18,3.09
2015-10-15,新竹,25.58,1.94,9.99,11.87,43.5,35.94,17.16,63.07,2.61
2015-10-22,新竹,26.27,1.8,13.48,15.3,40.78,47.76,28.15,70.36,2.59
2015-10-29,新竹,24.09,2.15,14.83,16.94,37.84,46.24,26.31,73.27,2.96
2015-11-05,新竹,24.78,2.74,18.67,21.43,37.12,55.54,36.95,75.51,2.7
2015-11-12,新竹,25.33,5.09,21.8,26.9,24.56,41.73,25.56,73.9,3.39
2015-11-19,新竹,24.04,3.49,15.39,18.87,29.06,37.81,14.29,73.55,2.75
2015-11-26,新竹,20.13,3.81,17.68,21.46,28.45,37.26,14.98,67.83,2.95
2015-12-03,新竹,19.39,4.03,14.96,19.04,29.16,41.76,14.37,72.98,3.38
2015-12-10,新竹,18.97,2.3,16.66,18.88,28.49,48.7,25.53,75.9,2.96
2015-12-17,新竹,18.54,6.2,17.82,23.95,22.58,44.42,19.46,74.19,3.29
2015-12-24,新竹,17.41,3.61,14.54,18.19,34.0,46.99,23.46,77.89,2.64
