日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2015-01-01,臺西,17.12,2.22,13.3,15.52,36.29,77.75,46.04,78.34,4.62
2015-01-08,臺西,16.92,2.22,10.72,12.95,37.66,59.9,28.91,78.17,3.89
2015-01-15,臺西,16.79,1.0,9.27,10.28,42.95,82.1,41.6,78.21,3.62
2015-01-22,臺西,17.14,1.87,12.23,14.12,43.99,75.05,50.54,79.23,3.82
2015-01-29,臺西,16.74,0.89,6.55,7.43,36.31,39.81,14.71,85.23,1.86
2015-02-05,臺西,14.67,1.55,10.66,12.16,39.23,80.61,34.32,77.1,3.67
2015-02-12,臺西,18.56,1.57,11.92,13.51,50.82,87.71,53.24,78.07,5.16
2015-02-19,臺西,20.02,1.89,8.76,10.65,36.6,60.75,35.4,86.51,3.71
2015-02-26,臺西,19.9,1.8,8.71,10.5,39.14,52.67,32.57,84.79,2.92
2015-03-05,臺西,18.67,1.24,9.32,10.54,36.66,44.2,20.05,85.1,2.54
2015-03-12,臺西,21.97,1.7,10.91,12.65,36.41,58.24,36.09,85.03,4.64
2015-03-19,臺西,21.41,1.51,9.15,10.62,44.77,60.61,31.53,84.67,3.18
2015-03-26,臺西,22.9,1.54,9.38,10.93,41.94,45.9,27.39,83.98,2.83
2015-04-02,臺西,24.99,1.8,6.16,7.94,29.63,36.71,15.74,82.97,2.61
2015-04-09,臺西,20.64,0.99,9.79,10.75,52.68,41.94,21.88,75.79,3.19
2015-04-16,臺西,25.65,1.66,7.62,9.27,37.06,46.97,25.61,81.34,2.55
2015-04-23,臺西,24.96,1.32,6.9,8.2,50.01,50.47,26.49,83.48,3.65
2015-04-30,臺西,26.75,1.64,7.39,9.03,40.12,46.67,29.71,84.51,3.77
2015-05-07,臺西,27.27,1.41,7.59,8.99,42.78,49.29,28.92,83.97,4.17
2015-05-14,臺西,28.17,1.33,5.4,6.7,21.24,26.01,11.79,83.54,1.92
2015-05-21,臺西,25.0,1.58,7.33,8.9,31.08,22.67,12.57,87.78,2.1
2015-05-28,臺西,27.43,1.62,4.24,5.85,21.98,21.41,6.98,82.73,2.08
2015-06-04,臺西,27.85,2.56,5.55,8.08,17.24,23.08,9.26,79.78,2.09
2015-06-11,臺西,29.16,2.32,4.53,6.87,15.79,23.61,7.19,77.49,1.93
2015-06-18,臺西,28.98,1.9,5.61,7.51,23.28,30.92,12.41,77.29,2.65
2015-06-25,臺西,29.54,1.49,3.84,5.34,21.36,30.5,10.66,77.01,1.79
2015-07-02,臺西,28.0,1.99,6.47,8.35,36.16,42.79,14.07,82.39,3.64
2015-07-09,臺西,28.32,1.37,4.27,5.64,34.08,35.45,17.31,79.47,2.76
2015-07-16,臺西,27.82,1.71,6.3,8.04,30.0,30.28,17.82,77.75,3.58
2015-07-23,臺西,27.79,2.36,6.08,8.44,18.39,27.88,12.39,77.95,1.91
2015-07-30,臺西,28.33,2.04,5.2,7.24,25.31,25.02,13.26,75.31,3.72
2015-08-06,臺西,27.45,1.47,3.86,5.3,24.31,24.145,8.12,80.94,2.73
2015-08-13,臺西,27.33,1.7,6.04,7.74,23.68,23.27,8.46,83.07,2.12
2015-08-20,臺西,28.15,2.55,7.02,9.57,37.31,35.17,16.31,81.65,4.26
2015-08-27,臺西,25.26,1.96,6.22,8.16,25.46,16.03,6.82,85.89,2.14
2015-09-03,臺西,27.12,2.12,6.94,9.07,32.81,28.56,15.24,80.21,2.92
2015-09-10,臺西,26.35,1.63,9.89,11.5,45.26,47.97,25.82,77.18,3.67
2015-09-17,臺西,26.46,2.06,11.47,13.56,51.57,50.78,33.5,76.88,5.36
2015-09-24,臺西,26.72,1.73,7.09,8.84,44.5,42.02,24.76,80.2,2.96
2015-10-01,臺西,27.6,2.44,7.84,10.3,38.36,45.17,23.5,83.31,4.21
2015-10-08,臺西,25.15,1.02,8.85,9.86,53.69,51.17,25.28,74.52,3.18
2015-10-15,臺西,24.88,1.48,10.69,12.13,43.08,59.4,24.83,78.08,4.4
2015-10-22,臺西,25.46,1.58,10.48,12.05,42.89,63.64,35.56,81.52,4.93
2015-10-29,臺西,24.18,2.16,10.55,12.73,42.34,59.4,33.26,80.71,3.88
2015-11-05,臺西,24.78,2.35,11.19,13.55,40.61,61.86,35.75,82.82,5.6
2015-11-12,臺西,25.15,2.07,11.92,14.01,38.65,61.74,40.54,82.52,5.13
2015-11-19,臺西,24.26,1.9,10.08,11.94,37.77,50.08,26.11,81.37,3.51
2015-11-26,臺西,20.37,1.95,12.08,14.01,39.67,62.51,26.79,75.57,3.86
2015-12-03,臺西,20.09,2.29,11.51,13.8,33.47,49.41,18.71,78.77,3.53
2015-12-10,臺西,19.77,1.38,8.69,10.04,38.17,55.39,28.78,80.55,3.37
2015-12-17,臺西,18.05,2.35,12.19,14.57,28.58,69.46,30.18,80.01,5.14
2015-12-24,臺西,18.3,1.22,9.66,10.86,39.23,56.0,29.48,80.52,3.33
