日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2016-01-01,萬里,19.32,2.58,7.91,10.47,30.17,45.39,18.45,87.12,2.35
2016-01-08,萬里,17.05,1.44,4.07,5.49,43.6,52.55,18.95,82.79,1.91
2016-01-15,萬里,16.39,1.12,4.7,5.82,42.68,49.87,19.59,83.03,2.04
2016-01-22,萬里,13.74,2.2,4.98,7.16,37.85,43.32,11.59,73.75,1.97
2016-01-29,萬里,16.03,1.3,3.82,5.11,41.98,38.39,7.91,87.71,1.39
2016-02-05,萬里,15.71,1.44,5.44,6.86,48.62,59.14,22.98,63.99,2.8
2016-02-12,萬里,16.31,1.79,6.93,8.7,34.31,40.49,13.53,81.14,2.1
2016-02-19,萬里,15.72,1.54,4.57,6.12,47.93,67.55,17.24,77.15,1.98
2016-02-26,萬里,15.86,1.62,4.02,5.65,48.32,39.19,12.87,74.32,1.72
2016-03-04,萬里,18.34,2.59,8.4,10.98,31.5,39.29,14.08,85.39,2.51
2016-03-11,萬里,15.48,1.81,6.64,8.43,43.98,40.03,13.64,87.86,1.58
2016-03-18,萬里,17.82,2.76,9.26,12.03,44.17,54.27,21.0,86.98,2.21
2016-03-25,萬里,15.09,1.38,6.77,8.15,54.92,55.44,25.87,72.99,2.47
2016-04-01,萬里,21.19,2.55,10.9,13.46,35.89,56.45,33.75,85.8,3.65
2016-04-08,萬里,20.66,1.78,6.67,8.44,40.6,34.9,16.49,90.54,2.45
2016-04-15,萬里,21.95,1.48,7.05,8.53,43.9,41.93,17.92,83.7,2.62
2016-04-22,萬里,23.77,2.56,7.71,10.22,35.04,43.7,23.48,85.07,2.66
2016-04-29,萬里,23.93,1.38,7.11,8.47,46.41,56.16,29.66,76.46,3.0
2016-05-06,萬里,25.21,1.73,5.93,7.66,35.7,36.82,18.42,80.23,2.68
2016-05-13,萬里,23.58,1.27,3.84,5.1,45.2,40.6,14.47,82.01,1.95
2016-05-20,萬里,24.66,1.88,6.65,8.5,30.61,31.45,15.53,86.97,2.69
2016-05-27,萬里,28.56,1.79,6.45,8.25,28.75,30.12,13.14,75.85,3.11
2016-06-03,萬里,26.92,2.34,7.24,9.57,28.53,31.95,12.74,80.12,2.84
2016-06-10,萬里,27.24,2.53,8.15,10.67,20.89,24.08,7.67,78.19,2.59
2016-06-17,萬里,27.96,1.93,6.58,8.51,29.87,25.7,9.99,77.55,3.12
2016-06-24,萬里,28.61,1.98,7.97,9.95,32.63,27.72,12.39,75.79,3.9
2016-07-01,萬里,28.71,2.09,5.54,7.62,20.61,20.91,5.43,74.91,3.16
2016-07-08,萬里,27.85,2.05,5.35,7.39,26.16,29.74,8.12,80.97,3.17
2016-07-15,萬里,28.8,2.09,7.32,9.42,28.75,31.12,11.46,74.37,2.59
2016-07-22,萬里,28.37,1.72,7.91,9.63,38.78,32.58,16.45,75.15,3.54
2016-07-29,萬里,28.93,1.84,6.66,8.53,26.6,24.17,8.77,73.3,3.15
2016-08-05,萬里,28.59,1.61,5.81,7.42,24.68,21.77,8.0,76.63,2.5
2016-08-12,萬里,28.43,2.23,5.81,8.05,23.54,14.66,5.04,73.79,3.53
2016-08-19,萬里,27.95,1.88,6.18,8.06,27.63,29.84,13.48,78.32,2.93
2016-08-26,萬里,26.89,1.31,5.42,6.71,55.23,56.46,18.53,69.02,2.66
2016-09-02,萬里,27.37,2.19,6.61,8.79,30.14,28.1,10.1,82.14,2.92
2016-09-09,萬里,27.18,1.76,3.91,5.67,27.0,24.87,8.1,81.35,2.89
2016-09-16,萬里,26.15,1.26,2.42,3.67,39.71,53.0,9.94,76.8,1.91
2016-09-23,萬里,27.26,1.38,3.16,4.52,35.68,50.31,14.9,79.71,2.13
2016-09-30,萬里,26.54,2.51,4.65,7.15,23.9,36.38,10.965,79.24,2.93
2016-10-07,萬里,24.64,1.28,2.87,4.15,40.66,44.03,7.03,85.25,2.39
2016-10-14,萬里,25.88,2.2,3.48,5.66,22.76,39.36,7.57,86.21,2.84
2016-10-21,萬里,26.43,2.79,8.18,10.93,30.63,45.0,15.96,80.62,3.19
2016-10-28,萬里,22.95,1.41,2.94,4.34,45.46,63.0,10.35,74.86,1.75
2016-11-04,萬里,21.83,1.6,5.53,7.14,37.43,48.77,9.55,79.82,2.1
2016-11-11,萬里,22.72,2.2,6.5,8.71,38.96,45.5,12.57,77.95,2.59
2016-11-18,萬里,21.9,1.98,5.82,7.79,32.15,33.39,6.41,82.99,2.25
2016-11-25,萬里,20.42,1.48,4.65,6.13,40.44,59.69,12.57,78.08,2.22
2016-12-02,萬里,20.29,1.24,4.75,5.97,43.83,61.05,16.42,79.6,2.08
2016-12-09,萬里,19.14,1.53,4.52,6.04,44.69,61.39,17.27,76.82,2.21
2016-12-16,萬里,19.83,2.25,6.82,9.07,32.14,38.73,13.32,74.05,2.78
2016-12-23,萬里,18.44,1.67,5.25,6.9,41.28,55.56,17.6,73.21,2.67
