日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2017-01-01,彰化,20.61,4.33,19.4,23.67,20.45,69.94,43.76,80.13,3.97
2017-01-08,彰化,18.68,3.23,17.18,20.4,23.57,43.0,26.15,73.33,2.79
2017-01-15,彰化,16.92,3.58,14.89,18.41,24.08,39.25,18.08,72.29,2.19
2017-01-22,彰化,16.54,2.73,15.61,18.35,28.89,50.53,27.33,65.3,2.37
2017-01-29,彰化,18.46,1.88,11.98,13.81,27.9,43.25,18.73,71.37,2.19
2017-02-05,彰化,15.89,1.76,14.52,16.27,31.38,55.62,32.49,63.0,2.29
2017-02-12,彰化,17.43,4.28,20.77,25.0,27.6,61.07,33.83,64.49,2.89
2017-02-19,彰化,18.06,3.41,17.41,20.75,25.34,49.21,25.81,77.15,2.39
2017-02-26,彰化,16.91,2.39,18.3,20.6,32.51,52.59,26.79,66.32,2.61
2017-03-05,彰化,18.3,3.06,19.19,22.09,30.75,51.49,34.02,74.98,2.79
2017-03-12,彰化,19.42,2.8,17.65,20.44,30.03,49.36,30.17,74.08,3.16
2017-03-19,彰化,21.58,3.09,16.94,19.98,33.61,45.97,27.94,72.74,2.97
2017-03-26,彰化,19.86,2.58,17.74,20.3,38.72,65.58,39.28,66.36,3.51
2017-04-02,彰化,22.83,1.87,13.27,15.12,41.88,58.34,36.2,59.91,3.68
2017-04-09,彰化,23.79,3.33,17.76,21.1,23.65,45.54,25.97,76.53,3.43
2017-04-16,彰化,26.25,1.58,9.85,11.38,29.63,44.28,26.44,74.67,3.18
2017-04-23,彰化,22.49,2.05,17.61,19.57,41.17,55.05,34.28,70.43,3.58
2017-04-30,彰化,26.7,3.17,16.0,19.17,30.7,56.35,32.89,67.23,4.52
2017-05-07,彰化,28.25,1.4,12.01,13.28,28.5,54.03,25.76,71.24,3.88
2017-05-14,彰化,25.9,1.74,15.38,17.05,36.08,36.7,20.83,75.2,3.11
2017-05-21,彰化,27.28,1.73,12.99,14.44,31.82,38.36,20.43,72.32,2.94
2017-05-28,彰化,27.27,1.48,9.79,11.15,26.67,32.94,14.73,80.77,3.12
2017-06-04,彰化,29.42,1.92,9.42,11.28,22.63,32.99,15.57,75.93,3.93
2017-06-11,彰化,27.99,1.49,6.59,8.01,18.44,30.13,11.73,79.72,2.75
2017-06-18,彰化,28.93,1.85,7.02,8.83,14.32,26.81,15.8,75.1,2.5
2017-06-25,彰化,30.36,1.41,6.39,7.69,23.54,28.05,14.33,71.07,2.54
2017-07-02,彰化,28.94,1.73,6.18,7.86,22.28,23.37,10.31,74.49,2.48
2017-07-09,彰化,30.33,1.5,5.43,6.87,25.01,27.2,14.06,69.74,3.29
2017-07-16,彰化,30.5,1.89,10.59,12.4,27.35,37.92,21.07,69.88,4.93
2017-07-23,彰化,30.67,1.46,8.52,9.73,29.67,38.8,27.0,72.13,4.99
2017-07-30,彰化,29.66,1.52,6.2,7.67,23.88,28.57,14.14,76.62,3.43
2017-08-06,彰化,31.79,1.43,5.57,6.94,18.1,32.21,15.21,71.08,2.42
2017-08-13,彰化,31.64,2.4,8.12,10.51,18.71,29.18,13.52,68.11,3.37
2017-08-20,彰化,30.81,1.91,10.16,12.03,27.22,39.72,21.3,73.98,4.02
2017-08-27,彰化,30.28,1.66,9.32,10.97,27.91,45.06,26.38,73.35,4.43
2017-09-03,彰化,29.96,1.21,8.44,9.62,24.55,33.27,18.1,73.74,3.45
2017-09-10,彰化,30.21,1.55,11.42,12.95,27.11,39.19,21.53,65.68,3.94
2017-09-17,彰化,30.35,1.05,15.87,16.95,38.22,63.3,40.55,65.58,6.22
2017-09-24,彰化,30.64,0.93,10.02,10.86,27.09,41.94,23.9,69.96,4.41
2017-10-01,彰化,30.26,1.52,14.23,15.66,32.35,53.75,30.65,70.42,4.4
2017-10-08,彰化,29.77,1.34,12.83,14.08,30.16,48.33,28.04,69.93,3.76
2017-10-15,彰化,26.57,1.97,11.35,13.24,26.3,27.31,10.79,81.35,1.93
2017-10-22,彰化,24.02,0.9,11.99,12.96,47.11,47.27,23.94,65.48,1.02
2017-10-29,彰化,23.88,1.61,12.74,14.37,35.76,40.97,18.57,71.56,2.29
2017-11-05,彰化,24.87,1.61,15.44,17.0,26.26,51.83,23.29,81.77,2.64
2017-11-12,彰化,24.56,2.57,17.19,19.72,20.9,43.07,21.72,83.72,3.08
2017-11-19,彰化,21.05,1.69,13.5,15.21,22.33,25.96,11.78,78.47,2.37
2017-11-26,彰化,22.88,1.82,13.71,15.55,26.06,44.62,21.94,83.99,2.49
2017-12-03,彰化,18.51,2.82,15.35,18.16,25.94,35.62,20.29,77.4,2.22
2017-12-10,彰化,19.32,3.83,17.76,21.6,22.03,39.89,19.24,80.2,2.91
2017-12-17,彰化,17.58,2.28,15.29,17.57,28.35,45.46,25.99,71.46,3.55
2017-12-24,彰化,19.82,3.54,19.49,22.94,25.61,70.09,41.84,74.81,3.57
