日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2017-01-01,竹山,20.0,1.79,14.43,16.24,25.76,77.19,49.62,82.35,2.91
2017-01-08,竹山,18.95,2.76,19.1,21.86,22.34,67.95,42.01,79.23,3.46
2017-01-15,竹山,17.34,2.75,17.8,20.41,20.57,57.46,34.56,78.43,2.88
2017-01-22,竹山,16.98,2.04,17.27,19.31,28.16,63.03,40.05,68.65,2.93
2017-01-29,竹山,18.67,1.32,13.94,15.27,26.31,55.57,32.47,74.3,2.74
2017-02-05,竹山,15.85,1.92,16.17,18.04,25.2,74.15,48.53,72.77,3.25
2017-02-12,竹山,17.44,1.44,15.06,16.46,34.76,66.93,39.94,66.49,2.87
2017-02-19,竹山,18.64,2.48,17.32,19.78,22.71,68.62,43.31,81.77,2.75
2017-02-26,竹山,17.1,2.08,18.48,20.57,29.55,72.62,46.99,72.04,3.21
2017-03-05,竹山,18.36,2.29,18.37,20.62,26.53,67.76,45.41,81.52,3.03
2017-03-12,竹山,19.88,2.32,18.07,20.37,28.89,69.47,44.63,80.19,3.29
2017-03-19,竹山,22.23,1.75,16.3,18.05,33.83,75.04,42.57,76.73,3.38
2017-03-26,竹山,19.49,1.77,15.15,16.93,39.23,66.93,36.55,72.13,2.9
2017-04-02,竹山,22.08,1.01,10.94,11.93,47.15,67.12,40.26,64.28,2.64
2017-04-09,竹山,24.05,2.36,13.28,15.62,24.39,54.18,27.62,81.18,2.1
2017-04-16,竹山,25.82,1.73,9.28,10.97,26.87,43.01,23.16,79.78,2.02
2017-04-23,竹山,22.23,1.84,13.74,15.56,36.23,60.83,35.68,82.37,2.68
2017-04-30,竹山,25.82,1.37,10.84,12.23,38.59,52.14,30.96,72.77,2.65
2017-05-07,竹山,27.62,1.57,10.29,11.88,31.93,52.6,28.03,75.38,2.82
2017-05-14,竹山,25.15,1.51,9.89,11.38,32.46,34.84,19.8,83.04,2.01
2017-05-21,竹山,26.83,1.7,8.88,10.6,30.77,43.33,23.44,81.32,2.22
2017-05-28,竹山,26.45,1.55,6.96,8.5,27.82,32.2,18.59,87.54,2.28
2017-06-04,竹山,27.83,1.83,6.56,8.39,24.84,29.17,15.46,83.39,1.81
2017-06-11,竹山,26.87,1.81,5.81,7.57,14.98,19.92,8.02,86.93,1.69
2017-06-18,竹山,27.39,1.94,6.29,8.22,15.74,21.4,9.75,79.99,1.76
2017-06-25,竹山,27.07,1.34,5.7,7.01,23.48,30.2,16.76,75.3,2.07
2017-07-02,竹山,24.84,1.66,5.96,7.56,21.52,20.66,9.0,85.94,1.94
2017-07-09,竹山,26.01,1.48,6.01,7.48,27.13,28.04,15.46,82.71,1.98
2017-07-16,竹山,25.9,1.78,6.05,7.83,31.62,35.17,19.17,80.86,2.24
2017-07-23,竹山,26.13,1.15,5.78,6.88,30.29,38.65,24.41,83.28,2.42
2017-07-30,竹山,25.24,1.89,5.51,7.37,21.06,24.64,10.37,88.12,1.75
2017-08-06,竹山,27.29,1.71,4.19,5.87,18.08,26.05,12.31,78.84,2.14
2017-08-13,竹山,27.4,1.88,4.95,6.84,21.98,27.51,17.48,75.5,2.22
2017-08-20,竹山,27.29,1.21,6.47,7.59,30.36,35.03,22.04,83.54,2.33
2017-08-27,竹山,27.99,1.17,7.4,8.39,27.9,38.33,24.21,84.79,2.61
2017-09-03,竹山,28.27,1.37,5.96,7.26,24.21,33.98,18.66,87.23,2.39
2017-09-10,竹山,28.65,1.42,7.54,8.91,34.59,43.22,26.71,77.71,2.53
2017-09-17,竹山,29.19,1.12,9.02,10.16,48.57,57.42,40.68,74.83,3.94
2017-09-24,竹山,29.12,1.82,7.78,9.56,29.77,40.71,25.04,80.07,2.44
2017-10-01,竹山,28.79,1.59,8.41,9.96,35.82,54.58,34.02,81.92,2.53
2017-10-08,竹山,28.2,2.14,9.7,11.85,30.09,45.7,29.52,81.9,2.32
2017-10-15,竹山,25.79,2.44,9.65,12.08,27.26,33.29,17.93,82.98,2.25
2017-10-22,竹山,23.15,2.13,11.83,13.93,41.68,53.94,35.22,70.06,2.15
2017-10-29,竹山,22.93,2.01,11.49,13.5,34.36,47.73,28.95,73.18,1.99
2017-11-05,竹山,24.36,2.4,12.8,15.16,28.43,69.22,41.55,82.5,2.3
2017-11-12,竹山,24.28,3.59,14.77,18.33,23.11,58.92,37.58,84.25,2.6
2017-11-19,竹山,21.28,2.79,16.79,19.58,22.4,54.64,33.13,77.46,1.89
2017-11-26,竹山,22.71,2.39,14.14,16.55,25.67,60.47,40.42,80.6,1.91
2017-12-03,竹山,17.93,2.53,16.19,18.67,20.78,51.66,34.54,80.59,1.48
2017-12-10,竹山,18.67,4.19,15.86,20.08,20.74,62.26,39.53,81.11,2.16
2017-12-17,竹山,16.73,1.71,14.01,15.66,27.19,52.72,33.88,73.57,1.87
2017-12-24,竹山,19.18,1.84,15.36,17.07,29.69,79.0,55.07,76.48,2.13
