日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2017-01-01,線西,20.71,3.25,15.27,18.5,27.78,76.64,39.64,86.43,4.28
2017-01-08,線西,18.86,2.52,16.51,19.08,28.64,54.96,28.97,78.6,5.1
2017-01-15,線西,17.27,2.37,12.19,14.54,30.89,42.57,18.88,77.2,3.69
2017-01-22,線西,16.83,1.88,13.84,15.64,35.23,54.63,24.76,71.23,4.36
2017-01-29,線西,18.29,1.97,9.37,11.34,35.21,51.88,21.27,79.18,3.68
2017-02-05,線西,16.11,1.81,12.39,14.19,37.87,68.38,31.8,68.39,3.91
2017-02-12,線西,17.38,3.54,18.02,21.57,37.17,69.19,35.82,71.09,5.12
2017-02-19,線西,18.07,3.46,15.62,19.08,32.81,58.85,31.02,82.14,3.71
2017-02-26,線西,17.05,1.79,16.72,18.47,40.99,65.23,32.62,72.51,5.21
2017-03-05,線西,18.56,2.67,17.91,20.56,40.38,63.31,37.11,78.83,4.58
2017-03-12,線西,19.38,2.24,14.75,16.84,38.75,57.69,31.82,79.46,4.06
2017-03-19,線西,21.18,1.91,14.27,16.16,41.17,54.97,27.26,78.13,4.27
2017-03-26,線西,19.86,2.17,16.25,18.39,46.52,87.51,46.63,71.11,4.13
2017-04-02,線西,22.73,2.35,12.12,14.43,47.01,68.05,39.38,65.21,3.41
2017-04-09,線西,23.7,3.02,16.68,19.65,29.92,54.46,29.55,80.74,4.32
2017-04-16,線西,25.99,1.57,7.73,9.15,34.83,48.07,26.93,79.85,2.79
2017-04-23,線西,22.54,2.2,15.08,17.25,47.5,60.71,30.32,72.9,4.13
2017-04-30,線西,26.15,2.52,13.16,15.7,37.06,58.74,33.09,74.14,4.23
2017-05-07,線西,27.57,2.03,10.36,12.38,34.17,61.59,27.14,78.42,4.21
2017-05-14,線西,25.53,2.03,13.04,15.07,42.96,41.52,21.08,80.8,4.23
2017-05-21,線西,26.88,1.61,11.77,13.35,37.75,41.44,20.51,76.65,4.18
2017-05-28,線西,27.23,1.35,8.07,9.42,31.29,32.68,16.78,84.82,2.95
2017-06-04,線西,29.29,2.24,8.09,10.27,25.03,35.93,19.18,82.42,2.22
2017-06-11,線西,27.95,1.83,7.32,9.12,19.34,27.27,11.2,85.32,1.77
2017-06-18,線西,28.68,2.15,7.02,9.14,14.16,29.01,11.87,83.29,2.03
2017-06-25,線西,28.67,1.33,5.87,7.22,22.2,26.69,13.14,79.42,2.45
2017-07-02,線西,27.38,1.67,8.65,10.25,23.81,21.68,12.27,80.47,2.18
2017-07-09,線西,29.31,1.27,7.83,9.08,23.0,25.98,14.19,76.34,2.56
2017-07-16,線西,30.32,1.5,6.39,7.71,31.05,27.57,18.02,77.86,2.93
2017-07-23,線西,30.63,0.88,5.72,6.52,32.52,33.02,21.44,78.21,2.89
2017-07-30,線西,29.26,1.36,5.19,6.3,26.76,26.31,14.57,83.23,1.79
2017-08-06,線西,30.54,1.71,3.89,5.52,19.1,28.5,14.49,81.25,1.98
2017-08-13,線西,30.27,2.06,7.11,9.08,17.33,22.72,14.78,78.04,2.73
2017-08-20,線西,30.18,2.55,9.51,12.02,30.58,40.27,20.87,83.23,3.38
2017-08-27,線西,30.1,1.77,10.54,12.25,27.18,41.06,22.11,81.67,4.17
2017-09-03,線西,30.15,1.54,5.72,7.25,29.25,28.34,15.74,82.38,2.62
2017-09-10,線西,30.12,2.79,8.52,11.29,30.37,37.65,18.91,74.82,3.4
2017-09-17,線西,29.92,1.75,12.52,14.15,43.12,58.76,34.71,77.22,5.11
2017-09-24,線西,30.61,2.02,7.67,9.67,28.24,39.15,20.82,80.02,3.59
2017-10-01,線西,29.95,2.3,11.71,13.89,35.48,51.75,24.81,79.68,4.34
2017-10-08,線西,29.4,1.85,11.61,13.36,30.31,54.89,24.82,79.81,4.01
2017-10-15,線西,26.29,1.38,9.54,10.94,34.0,34.78,15.14,84.31,2.18
2017-10-22,線西,23.79,1.02,11.06,12.04,55.95,52.44,26.3,68.18,3.59
2017-10-29,線西,23.49,2.03,11.92,13.92,41.85,49.76,22.79,73.61,3.76
2017-11-05,線西,24.71,1.51,11.9,13.37,35.37,51.22,25.44,83.01,3.76
2017-11-12,線西,24.39,2.15,14.22,16.37,29.69,47.93,26.63,84.74,4.66
2017-11-19,線西,20.82,1.57,12.16,13.7,30.63,31.14,16.58,79.86,3.71
2017-11-26,線西,22.46,3.61,14.67,18.24,25.65,37.58,20.0,83.29,3.67
2017-12-03,線西,18.77,2.38,13.39,15.78,32.11,44.02,24.46,76.46,2.59
2017-12-10,線西,19.48,3.77,14.71,18.49,28.16,43.32,22.36,80.52,3.3
2017-12-17,線西,17.59,3.44,14.33,17.68,31.26,49.08,27.48,73.95,2.63
2017-12-24,線西,19.8,3.3,16.91,20.13,29.84,73.29,39.22,76.41,4.35
