日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2017-01-01,苗栗,20.3,5.4,16.57,21.93,20.9,67.92,27.85,85.35,2.7
2017-01-08,苗栗,17.82,3.66,16.13,19.79,26.28,51.19,21.09,78.87,3.47
2017-01-15,苗栗,16.21,3.38,13.37,16.74,27.62,42.35,14.58,78.93,2.62
2017-01-22,苗栗,15.85,3.24,13.93,17.16,31.33,49.61,19.81,69.89,2.95
2017-01-29,苗栗,17.95,2.15,9.88,12.01,31.0,45.7,16.9,76.43,2.04
2017-02-05,苗栗,15.19,2.99,12.34,15.3,34.5,60.46,25.37,67.64,2.47
2017-02-12,苗栗,16.95,4.61,17.1,21.72,30.31,61.15,25.01,68.6,2.52
2017-02-19,苗栗,16.86,4.06,15.46,19.53,28.37,47.32,20.37,84.6,2.19
2017-02-26,苗栗,15.51,3.18,17.11,20.3,32.49,58.31,24.22,75.02,2.81
2017-03-05,苗栗,16.83,5.22,17.35,22.6,31.58,54.26,26.14,83.01,2.57
2017-03-12,苗栗,17.64,2.43,15.49,17.91,34.01,56.86,23.89,82.92,2.35
2017-03-19,苗栗,19.7,2.67,14.55,17.21,35.91,46.98,17.51,82.09,2.57
2017-03-26,苗栗,18.43,3.35,17.7,21.07,39.63,72.48,33.54,70.71,2.72
2017-04-02,苗栗,21.88,1.92,13.46,15.31,43.95,60.41,31.99,60.9,2.58
2017-04-09,苗栗,22.9,2.8,13.95,16.75,28.6,46.88,22.95,79.1,2.68
2017-04-16,苗栗,25.11,1.89,9.84,11.74,28.88,44.5,22.07,79.24,2.36
2017-04-23,苗栗,21.03,4.12,14.49,18.6,38.77,45.65,18.94,74.95,2.32
2017-04-30,苗栗,25.24,3.01,14.68,17.7,33.3,50.99,26.89,73.86,3.09
2017-05-07,苗栗,26.91,2.48,12.23,14.66,30.54,52.2,22.33,76.24,2.85
2017-05-14,苗栗,24.78,2.28,13.4,15.65,35.14,35.77,12.91,80.07,2.43
2017-05-21,苗栗,25.45,2.98,11.81,14.8,28.99,35.54,11.65,77.92,2.87
2017-05-28,苗栗,27.02,2.4,10.48,12.85,26.26,32.05,14.57,80.57,2.54
2017-06-04,苗栗,28.63,2.8,9.35,12.14,24.7,36.1,14.19,79.27,2.39
2017-06-11,苗栗,26.98,1.95,8.7,10.67,20.92,24.7,5.78,82.35,1.87
2017-06-18,苗栗,28.71,1.83,6.43,8.26,17.49,24.61,5.7,70.52,2.24
2017-06-25,苗栗,29.6,2.2,7.06,9.24,21.8,30.29,8.17,72.2,2.51
2017-07-02,苗栗,27.94,2.74,8.16,10.89,18.93,25.95,7.28,76.09,1.91
2017-07-09,苗栗,29.1,2.23,7.43,9.61,19.06,27.65,10.25,72.45,2.39
2017-07-16,苗栗,29.8,1.84,8.47,10.28,25.87,35.77,15.79,73.86,2.38
2017-07-23,苗栗,30.17,2.14,8.78,10.88,24.9,36.85,16.51,73.58,2.27
2017-07-30,苗栗,29.54,1.81,7.29,9.11,24.81,31.74,12.81,75.33,2.05
2017-08-06,苗栗,30.85,1.79,6.64,8.42,19.99,33.71,14.19,70.25,2.43
2017-08-13,苗栗,30.18,2.22,7.87,10.07,20.01,29.73,15.27,71.21,2.69
2017-08-20,苗栗,29.58,2.57,9.22,11.8,23.68,37.11,16.57,78.92,2.58
2017-08-27,苗栗,29.77,2.35,9.25,11.6,22.7,33.26,16.39,72.69,2.19
2017-09-03,苗栗,29.16,2.08,9.07,11.16,24.47,37.1,19.03,78.77,2.78
2017-09-10,苗栗,29.06,2.47,9.91,12.39,29.69,40.76,20.55,68.94,2.75
2017-09-17,苗栗,29.15,1.9,13.09,14.95,39.24,56.58,31.89,68.12,3.62
2017-09-24,苗栗,29.97,2.21,11.88,14.09,30.29,44.4,25.57,71.29,3.42
2017-10-01,苗栗,29.36,2.27,11.03,13.25,33.63,45.04,26.16,71.39,2.74
2017-10-08,苗栗,28.89,2.49,9.21,11.74,29.83,39.13,22.25,72.93,2.2
2017-10-15,苗栗,25.38,3.15,8.84,12.01,28.84,31.6,15.68,81.62,2.24
2017-10-22,苗栗,22.7,1.43,10.04,11.48,53.16,50.52,26.68,63.34,2.4
2017-10-29,苗栗,22.4,2.85,9.99,12.84,39.18,40.89,21.27,70.65,2.09
2017-11-05,苗栗,24.26,2.65,12.69,15.34,29.71,42.97,22.67,77.08,2.5
2017-11-12,苗栗,23.72,3.14,14.51,17.63,24.25,41.69,22.71,80.88,3.02
2017-11-19,苗栗,19.61,2.21,13.25,15.48,24.67,30.95,16.25,79.66,2.54
2017-11-26,苗栗,22.17,3.87,13.02,16.87,27.27,39.47,21.33,79.8,2.52
2017-12-03,苗栗,17.67,2.86,12.8,15.68,30.48,42.33,22.03,73.79,2.44
2017-12-10,苗栗,18.66,4.8,14.49,19.26,24.08,39.06,17.91,76.39,2.34
2017-12-17,苗栗,16.62,3.49,14.65,18.15,31.47,46.12,21.45,68.26,2.74
2017-12-24,苗栗,18.97,3.41,16.3,19.69,27.86,62.21,32.23,70.37,2.9
