日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2017-01-01,崙背,21.01,2.87,11.72,14.63,28.32,78.26,43.56,91.21,2.76
2017-01-08,崙背,19.37,2.72,14.87,17.57,27.29,57.13,34.4,81.69,3.77
2017-01-15,崙背,17.74,2.42,12.14,14.55,28.21,49.72,25.15,77.98,3.36
2017-01-22,崙背,17.17,2.34,13.55,15.87,33.4,60.76,30.89,69.53,3.87
2017-01-29,崙背,18.71,2.2,9.53,11.72,31.78,59.45,28.07,80.04,3.08
2017-02-05,崙背,16.54,1.98,11.8,13.75,35.72,75.84,40.69,67.79,3.53
2017-02-12,崙背,17.8,2.48,13.52,16.0,37.4,68.29,41.08,70.12,3.35
2017-02-19,崙背,18.8,1.94,13.8,15.74,29.97,60.85,35.02,81.49,3.29
2017-02-26,崙背,17.93,1.65,12.81,14.46,42.99,67.39,37.9,67.93,3.47
2017-03-05,崙背,19.1,2.25,15.08,17.29,37.34,61.94,41.94,78.93,3.63
2017-03-12,崙背,20.29,1.92,13.05,14.98,37.57,59.13,36.39,78.22,3.35
2017-03-19,崙背,22.14,1.61,12.52,14.11,40.44,59.73,33.24,77.44,3.94
2017-03-26,崙背,20.11,1.78,12.64,14.38,43.1,77.54,47.04,71.42,3.25
2017-04-02,崙背,22.96,1.78,12.18,13.98,45.41,70.81,42.92,63.63,2.89
2017-04-09,崙背,24.05,2.12,11.73,13.88,29.95,48.38,28.41,86.55,2.54
2017-04-16,崙背,26.21,1.45,7.87,9.3,32.21,43.41,27.61,85.52,2.12
2017-04-23,崙背,22.79,2.07,12.44,14.46,47.04,61.49,37.73,80.08,3.5
2017-04-30,崙背,27.46,2.38,12.1,14.48,34.8,58.19,37.59,71.65,3.01
2017-05-07,崙背,28.39,1.92,9.55,11.45,32.55,55.78,27.45,79.5,3.01
2017-05-14,崙背,25.8,1.01,9.5,10.49,40.83,39.97,24.11,87.07,2.91
2017-05-21,崙背,27.18,1.22,9.83,10.93,37.41,40.57,21.72,81.76,3.09
2017-05-28,崙背,27.24,1.21,6.85,8.08,31.7,30.18,15.43,93.24,2.3
2017-06-04,崙背,29.1,2.2,7.05,9.22,22.91,43.26,17.37,87.03,2.5
2017-06-11,崙背,28.14,1.45,5.61,7.05,19.27,26.11,10.05,89.35,1.79
2017-06-18,崙背,28.73,1.6,5.46,6.98,15.31,24.72,10.2,85.74,1.78
2017-06-25,崙背,29.87,1.43,6.23,7.59,21.53,32.39,13.82,79.51,2.2
2017-07-02,崙背,29.03,1.96,7.1,9.08,22.1,27.76,11.95,83.82,2.09
2017-07-09,崙背,30.13,1.42,8.77,10.1,23.9,32.94,14.94,78.74,2.62
2017-07-16,崙背,30.2,2.54,7.88,10.4,31.25,45.25,24.22,78.42,2.7
2017-07-23,崙背,29.61,1.53,8.01,9.53,28.94,37.23,20.34,78.16,2.61
2017-07-30,崙背,28.2,1.16,5.07,6.24,24.69,26.84,11.19,82.62,1.62
2017-08-06,崙背,29.62,1.28,4.37,5.64,17.94,27.54,12.3,77.81,1.46
2017-08-13,崙背,29.86,1.67,5.71,7.36,18.22,26.23,12.9,72.63,2.31
2017-08-20,崙背,29.71,1.37,7.1,8.47,28.15,39.09,20.21,79.3,2.5
2017-08-27,崙背,29.15,1.3,7.48,8.78,29.55,43.05,22.38,82.1,2.16
2017-09-03,崙背,29.7,1.23,6.15,7.38,26.11,30.18,15.35,78.74,2.31
2017-09-10,崙背,29.74,2.8,8.35,11.14,29.17,53.18,20.21,71.2,2.74
2017-09-17,崙背,29.62,1.33,9.09,10.39,44.7,70.53,41.66,72.24,4.05
2017-09-24,崙背,30.1,1.76,7.69,9.43,28.52,41.09,22.74,77.82,2.64
2017-10-01,崙背,29.72,1.16,8.86,9.93,35.2,52.52,28.18,77.35,2.78
2017-10-08,崙背,28.94,1.56,9.34,10.75,31.27,81.86,28.5,77.12,3.17
2017-10-15,崙背,26.05,1.18,7.91,9.08,31.74,73.37,16.89,81.92,2.21
2017-10-22,崙背,23.16,1.14,10.78,11.88,52.04,85.37,29.75,61.96,3.1
2017-10-29,崙背,23.12,1.48,11.82,13.29,40.54,128.06,27.19,68.54,2.74
2017-11-05,崙背,24.18,1.01,11.08,12.07,33.11,69.68,28.76,82.19,2.87
2017-11-12,崙背,24.55,2.1,11.83,13.88,28.1,72.29,29.58,82.37,3.08
2017-11-19,崙背,21.27,1.63,12.07,13.71,28.31,78.22,20.05,73.43,3.35
2017-11-26,崙背,22.89,1.55,10.66,12.19,32.41,78.4,25.41,80.32,2.81
2017-12-03,崙背,18.2,1.7,11.79,13.45,32.03,83.23,28.1,73.01,2.74
2017-12-10,崙背,18.83,3.39,13.14,16.56,28.65,76.34,27.32,79.52,3.23
2017-12-17,崙背,16.98,2.15,11.94,13.98,33.1,100.84,30.15,67.82,2.59
2017-12-24,崙背,19.12,2.73,12.37,15.09,34.21,89.56,42.21,73.09,3.18
