日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2017-01-01,臺南,20.79,3.89,20.74,24.65,31.4,84.83,52.21,78.08,2.98
2017-01-08,臺南,19.64,3.06,21.05,24.1,27.52,69.11,39.2,72.76,3.39
2017-01-15,臺南,17.88,2.74,18.45,21.17,25.88,65.03,30.21,70.91,3.18
2017-01-22,臺南,17.1,2.33,17.55,19.87,32.51,68.49,32.98,65.2,3.37
2017-01-29,臺南,18.68,1.59,14.44,16.05,30.41,65.04,31.46,71.16,2.46
2017-02-05,臺南,16.26,1.94,17.16,18.88,30.88,80.18,44.38,66.52,2.97
2017-02-12,臺南,17.8,2.76,19.7,22.01,36.42,77.29,43.79,63.49,3.0
2017-02-19,臺南,20.24,2.49,17.55,19.89,29.35,65.79,35.28,70.76,2.67
2017-02-26,臺南,18.21,1.46,17.82,19.06,39.52,73.25,39.51,62.13,3.55
2017-03-05,臺南,19.62,1.81,19.53,20.61,35.75,63.6,38.66,70.3,2.62
2017-03-12,臺南,21.36,2.26,18.23,20.02,39.02,64.0,37.23,68.41,2.76
2017-03-19,臺南,23.41,2.18,15.0,17.13,40.87,64.94,35.7,67.55,3.26
2017-03-26,臺南,22.13,2.38,17.22,19.54,47.13,67.54,37.57,61.32,3.25
2017-04-02,臺南,24.11,2.0,12.59,14.56,50.6,54.61,29.44,56.57,2.87
2017-04-09,臺南,25.3,2.68,15.3,18.01,26.02,45.87,25.3,73.88,2.86
2017-04-16,臺南,27.44,1.95,9.52,11.49,33.33,35.69,19.36,70.02,2.68
2017-04-23,臺南,24.49,1.97,15.34,17.29,47.56,54.28,31.16,66.95,3.18
2017-04-30,臺南,28.27,1.24,11.68,12.77,45.68,50.49,28.07,60.18,3.26
2017-05-07,臺南,29.32,1.49,9.43,10.81,34.64,45.14,22.65,66.02,3.61
2017-05-14,臺南,27.23,1.04,11.98,12.97,42.77,38.51,20.3,70.36,2.9
2017-05-21,臺南,28.52,1.12,10.1,11.21,39.54,36.38,18.0,68.61,3.19
2017-05-28,臺南,28.37,1.07,7.63,8.68,30.98,34.03,13.5,77.31,2.4
2017-06-04,臺南,30.15,1.53,8.26,9.65,22.55,27.23,11.72,71.59,2.87
2017-06-11,臺南,29.07,1.85,7.78,9.42,14.45,22.46,7.24,75.36,2.4
2017-06-18,臺南,29.98,1.89,6.51,8.35,14.0,20.13,8.12,71.02,2.95
2017-06-25,臺南,30.85,1.62,6.26,7.84,18.57,20.9,7.24,66.12,2.66
2017-07-02,臺南,30.11,2.38,8.9,11.29,16.66,20.9,7.39,69.1,2.61
2017-07-09,臺南,30.68,1.77,9.37,11.13,22.88,24.22,9.67,66.75,2.74
2017-07-16,臺南,30.31,1.33,10.97,12.29,36.89,39.97,20.98,69.07,3.28
2017-07-23,臺南,30.36,1.02,9.89,10.92,32.87,32.62,15.56,71.62,2.93
2017-07-30,臺南,29.28,1.34,8.5,9.81,23.22,29.51,11.68,78.33,2.35
2017-08-06,臺南,31.14,0.98,4.38,5.23,17.4,27.05,11.04,71.33,2.16
2017-08-13,臺南,31.47,0.95,5.93,6.82,16.56,21.3,8.72,65.09,2.27
2017-08-20,臺南,30.46,1.26,9.96,11.09,26.79,34.79,15.53,69.92,2.97
2017-08-27,臺南,29.86,1.39,12.11,13.28,28.09,33.66,18.5,73.96,3.42
2017-09-03,臺南,30.08,1.29,7.52,8.8,24.12,23.43,11.22,73.43,2.86
2017-09-10,臺南,30.35,1.45,9.7,11.15,34.8,38.38,17.57,72.07,2.87
2017-09-17,臺南,30.47,1.6,11.73,13.28,50.84,49.94,30.0,67.71,3.85
2017-09-24,臺南,30.33,1.96,9.34,11.32,32.22,31.1,16.69,77.53,3.34
2017-10-01,臺南,30.05,1.69,10.49,12.19,42.73,47.89,25.51,76.9,3.23
2017-10-08,臺南,29.06,2.73,12.25,14.99,32.76,47.87,19.85,79.43,3.12
2017-10-15,臺南,26.69,3.02,11.59,14.64,29.56,41.59,16.08,81.99,2.39
2017-10-22,臺南,23.94,2.24,16.31,18.52,46.71,76.58,30.98,69.13,3.48
2017-10-29,臺南,23.99,2.51,16.03,18.55,37.23,84.22,26.4,72.97,2.94
2017-11-05,臺南,24.82,2.57,14.74,17.35,32.88,71.98,33.25,82.82,2.47
2017-11-12,臺南,24.89,3.1,16.91,20.0,27.4,69.21,32.94,83.3,3.16
2017-11-19,臺南,21.62,2.73,15.37,18.1,27.47,64.26,21.95,77.82,2.64
2017-11-26,臺南,22.95,2.08,14.44,16.57,30.29,72.1,29.98,83.02,2.39
2017-12-03,臺南,18.82,3.28,17.49,20.72,26.37,71.05,29.71,78.48,2.37
2017-12-10,臺南,19.38,3.84,18.58,22.39,25.57,68.68,28.85,81.4,3.15
2017-12-17,臺南,17.62,2.97,16.6,19.54,29.3,78.54,28.14,74.43,2.73
2017-12-24,臺南,19.72,2.75,17.6,20.32,34.12,91.21,43.73,77.58,3.17
