日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2017-01-01,前金,22.37,2.18,19.1,21.25,34.72,84.43,52.82,77.26,3.14
2017-01-08,前金,21.64,3.5,22.05,25.51,32.13,87.39,46.81,73.94,4.11
2017-01-15,前金,19.96,3.43,21.74,25.14,27.62,78.89,37.27,71.12,3.81
2017-01-22,前金,19.1,2.87,22.2,25.05,33.51,86.25,37.29,66.68,4.02
2017-01-29,前金,20.68,2.01,17.94,19.91,31.59,77.59,33.13,70.5,3.37
2017-02-05,前金,18.47,2.91,21.61,24.52,28.69,90.71,48.89,67.19,3.82
2017-02-12,前金,19.95,3.0,22.16,25.11,37.53,96.87,41.96,63.61,3.76
2017-02-19,前金,22.54,3.39,20.02,23.44,27.51,81.65,35.34,72.94,4.4
2017-02-26,前金,20.29,1.86,19.04,20.87,40.91,95.96,43.01,63.42,4.25
2017-03-05,前金,21.83,3.34,22.44,25.74,31.4,80.98,42.12,71.85,4.26
2017-03-12,前金,22.82,1.85,16.81,18.66,40.4,71.58,34.69,72.12,3.98
2017-03-19,前金,24.82,1.66,14.9,16.58,43.57,75.54,32.18,71.07,3.76
2017-03-26,前金,22.52,1.73,16.71,18.4,47.31,73.25,30.77,65.5,4.32
2017-04-02,前金,24.35,1.7,13.66,15.37,50.73,61.18,25.2,58.69,4.51
2017-04-09,前金,25.82,2.9,15.62,18.47,26.62,51.33,24.89,76.99,3.98
2017-04-16,前金,27.15,1.68,9.86,11.54,28.22,39.52,17.1,75.92,3.81
2017-04-23,前金,24.8,1.38,15.52,16.83,48.57,58.92,29.09,71.76,4.25
2017-04-30,前金,27.88,1.47,12.61,14.06,47.81,55.95,28.53,66.79,5.65
2017-05-07,前金,28.92,1.89,9.19,11.1,32.33,44.53,19.89,71.26,4.54
2017-05-14,前金,27.08,1.81,13.52,15.35,41.83,42.14,20.27,74.57,3.73
2017-05-21,前金,27.94,1.57,9.58,11.11,37.05,36.12,14.73,76.47,3.73
2017-05-28,前金,28.36,1.56,8.34,9.91,31.31,37.93,13.36,80.3,3.71
2017-06-04,前金,29.83,3.28,10.33,13.62,16.71,29.21,8.57,76.17,4.66
2017-06-11,前金,29.26,4.1,9.92,13.99,13.92,26.67,6.98,78.49,3.3
2017-06-18,前金,30.0,3.11,7.53,10.64,14.02,24.72,7.17,73.67,4.21
2017-06-25,前金,30.33,2.99,7.87,10.85,17.75,27.75,7.08,71.96,3.48
2017-07-02,前金,30.74,4.75,10.87,15.6,12.07,28.0,7.2,68.2,4.93
2017-07-09,前金,30.61,2.77,10.88,13.67,18.46,27.35,7.27,61.38,3.91
2017-07-16,前金,29.39,1.54,10.41,11.82,36.68,37.46,18.75,63.09,3.78
2017-07-23,前金,29.11,2.05,10.13,12.12,25.7,31.58,13.14,76.58,3.71
2017-07-30,前金,28.22,4.18,13.31,17.47,19.84,39.51,11.95,84.44,4.06
2017-08-06,前金,29.65,1.19,4.71,5.86,17.69,28.64,8.05,79.18,2.16
2017-08-13,前金,29.66,1.31,6.61,7.86,21.6,23.79,10.43,72.39,2.86
2017-08-20,前金,29.08,2.2,12.11,14.21,24.76,33.52,14.2,75.79,4.12
2017-08-27,前金,28.54,2.69,14.06,16.76,25.26,35.34,16.54,78.24,4.89
2017-09-03,前金,29.17,2.28,10.72,12.95,21.41,29.93,12.54,77.88,5.08
2017-09-10,前金,29.9,1.26,9.18,10.42,36.34,39.12,17.84,75.68,3.82
2017-09-17,前金,30.06,0.88,11.65,12.51,52.3,52.0,29.94,69.74,4.72
2017-09-24,前金,30.4,1.37,8.43,9.76,31.73,34.17,18.06,75.86,3.84
2017-10-01,前金,29.99,0.85,11.58,12.4,46.71,57.41,31.65,76.55,4.06
2017-10-08,前金,29.22,2.27,11.66,13.94,34.04,50.61,20.8,79.67,3.33
2017-10-15,前金,27.53,2.32,14.78,17.0,31.08,54.4,20.53,79.21,2.88
2017-10-22,前金,24.88,1.25,18.34,19.61,49.64,85.9,36.77,66.35,3.9
2017-10-29,前金,25.06,1.55,17.85,19.29,40.2,87.1,30.27,68.31,3.28
2017-11-05,前金,26.0,1.85,19.63,21.31,32.09,89.86,49.17,77.79,3.49
2017-11-12,前金,26.18,3.12,19.78,22.82,29.79,78.38,43.58,79.93,3.72
2017-11-19,前金,22.7,3.08,21.83,24.88,25.18,80.84,32.55,73.36,3.5
2017-11-26,前金,23.88,2.45,19.15,21.54,28.76,87.39,39.25,78.41,2.86
2017-12-03,前金,20.21,3.13,22.61,25.74,24.42,80.98,36.25,71.67,2.79
2017-12-10,前金,20.42,3.81,22.7,26.56,24.94,81.43,39.89,75.3,2.71
2017-12-17,前金,18.7,2.73,19.31,22.04,30.46,68.01,32.34,68.56,2.67
2017-12-24,前金,20.82,2.44,19.94,22.39,35.36,95.6,54.4,73.54,3.0
