日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2017-01-01,大寮,22.23,4.09,23.1,27.14,27.65,90.02,43.93,78.75,4.94
2017-01-08,大寮,21.93,4.84,26.25,31.07,29.92,94.42,42.91,75.33,5.75
2017-01-15,大寮,20.24,4.06,24.34,28.41,24.86,77.93,32.4,72.75,4.24
2017-01-22,大寮,19.26,3.72,24.43,28.15,29.95,84.1,34.18,68.64,5.16
2017-01-29,大寮,20.88,2.68,21.91,24.54,27.51,78.19,31.26,72.07,6.18
2017-02-05,大寮,18.58,3.64,22.88,26.47,26.0,91.69,39.98,69.88,4.19
2017-02-12,大寮,19.83,3.14,24.06,27.23,33.09,79.37,34.53,64.42,5.38
2017-02-19,大寮,22.71,4.96,22.64,27.66,22.66,81.66,33.29,75.47,5.08
2017-02-26,大寮,20.39,2.69,20.34,23.07,36.57,87.03,38.39,65.44,5.13
2017-03-05,大寮,21.58,4.42,23.55,27.94,24.15,78.31,38.29,76.06,4.71
2017-03-12,大寮,22.88,2.9,18.51,21.44,33.33,68.97,31.87,75.38,5.0
2017-03-19,大寮,25.22,2.16,18.0,20.11,38.21,71.58,27.78,72.0,5.63
2017-03-26,大寮,22.06,1.94,17.39,19.36,37.32,65.42,28.06,70.57,4.11
2017-04-02,大寮,23.48,2.2,13.58,15.78,40.72,61.97,24.62,64.77,3.42
2017-04-09,大寮,25.67,5.25,17.58,22.81,18.98,52.12,22.39,79.9,4.53
2017-04-16,大寮,27.19,2.87,11.83,14.7,21.11,43.94,14.75,77.73,3.34
2017-04-23,大寮,24.51,2.0,17.33,19.31,38.47,59.74,27.41,77.18,6.42
2017-04-30,大寮,27.7,1.81,14.92,16.71,35.39,60.81,25.74,70.42,6.71
2017-05-07,大寮,28.95,2.22,12.46,14.62,25.46,50.12,16.96,72.27,4.56
2017-05-14,大寮,26.74,1.93,13.87,15.79,33.62,50.6,18.96,80.22,3.42
2017-05-21,大寮,27.65,2.14,11.9,14.04,29.95,40.44,13.11,80.99,3.41
2017-05-28,大寮,27.98,2.56,9.49,12.02,27.43,40.36,11.68,84.16,4.36
2017-06-04,大寮,29.23,2.3,8.25,10.55,16.3,33.69,6.02,80.65,2.91
2017-06-11,大寮,28.21,3.93,8.16,12.09,13.21,32.33,7.06,84.4,3.97
2017-06-18,大寮,29.35,3.84,8.34,12.18,11.85,29.28,9.13,76.88,3.03
2017-06-25,大寮,29.86,3.88,10.04,13.91,14.65,35.97,10.16,73.91,4.05
2017-07-02,大寮,29.68,3.43,6.33,9.66,13.4,45.79,8.59,74.42,3.2
2017-07-09,大寮,30.06,2.9,8.58,11.48,17.98,37.24,11.69,73.4,3.08
2017-07-16,大寮,29.84,2.38,13.9,16.26,28.3,46.2,19.69,74.58,5.65
2017-07-23,大寮,29.29,2.54,10.54,13.1,20.26,38.25,15.22,79.33,3.92
2017-07-30,大寮,28.58,1.96,8.63,10.6,20.31,32.69,11.24,85.06,3.29
2017-08-06,大寮,30.65,3.26,9.28,12.5,10.78,29.44,11.45,75.93,3.28
2017-08-13,大寮,30.92,3.07,10.53,13.6,18.8,33.67,17.49,71.99,4.59
2017-08-20,大寮,29.54,2.33,11.54,13.86,22.0,40.17,19.62,78.49,3.83
2017-08-27,大寮,28.79,3.57,10.52,14.09,19.06,39.06,19.89,82.0,3.58
2017-09-03,大寮,29.86,2.64,5.97,8.59,20.73,39.82,14.6,77.45,2.4
2017-09-10,大寮,30.68,3.52,11.14,14.67,31.73,48.24,22.5,72.84,3.64
2017-09-17,大寮,30.29,2.56,13.33,15.9,42.26,62.15,34.12,72.88,5.79
2017-09-24,大寮,30.77,3.14,11.56,14.68,24.77,41.11,20.88,75.11,4.86
2017-10-01,大寮,30.04,2.58,14.36,16.95,34.18,63.63,32.49,76.58,5.46
2017-10-08,大寮,28.93,4.14,14.94,19.08,22.48,58.51,26.73,81.24,5.5
2017-10-15,大寮,27.71,3.54,14.31,17.83,30.6,55.73,22.76,79.42,4.55
2017-10-22,大寮,25.5,2.39,17.12,19.49,46.11,78.78,33.6,67.24,4.87
2017-10-29,大寮,25.35,3.15,20.14,23.25,36.71,80.49,30.58,69.5,5.62
2017-11-05,大寮,25.89,3.98,21.55,25.51,28.35,89.52,41.6,80.02,4.83
2017-11-12,大寮,26.45,4.53,20.19,24.7,26.48,71.55,35.92,78.46,5.56
2017-11-19,大寮,23.62,4.17,24.0,28.17,24.67,73.13,31.1,71.97,5.4
2017-11-26,大寮,24.75,4.15,23.74,27.9,25.26,83.99,37.63,76.15,4.55
2017-12-03,大寮,21.08,4.41,24.34,28.72,22.64,75.31,37.15,70.84,4.96
2017-12-10,大寮,21.1,4.89,24.43,29.33,20.97,76.07,38.06,73.91,5.08
2017-12-17,大寮,19.48,3.16,23.81,26.96,24.12,65.56,32.78,67.67,4.85
2017-12-24,大寮,21.61,2.06,20.94,23.02,32.41,81.53,43.83,73.22,3.92
