日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2017-01-01,屏東,22.71,2.56,18.46,21.09,33.59,83.66,52.34,73.13,2.34
2017-01-08,屏東,22.42,2.49,21.06,23.54,33.86,85.9,52.43,70.8,3.65
2017-01-15,屏東,20.65,2.34,18.92,21.29,28.99,69.64,37.36,69.18,3.09
2017-01-22,屏東,19.96,2.14,19.96,22.09,34.31,82.14,41.0,64.22,3.84
2017-01-29,屏東,21.34,1.78,17.35,19.08,31.77,76.67,43.67,67.93,3.77
2017-02-05,屏東,19.13,2.17,18.2,20.38,30.25,86.13,48.79,66.33,3.43
2017-02-12,屏東,20.51,2.1,18.32,20.4,38.27,67.77,33.96,59.82,2.91
2017-02-19,屏東,23.21,2.69,17.98,20.68,28.6,72.63,38.14,70.46,2.93
2017-02-26,屏東,21.11,1.53,15.88,17.4,41.99,77.7,45.83,60.95,3.48
2017-03-05,屏東,22.05,2.62,18.51,21.07,28.67,68.35,43.13,71.07,2.94
2017-03-12,屏東,23.46,1.8,16.29,18.05,37.52,68.52,41.76,70.1,3.58
2017-03-19,屏東,25.53,1.44,14.35,15.83,42.16,68.61,33.49,67.22,3.53
2017-03-26,屏東,22.44,1.55,15.74,17.29,41.45,61.57,32.55,66.15,3.13
2017-04-02,屏東,24.11,1.51,12.97,14.52,46.69,57.4,29.94,58.76,3.0
2017-04-09,屏東,26.15,2.6,15.02,17.65,23.53,42.58,22.71,72.5,2.65
2017-04-16,屏東,27.77,2.09,12.06,14.13,26.14,38.22,16.85,69.77,2.74
2017-04-23,屏東,24.93,1.62,15.96,17.57,43.82,55.68,32.6,72.02,3.98
2017-04-30,屏東,28.21,1.4,13.43,14.84,43.49,54.23,31.13,62.55,4.16
2017-05-07,屏東,29.57,1.81,11.55,13.37,32.68,42.95,20.58,63.81,3.64
2017-05-14,屏東,27.18,1.9,12.08,13.95,34.73,38.68,17.98,72.43,2.41
2017-05-21,屏東,28.02,1.46,11.44,12.9,33.37,33.47,15.65,73.92,2.41
2017-05-28,屏東,28.28,1.74,10.4,12.09,28.07,33.97,15.86,76.97,2.58
2017-06-04,屏東,29.69,1.93,8.94,10.87,21.52,28.73,8.8,71.92,2.1
2017-06-11,屏東,28.55,2.57,7.61,10.19,14.1,23.99,4.94,76.02,1.52
2017-06-18,屏東,30.01,2.97,9.4,12.39,16.98,26.28,8.32,67.14,2.4
2017-06-25,屏東,30.14,1.89,8.59,10.46,20.21,31.63,8.69,66.43,2.3
2017-07-02,屏東,29.77,1.91,7.75,9.68,22.15,29.47,9.33,68.41,2.29
2017-07-09,屏東,30.11,2.14,9.08,11.19,25.34,32.11,9.44,67.68,2.34
2017-07-16,屏東,29.8,3.32,10.24,13.61,36.22,38.1,20.49,70.02,2.68
2017-07-23,屏東,29.24,1.69,9.45,11.08,28.25,32.15,15.74,73.27,2.52
2017-07-30,屏東,28.29,2.11,9.09,11.16,22.41,27.14,11.54,80.11,2.07
2017-08-06,屏東,30.32,2.05,8.01,10.03,15.58,29.93,11.99,70.41,2.28
2017-08-13,屏東,30.22,1.15,9.45,10.6,25.74,31.33,13.77,66.59,3.12
2017-08-20,屏東,29.55,1.22,11.02,12.25,25.86,34.37,17.47,72.8,2.65
2017-08-27,屏東,28.8,1.47,10.95,12.35,24.34,34.47,15.16,74.88,2.6
2017-09-03,屏東,30.06,1.33,8.9,10.22,22.44,29.06,10.54,72.35,2.58
2017-09-10,屏東,30.92,1.07,9.52,10.55,36.21,41.39,18.77,69.85,2.9
2017-09-17,屏東,30.49,0.92,12.08,13.0,49.9,58.74,35.1,69.29,4.86
2017-09-24,屏東,30.89,1.3,11.38,12.67,31.08,40.3,20.72,72.55,3.76
2017-10-01,屏東,30.2,0.82,11.8,12.63,41.97,53.39,30.1,73.46,3.77
2017-10-08,屏東,29.28,1.7,12.99,14.69,29.17,52.38,23.4,77.54,3.48
2017-10-15,屏東,27.67,1.38,11.06,12.15,34.04,49.87,17.64,78.47,2.65
2017-10-22,屏東,25.71,1.05,14.07,15.14,50.53,75.62,32.52,67.84,3.01
2017-10-29,屏東,25.7,0.93,14.82,15.66,44.15,80.08,34.24,67.98,3.41
2017-11-05,屏東,26.23,1.44,17.33,18.76,33.33,95.34,47.36,77.85,3.3
2017-11-12,屏東,26.56,1.46,16.48,17.88,29.84,69.24,37.98,77.33,3.27
2017-11-19,屏東,23.76,1.43,17.7,19.11,30.24,80.42,32.72,72.69,3.03
2017-11-26,屏東,24.97,1.51,17.38,18.91,30.47,78.23,38.09,75.07,2.76
2017-12-03,屏東,21.23,1.45,17.29,18.74,26.69,79.86,38.11,71.59,2.58
2017-12-10,屏東,21.32,1.77,17.85,19.64,24.74,68.51,36.04,73.06,3.23
2017-12-17,屏東,19.6,1.4,17.19,18.55,28.88,64.46,31.83,68.05,2.72
2017-12-24,屏東,21.62,0.96,16.04,17.03,34.14,80.71,45.44,71.77,2.96
