日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2017-01-01,橋頭,21.17,5.29,19.37,24.66,27.69,95.26,55.59,78.54,3.04
2017-01-08,橋頭,20.46,4.54,22.33,26.87,25.75,94.33,54.95,73.88,3.93
2017-01-15,橋頭,18.76,4.15,21.18,25.33,23.7,78.93,42.95,70.81,3.58
2017-01-22,橋頭,17.81,3.03,20.46,23.48,28.85,83.56,43.1,66.37,3.95
2017-01-29,橋頭,19.36,2.64,16.35,19.01,26.91,79.59,41.0,70.7,3.14
2017-02-05,橋頭,17.1,3.63,20.18,23.85,25.08,95.77,51.84,67.61,3.51
2017-02-12,橋頭,18.41,4.08,21.04,25.13,30.58,87.22,48.66,64.04,3.84
2017-02-19,橋頭,21.22,3.9,19.0,22.87,24.03,81.18,42.52,71.08,3.58
2017-02-26,橋頭,18.95,2.48,18.89,21.35,34.09,94.61,49.68,62.59,4.21
2017-03-05,橋頭,20.16,3.72,20.65,24.28,24.94,80.32,50.35,71.96,3.22
2017-03-12,橋頭,21.83,2.85,17.35,20.2,32.88,82.71,45.4,70.14,3.75
2017-03-19,橋頭,23.76,2.34,16.2,18.54,32.55,83.55,39.6,67.91,3.59
2017-03-26,橋頭,20.99,2.51,16.05,18.52,37.3,79.83,39.54,65.73,3.4
2017-04-02,橋頭,22.77,1.7,13.13,14.78,40.15,63.74,33.21,58.92,3.13
2017-04-09,橋頭,24.48,3.57,14.52,18.05,20.24,50.49,28.88,75.23,2.61
2017-04-16,橋頭,26.34,2.2,9.77,11.93,22.75,37.63,21.93,71.83,2.97
2017-04-23,橋頭,23.5,2.31,15.15,17.46,37.95,62.15,33.27,71.2,3.12
2017-04-30,橋頭,26.83,2.03,12.5,14.55,36.71,62.27,33.16,63.24,3.83
2017-05-07,橋頭,28.2,2.79,10.81,13.61,24.08,48.21,21.97,65.67,4.19
2017-05-14,橋頭,25.86,1.89,13.15,15.02,30.69,45.29,24.25,72.55,2.92
2017-05-21,橋頭,27.39,2.04,10.31,12.38,27.33,38.79,19.2,71.28,2.69
2017-05-28,橋頭,27.58,1.47,7.51,8.98,25.81,37.3,17.55,76.73,3.38
2017-06-04,橋頭,28.81,3.19,8.84,12.03,16.86,24.91,12.22,72.91,3.07
2017-06-11,橋頭,27.84,2.84,8.1,10.97,13.7,20.4,9.03,76.06,2.44
2017-06-18,橋頭,28.94,4.02,7.62,11.6,12.89,18.69,9.66,69.11,2.67
2017-06-25,橋頭,29.61,3.03,8.24,11.27,15.6,23.11,10.76,65.58,3.4
2017-07-02,橋頭,29.0,3.08,9.46,12.55,16.43,24.47,10.7,67.85,3.35
2017-07-09,橋頭,29.39,2.6,9.37,11.98,20.11,26.79,12.28,66.34,2.66
2017-07-16,橋頭,29.01,2.11,11.13,13.18,30.11,39.55,23.12,70.02,2.81
2017-07-23,橋頭,29.28,2.16,8.41,10.6,24.09,31.27,18.43,72.83,2.68
2017-07-30,橋頭,29.76,2.41,8.51,10.91,22.21,29.3,14.46,82.3,1.09
2017-08-06,橋頭,31.65,2.55,5.65,8.19,16.29,28.14,14.63,76.4,0.58
2017-08-13,橋頭,31.86,2.95,8.17,11.12,18.54,26.5,15.15,71.14,1.24
2017-08-20,橋頭,30.64,2.46,12.13,14.64,24.5,34.63,19.43,75.64,3.08
2017-08-27,橋頭,29.63,2.54,11.41,13.95,24.22,36.02,18.3,80.39,3.34
2017-09-03,橋頭,30.31,2.34,8.51,10.86,23.27,30.06,15.02,77.82,3.14
2017-09-10,橋頭,30.26,2.04,11.55,13.55,30.11,44.94,21.4,75.54,2.89
2017-09-17,橋頭,30.3,1.29,13.51,14.81,46.07,57.45,34.8,69.85,3.59
2017-09-24,橋頭,30.36,2.46,10.29,12.72,28.44,37.62,20.82,77.63,3.44
2017-10-01,橋頭,29.7,1.53,11.93,13.46,39.42,60.66,31.24,78.83,3.05
2017-10-08,橋頭,28.76,2.59,13.5,16.06,26.62,50.86,24.37,81.94,2.94
2017-10-15,橋頭,27.15,2.37,12.7,15.04,29.69,51.56,24.5,81.96,2.61
2017-10-22,橋頭,24.51,2.12,16.79,18.93,45.45,85.27,39.25,70.07,3.61
2017-10-29,橋頭,24.54,2.09,17.0,19.06,37.8,84.13,33.55,72.49,2.92
2017-11-05,橋頭,25.33,2.72,18.05,20.84,28.76,88.03,42.53,82.11,3.03
2017-11-12,橋頭,25.6,3.19,17.38,20.59,27.86,74.73,39.72,82.26,3.03
2017-11-19,橋頭,22.42,3.11,18.49,21.62,24.79,75.47,33.83,75.77,3.21
2017-11-26,橋頭,23.73,3.09,17.96,21.02,25.63,83.64,39.24,80.13,3.1
2017-12-03,橋頭,19.64,3.36,20.42,23.76,22.37,77.44,42.28,76.39,3.34
2017-12-10,橋頭,20.16,3.97,20.8,24.76,22.69,80.6,43.58,78.93,3.25
2017-12-17,橋頭,18.53,3.18,18.72,21.88,27.29,68.88,37.51,72.58,3.19
2017-12-24,橋頭,20.74,2.81,18.64,21.46,30.42,95.07,55.88,76.38,3.41
