日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2018-01-01,西屯,17.94,7.78,20.71,28.5,22.9,54.75,25.97,78.84,2.55
2018-01-08,西屯,13.26,4.18,13.61,17.79,33.22,32.88,14.21,62.04,2.26
2018-01-15,西屯,19.48,5.6,20.44,26.03,26.68,55.96,27.5,74.52,2.49
2018-01-22,西屯,17.57,1.96,14.62,16.59,32.91,37.47,13.99,73.91,1.87
2018-01-29,西屯,12.35,1.11,11.12,12.17,32.12,28.78,16.0,77.9,1.73
2018-02-05,西屯,12.92,4.75,16.65,21.36,31.14,42.28,22.09,73.9,2.25
2018-02-12,西屯,18.28,3.82,17.71,21.49,37.49,75.11,32.79,63.74,2.36
2018-02-19,西屯,18.05,2.56,17.31,19.83,30.26,47.22,27.29,74.17,1.94
2018-02-26,西屯,20.95,10.45,24.1,34.52,25.53,67.54,35.82,74.06,3.05
2018-03-05,西屯,17.55,1.68,13.21,14.82,36.63,37.37,19.04,67.74,2.18
2018-03-12,西屯,20.45,5.94,23.62,29.54,33.93,58.24,32.44,70.49,3.02
2018-03-19,西屯,19.42,3.21,17.6,20.79,43.35,53.03,26.14,59.64,2.84
2018-03-26,西屯,22.26,2.29,17.92,20.16,42.1,65.44,33.16,69.46,2.7
2018-04-02,西屯,21.84,2.25,14.47,16.66,38.85,67.86,30.39,60.74,3.37
2018-04-09,西屯,24.33,1.53,13.93,15.42,36.63,45.87,19.68,66.74,2.77
2018-04-16,西屯,22.83,1.82,17.58,19.39,42.77,68.83,30.73,69.46,2.94
2018-04-23,西屯,25.12,1.36,17.37,18.7,40.91,59.48,28.97,68.11,3.36
2018-04-30,西屯,26.75,1.29,13.72,14.99,35.71,53.28,23.45,67.98,3.63
2018-05-07,西屯,25.48,1.51,15.34,16.82,28.37,46.12,17.63,71.98,1.51
2018-05-14,西屯,28.31,2.35,9.8,12.11,21.03,36.0,14.7,70.7,1.83
2018-05-21,西屯,28.67,1.36,13.35,14.69,29.1,42.33,20.89,66.7,3.5
2018-05-28,西屯,28.81,0.76,10.61,11.33,38.52,37.18,17.62,68.68,2.81
2018-06-04,西屯,29.16,0.95,12.69,13.6,35.88,39.96,18.96,68.82,3.43
2018-06-11,西屯,27.89,0.8,12.54,13.26,45.47,39.34,15.78,68.34,2.61
2018-06-18,西屯,26.7,2.56,10.26,12.8,15.7,23.98,7.85,81.47,1.84
2018-06-25,西屯,28.28,2.35,11.22,13.54,21.02,30.93,12.49,70.96,2.86
2018-07-02,西屯,27.0,3.17,12.94,16.1,14.79,25.61,8.5,79.39,2.44
2018-07-09,西屯,28.44,2.31,11.97,14.27,26.43,34.38,18.42,73.35,3.0
2018-07-16,西屯,29.27,0.88,12.44,13.29,35.66,42.61,27.4,71.28,3.19
2018-07-23,西屯,28.78,2.39,14.3,16.67,21.76,30.66,15.49,73.61,3.18
2018-07-30,西屯,29.05,1.82,10.22,12.01,25.76,28.12,14.31,72.98,2.12
2018-08-06,西屯,29.15,1.08,10.99,12.07,35.8,36.49,26.18,70.65,2.62
2018-08-13,西屯,27.87,1.11,12.02,13.12,24.22,23.92,11.05,78.55,1.89
2018-08-20,西屯,26.85,1.66,12.7,14.31,28.56,20.65,10.77,85.22,2.16
2018-08-27,西屯,26.81,4.56,11.45,16.0,16.58,25.64,11.54,78.99,2.56
2018-09-03,西屯,27.91,1.43,10.79,12.18,28.48,32.79,17.87,75.45,2.33
2018-09-10,西屯,28.04,2.65,14.88,17.52,29.96,44.66,25.29,73.9,2.36
2018-09-17,西屯,28.46,2.84,13.14,15.97,27.32,44.07,26.83,73.05,3.01
2018-09-24,西屯,26.05,0.48,4.93,5.34,47.35,33.7,13.66,66.16,1.6
2018-10-01,西屯,24.76,0.43,11.15,11.47,54.74,45.09,23.1,60.36,2.29
2018-10-08,西屯,24.27,1.33,12.24,13.48,35.62,30.73,15.82,74.2,1.85
2018-10-15,西屯,23.83,1.42,12.59,13.93,38.28,31.39,17.2,73.33,2.06
2018-10-22,西屯,23.62,1.36,12.93,14.18,42.94,46.25,24.51,66.36,2.44
2018-10-29,西屯,22.44,2.52,12.54,15.0,35.83,28.64,13.74,69.53,1.75
2018-11-05,西屯,24.49,3.09,18.84,21.93,30.36,64.64,40.48,78.26,3.1
2018-11-12,西屯,23.07,2.58,16.09,18.63,29.75,47.07,22.36,75.69,2.56
2018-11-19,西屯,21.68,2.95,15.89,18.79,28.9,43.39,19.28,73.02,2.33
2018-11-26,西屯,21.23,5.58,18.18,23.74,29.14,53.37,24.54,76.1,2.64
2018-12-03,西屯,22.02,6.28,15.12,21.35,24.58,36.05,14.6,70.86,2.15
2018-12-10,西屯,19.57,1.03,12.08,13.02,25.61,30.5,11.86,75.52,1.96
2018-12-17,西屯,19.88,7.27,22.5,29.74,31.2,65.86,31.29,66.85,2.9
2018-12-24,西屯,18.17,0.97,8.68,9.59,30.99,20.7,7.75,73.08,1.63
