日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2018-01-01,基隆,18.46,2.0,9.15,11.16,32.89,21.04,9.44,80.53,1.49
2018-01-08,基隆,13.17,3.42,10.14,13.54,30.96,22.07,11.46,62.98,2.16
2018-01-15,基隆,18.34,4.45,15.23,19.67,30.49,24.35,15.37,88.29,2.79
2018-01-22,基隆,16.31,1.47,8.32,9.79,36.98,20.67,9.58,84.15,1.48
2018-01-29,基隆,11.96,1.18,6.04,7.22,40.16,20.22,12.6,86.65,1.11
2018-02-05,基隆,12.55,6.56,14.5,21.05,33.35,29.68,16.36,79.72,2.29
2018-02-12,基隆,16.66,3.78,15.76,19.53,33.64,54.22,26.68,72.87,2.9
2018-02-19,基隆,16.28,3.1,14.17,17.25,31.85,32.14,19.43,88.35,4.09
2018-02-26,基隆,19.69,6.52,17.68,24.19,28.89,34.85,22.4,81.57,3.14
2018-03-05,基隆,16.55,1.96,9.51,11.47,35.64,24.73,12.61,73.26,1.56
2018-03-12,基隆,19.79,5.06,16.8,21.85,28.91,26.84,14.74,80.46,3.8
2018-03-19,基隆,18.36,2.08,10.94,13.03,41.09,30.45,15.4,67.67,2.01
2018-03-26,基隆,22.32,1.8,8.73,10.54,36.77,30.86,15.2,69.55,1.28
2018-04-02,基隆,20.99,2.4,10.28,12.68,37.04,54.1,22.68,68.71,2.19
2018-04-09,基隆,22.99,5.04,15.59,20.64,29.87,34.19,16.77,76.9,2.77
2018-04-16,基隆,21.68,2.2,10.0,12.2,40.15,38.38,15.27,71.94,1.57
2018-04-23,基隆,23.09,1.83,11.0,12.8,47.35,28.71,17.42,75.28,1.97
2018-04-30,基隆,25.1,1.25,11.25,12.47,43.93,29.67,19.2,74.33,2.37
2018-05-07,基隆,24.74,1.95,11.71,13.66,40.36,28.03,13.97,73.29,3.04
2018-05-14,基隆,27.88,2.11,13.47,15.55,31.08,28.78,19.59,79.87,4.11
2018-05-21,基隆,27.03,1.66,12.56,14.21,34.86,28.64,16.31,79.32,3.5
2018-05-28,基隆,26.88,1.3,11.06,12.36,39.57,23.66,14.6,81.12,2.85
2018-06-04,基隆,27.49,1.67,6.84,8.52,24.78,17.07,9.15,85.49,1.94
2018-06-11,基隆,25.77,1.15,8.18,9.33,48.83,25.64,14.05,83.52,2.42
2018-06-18,基隆,27.93,4.04,13.32,17.35,18.64,21.21,10.04,82.62,2.93
2018-06-25,基隆,29.35,2.41,12.42,14.82,25.23,22.53,14.15,74.32,4.28
2018-07-02,基隆,30.1,2.54,11.57,14.11,21.65,18.97,9.15,66.56,2.15
2018-07-09,基隆,28.87,2.2,3.81,5.99,13.71,13.26,5.61,74.67,1.5
2018-07-16,基隆,29.22,2.22,4.71,6.93,11.46,13.58,6.04,77.46,1.83
2018-07-23,基隆,29.68,2.11,11.5,13.6,26.36,27.19,16.85,75.82,2.79
2018-07-30,基隆,30.46,1.85,14.15,15.99,30.71,25.94,15.92,72.15,3.39
2018-08-06,基隆,29.53,2.32,8.73,11.05,23.17,19.71,13.56,74.7,2.6
2018-08-13,基隆,29.2,2.27,13.1,15.37,22.81,18.13,9.72,78.63,2.8
2018-08-20,基隆,29.2,2.05,8.01,10.06,28.49,15.07,7.29,77.54,1.91
2018-08-27,基隆,27.93,2.62,11.51,14.12,20.0,19.05,9.33,77.3,2.36
2018-09-03,基隆,28.73,2.0,10.79,12.78,31.27,22.17,13.07,75.2,2.42
2018-09-10,基隆,28.38,1.85,4.44,6.3,20.16,14.29,5.86,77.43,1.19
2018-09-17,基隆,29.12,2.97,8.44,11.42,20.47,17.87,11.51,73.77,2.63
2018-09-24,基隆,25.81,1.08,7.11,8.18,45.0,34.62,13.07,76.11,1.86
2018-10-01,基隆,24.2,2.11,7.87,9.97,51.72,30.32,13.52,70.04,2.12
2018-10-08,基隆,22.4,1.02,4.96,5.96,43.81,20.2,9.28,89.47,1.36
2018-10-15,基隆,22.55,1.14,7.9,9.03,44.54,20.84,9.99,81.91,1.4
2018-10-22,基隆,23.33,1.82,9.51,11.3,41.4,32.53,14.65,74.36,2.15
2018-10-29,基隆,21.65,1.21,8.79,10.02,45.02,21.58,10.46,82.54,2.33
2018-11-05,基隆,23.77,3.65,10.11,13.74,26.97,20.58,11.96,88.35,2.15
2018-11-12,基隆,22.27,2.4,9.77,12.16,31.28,25.51,9.49,84.85,2.66
2018-11-19,基隆,20.88,1.36,8.45,9.8,34.3,23.73,8.6,81.08,1.81
2018-11-26,基隆,21.33,1.91,10.88,12.78,32.92,33.29,13.07,74.78,1.53
2018-12-03,基隆,20.32,3.03,9.5,12.5,30.79,29.4,9.66,87.55,2.05
2018-12-10,基隆,18.04,1.87,8.91,10.79,28.23,22.81,8.56,91.91,1.8
2018-12-17,基隆,19.16,4.21,13.5,17.7,32.45,36.5,15.26,74.9,2.16
2018-12-24,基隆,17.0,1.26,5.54,6.75,35.51,18.54,6.2,87.77,1.31
