日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2018-01-01,大園,18.64,3.63,14.3,17.93,31.17,32.65,9.26,80.77,3.03
2018-01-08,大園,13.35,4.78,17.11,21.89,30.3,36.3,12.04,66.13,3.33
2018-01-15,大園,18.95,5.36,17.25,22.6,34.98,45.16,18.51,87.07,4.05
2018-01-22,大園,16.98,3.23,13.06,16.29,36.12,33.25,10.24,80.23,3.12
2018-01-29,大園,11.6,4.41,12.3,16.7,36.29,37.58,18.46,89.85,5.97
2018-02-05,大園,12.79,3.82,15.4,19.21,38.49,47.08,20.16,79.86,5.34
2018-02-12,大園,17.07,3.09,18.33,21.4,39.53,79.24,28.79,73.03,4.45
2018-02-19,大園,16.18,2.77,12.85,15.61,41.76,50.16,21.73,90.41,3.49
2018-02-26,大園,19.73,5.49,18.49,23.97,35.17,62.91,29.33,82.84,4.67
2018-03-05,大園,16.7,3.1,13.79,16.84,40.66,42.98,14.58,73.29,2.49
2018-03-12,大園,20.27,5.92,23.94,29.87,29.51,59.69,27.73,80.2,4.77
2018-03-19,大園,19.43,2.14,17.45,19.58,31.26,50.96,20.13,65.26,2.41
2018-03-26,大園,23.3,1.78,15.74,17.52,20.93,59.53,21.45,64.18,2.4
2018-04-02,大園,21.69,2.1,16.36,18.43,19.06,80.89,30.54,70.02,2.03
2018-04-09,大園,23.46,4.21,19.81,23.99,25.28,54.6,24.67,75.67,3.66
2018-04-16,大園,22.4,2.72,19.98,22.69,46.18,65.5,27.59,68.18,4.58
2018-04-23,大園,23.97,2.62,19.68,22.29,43.77,50.59,25.49,71.38,4.25
2018-04-30,大園,25.78,2.06,13.46,15.51,36.8,47.78,22.99,70.16,3.34
2018-05-07,大園,25.43,1.96,12.07,14.03,41.32,45.01,16.98,69.76,3.47
2018-05-14,大園,28.43,2.97,9.63,12.6,36.980000000000004,33.5,16.51,74.93,3.49
2018-05-21,大園,27.97,2.2,13.44,15.63,32.64,41.61,19.0,71.11,3.87
2018-05-28,大園,27.71,1.7,11.42,13.13,41.09,35.06,17.69,74.0,3.81
2018-06-04,大園,28.38,4.06,13.4,17.46,25.12,32.33,13.84,76.55,4.28
2018-06-11,大園,26.88,2.48,14.87,17.35,46.67,39.37,16.52,73.63,3.71
2018-06-18,大園,28.76,1.61,8.74,10.35,21.74,28.97,10.63,74.45,2.72
2018-06-25,大園,29.77,2.67,10.03,12.69,23.9,34.62,14.84,68.81,3.38
2018-07-02,大園,30.18,1.32,6.96,8.28,27.06,29.25,11.77,66.15,2.34
2018-07-09,大園,29.65,3.22,9.86,13.07,18.61,33.91,12.59,69.75,3.68
2018-07-16,大園,30.32,5.15,7.95,13.09,14.34,26.15,9.87,68.26,2.91
2018-07-23,大園,29.95,2.46,11.06,13.49,25.55,38.0,18.21,73.85,3.75
2018-07-30,大園,30.59,1.5,8.98,10.43,32.14,36.48,16.06,69.26,3.37
2018-08-06,大園,30.1,2.86,12.54,15.4,26.45,39.73,20.85,69.98,3.51
2018-08-13,大園,29.4,2.6,10.25,12.83,30.62,29.05,13.5,76.07,2.44
2018-08-20,大園,29.19,2.39,13.14,15.51,29.69,28.4,13.08,79.25,2.96
2018-08-27,大園,27.96,4.73,16.46,21.18,20.16,32.65,13.61,81.19,3.98
2018-09-03,大園,28.93,1.9,10.64,12.53,32.8,38.82,19.69,78.88,3.19
2018-09-10,大園,29.01,4.53,11.67,16.19,23.57,33.3,11.5,71.82,3.11
2018-09-17,大園,29.22,2.7,12.23,14.91,30.48,45.38,23.54,73.31,3.96
2018-09-24,大園,25.86,1.82,9.47,11.29,48.42,46.73,13.93,70.95,1.99
2018-10-01,大園,24.75,2.74,14.1,16.82,54.9,50.43,16.32,63.61,3.0
2018-10-08,大園,23.19,2.51,13.68,16.17,41.58,32.92,11.74,82.8,2.91
2018-10-15,大園,23.08,2.61,13.37,15.98,45.51,33.42,12.38,77.64,2.44
2018-10-22,大園,23.48,2.86,16.55,19.37,41.07,52.27,17.5,71.52,4.19
2018-10-29,大園,22.03,2.22,12.64,14.81,48.65,37.22,10.5,77.25,2.88
2018-11-05,大園,24.08,3.68,15.27,18.09,31.59,43.07,19.58,83.32,4.85
2018-11-12,大園,22.27,3.325,15.004999999999999,17.895,32.74,27.86,12.49,80.74,3.87
2018-11-19,大園,21.07,2.97,14.74,17.7,35.78,24.19,11.83,76.99,2.54
2018-11-26,大園,21.26,4.16,18.37,22.52,36.74,39.04,19.26,71.6,3.71
2018-12-03,大園,20.42,6.23,18.47,24.7,30.56,32.13,15.22,84.48,3.75
2018-12-10,大園,18.21,4.25,12.44,16.7,31.85,20.94,8.91,86.25,3.13
2018-12-17,大園,19.03,5.31,20.56,25.85,39.38,55.02,25.75,73.64,3.8
2018-12-24,大園,16.47,3.5,10.05,13.55,37.2,19.35,6.94,87.02,2.99
