日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2018-01-01,平鎮,18.08,5.03,15.85,20.88,26.97,30.89,11.2,80.47,2.48
2018-01-08,平鎮,12.86,4.13,19.19,23.32,25.83,36.65,12.61,66.58,2.57
2018-01-15,平鎮,18.98,6.96,22.57,29.52,26.12,41.79,18.28,81.68,3.21
2018-01-22,平鎮,16.86,3.01,14.85,17.85,31.98,34.02,11.74,78.93,1.85
2018-01-29,平鎮,11.22,3.35,18.85,22.2,27.32,38.74,17.96,87.56,1.94
2018-02-05,平鎮,11.81,2.92,20.78,23.67,30.08,47.25,18.05,85.63,2.51
2018-02-12,平鎮,17.24,5.06,28.66,33.7,34.35,84.73,34.43,75.93,3.3
2018-02-19,平鎮,15.78,3.22,20.94,24.16,26.01,50.37,22.27,90.95,1.92
2018-02-26,平鎮,19.83,6.11,22.05,28.15,13.64,64.42,29.57,85.46,1.33
2018-03-05,平鎮,16.77,2.9,15.89,18.79,30.97,44.63,17.34,75.29,1.65
2018-03-12,平鎮,20.14,5.32,25.08,30.39,29.94,57.73,25.42,76.57,3.98
2018-03-19,平鎮,18.74,2.33,18.19,20.51,39.68,51.54,18.65,66.57,2.29
2018-03-26,平鎮,22.84,2.88,16.86,19.74,38.01,56.85,22.2,67.32,2.96
2018-04-02,平鎮,21.5,1.69,16.12,17.8,39.45,81.27,29.43,70.7,2.87
2018-04-09,平鎮,23.53,4.95,20.28,25.23,31.03,58.61,21.82,76.69,3.72
2018-04-16,平鎮,22.42,2.0,19.67,21.67,48.01,70.85,26.59,73.08,3.38
2018-04-23,平鎮,24.19,1.77,18.13,19.88,45.4,51.73,23.27,75.08,3.28
2018-04-30,平鎮,25.87,1.76,15.15,16.89,36.78,51.67,21.86,74.49,3.02
2018-05-07,平鎮,25.38,1.51,15.21,16.66,40.34,51.7,17.48,75.18,3.03
2018-05-14,平鎮,28.46,4.18,14.25,18.41,20.19,44.79,18.02,78.82,3.15
2018-05-21,平鎮,28.23,1.31,16.25,17.55,32.72,46.78,18.55,74.77,3.74
2018-05-28,平鎮,27.87,2.1,14.28,16.37,38.44,37.58,16.7,78.16,3.37
2018-06-04,平鎮,28.96,2.26,14.19,16.44,25.35,32.64,12.95,76.03,3.74
2018-06-11,平鎮,26.62,1.65,16.16,17.8,44.12,37.23,14.53,75.57,3.24
2018-06-18,平鎮,28.44,2.2,11.39,13.59,19.19,29.15,10.19,78.0,2.99
2018-06-25,平鎮,29.39,3.54,12.33,15.86,23.02,31.29,13.19,74.65,3.04
2018-07-02,平鎮,29.71,2.32,9.7,12.01,24.54,25.27,9.75,70.62,2.46
2018-07-09,平鎮,29.17,3.41,10.96,14.36,20.14,26.18,11.92,75.47,3.16
2018-07-16,平鎮,30.08,3.72,8.42,12.12,13.23,15.88,9.14,70.91,3.15
2018-07-23,平鎮,29.5,1.66,14.11,15.72,24.25,41.23,16.55,77.76,3.3
2018-07-30,平鎮,30.24,0.85,11.55,12.34,29.43,39.55,17.49,74.51,2.5
2018-08-06,平鎮,29.98,1.35,13.24,14.58,28.32,40.48,23.78,72.98,3.59
2018-08-13,平鎮,28.66,1.57,13.69,15.26,27.76,31.22,13.0,79.77,3.01
2018-08-20,平鎮,28.14,2.21,16.06,18.27,26.33,31.3,12.29,83.49,2.79
2018-08-27,平鎮,26.98,2.76,16.61,19.36,20.11,32.37,13.02,83.02,2.89
2018-09-03,平鎮,27.55,1.35,16.06,17.39,29.26,39.88,17.42,83.11,2.69
2018-09-10,平鎮,28.35,2.62,13.36,15.97,24.58,34.19,14.47,76.49,2.91
2018-09-17,平鎮,29.02,1.75,15.12,16.86,28.97,47.82,25.83,75.49,3.74
2018-09-24,平鎮,24.8,1.62,14.74,16.36,41.02,45.65,12.9,79.09,2.05
2018-10-01,平鎮,24.2,1.41,15.03,16.43,54.76,45.19,16.37,66.65,3.13
2018-10-08,平鎮,22.51,2.14,15.61,17.75,37.04,30.11,11.81,85.26,3.19
2018-10-15,平鎮,22.41,2.09,16.25,18.33,41.86,32.81,12.35,81.05,2.96
2018-10-22,平鎮,23.21,2.17,16.57,18.73,41.75,52.32,18.31,74.3,3.63
2018-10-29,平鎮,21.5,1.9,13.03,14.93,46.44,35.34,10.19,79.1,2.18
2018-11-05,平鎮,24.16,3.12,17.73,20.58,29.93,45.48,23.56,82.65,3.67
2018-11-12,平鎮,22.2,2.54,16.94,19.48,29.64,31.66,13.68,81.82,2.92
2018-11-19,平鎮,20.64,2.17,15.66,17.81,33.31,29.67,13.9,80.35,2.79
2018-11-26,平鎮,20.96,3.09,19.07,22.15,33.8,43.96,20.31,74.59,2.77
2018-12-03,平鎮,20.73,4.94,18.97,23.9,25.22,30.5,14.6,80.05,3.05
2018-12-10,平鎮,17.93,3.24,15.72,18.96,24.86,21.67,11.05,86.07,2.43
2018-12-17,平鎮,19.06,4.75,24.18,28.92,32.33,56.77,28.43,71.14,4.22
2018-12-24,平鎮,16.27,2.61,13.51,16.11,28.98,15.81,7.79,86.58,2.3
