日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2018-01-01,新莊,19.2,3.16,14.73,17.89,29.56,25.9,9.01,72.32,2.05
2018-01-08,新莊,13.52,10.17,21.27,31.43,23.45,28.34,10.65,62.77,2.35
2018-01-15,新莊,19.94,11.53,21.28,32.81,29.2,31.74,15.52,72.79,4.39
2018-01-22,新莊,17.73,2.79,12.7,15.48,33.26,23.42,8.68,71.42,1.04
2018-01-29,新莊,12.19,4.01,18.45,22.49,27.31,24.78,12.82,81.0,1.35
2018-02-05,新莊,12.82,6.76,23.05,28.29,25.55,37.5,17.27,76.84,2.11
2018-02-12,新莊,18.27,3.51,16.26,19.76,33.31,65.21,23.23,61.0,2.85
2018-02-19,新莊,17.52,4.43,17.02,21.44,30.97,37.4,18.69,75.51,2.44
2018-02-26,新莊,20.81,18.39,30.68,49.06,21.64,61.7,32.39,73.08,3.8
2018-03-05,新莊,17.79,5.44,16.29,21.71,33.26,31.47,12.75,63.91,2.09
2018-03-12,新莊,21.18,10.41,27.02,37.43,27.07,46.4,22.27,66.68,4.25
2018-03-19,新莊,19.7,4.77,16.52,21.29,38.26,42.69,17.11,58.52,2.41
2018-03-26,新莊,23.99,4.94,15.6,20.54,35.45,45.08,15.88,55.46,2.52
2018-04-02,新莊,22.29,4.23,16.24,20.47,36.33,65.8,23.24,59.81,3.07
2018-04-09,新莊,24.17,11.62,28.39,40.01,24.24,52.57,24.53,66.76,4.37
2018-04-16,新莊,23.2,3.27,18.85,22.11,44.74,53.25,19.69,60.52,3.03
2018-04-23,新莊,24.75,4.02,19.07,23.08,44.79,41.22,21.71,62.86,3.17
2018-04-30,新莊,26.68,5.58,18.85,24.41,37.2,44.8,23.07,62.4,3.58
2018-05-07,新莊,26.52,4.75,18.56,23.31,40.32,41.61,17.48,60.65,4.09
2018-05-14,新莊,30.02,6.09,18.83,24.92,25.94,38.77,21.14,62.92,5.58
2018-05-21,新莊,29.33,3.97,17.82,21.78,34.07,39.09,18.62,61.17,5.46
2018-05-28,新莊,28.96,2.51,14.81,17.3,41.51,30.93,15.62,63.46,3.76
2018-06-04,新莊,29.7,2.98,12.84,15.81,25.96,22.99,10.65,65.28,3.28
2018-06-11,新莊,27.49,1.94,12.74,14.66,46.47,26.58,12.74,65.42,2.42
2018-06-18,新莊,29.88,4.57,14.49,19.05,19.52,20.34,9.98,63.22,3.84
2018-06-25,新莊,30.63,3.96,15.96,19.92,27.58,29.65,17.33,60.48,5.77
2018-07-02,新莊,31.06,4.95,12.13,17.07,23.08,22.46,10.56,55.26,4.06
2018-07-09,新莊,30.44,4.27,7.9,12.16,14.06,13.77,7.76,59.26,2.16
2018-07-16,新莊,30.67,3.87,6.08,9.95,12.95,13.51,5.79,60.84,2.24
2018-07-23,新莊,30.64,5.43,16.31,21.72,22.81,35.01,19.27,64.36,5.31
2018-07-30,新莊,31.36,3.3,13.87,17.16,31.15,31.08,17.0,60.64,5.75
2018-08-06,新莊,30.98,3.36,13.02,16.38,28.35,28.23,18.61,59.41,5.49
2018-08-13,新莊,29.78,4.49,15.52,20.0,25.38,24.51,13.47,67.69,5.29
2018-08-20,新莊,29.71,4.86,15.67,20.52,25.71,22.5,11.09,67.79,4.21
2018-08-27,新莊,28.12,7.02,19.45,26.46,22.79,24.61,11.97,70.95,3.91
2018-09-03,新莊,29.21,3.2,16.58,19.76,29.29,29.5,16.38,66.68,5.25
2018-09-10,新莊,29.54,3.37,10.52,13.87,19.25,16.4,7.71,63.33,2.13
2018-09-17,新莊,30.52,4.46,16.35,20.8,22.08,30.94,16.88,60.0,4.78
2018-09-24,新莊,25.79,3.45,13.44,16.87,38.72,33.9,11.58,68.67,2.1
2018-10-01,新莊,25.24,2.16,12.3,14.46,53.51,37.55,14.0,58.33,2.29
2018-10-08,新莊,23.33,2.88,16.64,19.49,33.71,21.78,9.48,76.36,1.83
2018-10-15,新莊,23.61,3.09,16.02,19.09,39.27,23.55,9.18,69.23,2.21
2018-10-22,新莊,24.37,3.71,15.5,19.21,38.82,41.93,14.99,62.3,3.35
2018-10-29,新莊,22.52,2.69,13.6,16.28,42.65,25.47,7.94,69.39,2.19
2018-11-05,新莊,25.26,5.83,18.06,23.88,26.49,32.27,16.41,70.65,3.38
2018-11-12,新莊,23.73,2.65,14.47,17.1,32.18,26.75,10.6,68.38,2.49
2018-11-19,新莊,21.91,3.61,15.41,19.01,31.16,25.7,8.56,68.72,2.28
2018-11-26,新莊,22.29,6.06,20.03,26.09,30.92,40.01,15.35,63.93,2.67
2018-12-03,新莊,21.84,8.48,19.19,27.67,25.64,29.37,11.48,69.58,2.99
2018-12-10,新莊,19.35,3.84,14.46,18.27,24.61,18.91,7.06,74.7,2.31
2018-12-17,新莊,20.3,10.8,24.47,35.26,27.54,49.16,20.21,62.99,3.36
2018-12-24,新莊,17.78,2.71,13.42,16.12,28.94,13.4,3.63,74.67,1.8
