日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2018-01-01,菜寮,19.06,4.17,16.41,20.58,26.15,29.31,10.91,76.74,1.99
2018-01-08,菜寮,13.55,9.27,21.68,30.95,21.82,28.84,11.22,63.78,2.05
2018-01-15,菜寮,19.77,7.45,21.29,28.74,24.86,31.35,16.28,76.48,4.14
2018-01-22,菜寮,17.52,2.6,13.69,16.29,29.38,26.93,9.73,74.78,2.18
2018-01-29,菜寮,12.16,2.69,18.55,21.24,24.54,23.48,12.74,82.46,1.9
2018-02-05,菜寮,12.62,7.14,23.12,30.25,23.53,36.62,17.27,79.23,2.1
2018-02-12,菜寮,17.99,11.11,22.15,33.26,28.75,65.37,25.1,63.97,2.62
2018-02-19,菜寮,17.26,3.99,17.59,21.58,26.11,39.42,20.85,79.89,2.22
2018-02-26,菜寮,20.37,19.12,28.18,47.29,19.18,61.26,33.75,78.39,3.39
2018-03-05,菜寮,17.7,3.24,14.94,18.18,29.32,29.58,13.61,65.93,2.07
2018-03-12,菜寮,21.15,12.88,26.54,39.42,21.57,44.56,23.37,69.83,3.13
2018-03-19,菜寮,19.7,3.82,16.15,19.96,32.01,39.68,17.67,60.32,1.73
2018-03-26,菜寮,23.92,3.08,14.79,17.86,27.16,40.9,17.2,59.17,1.85
2018-04-02,菜寮,22.38,2.64,15.81,18.46,27.96,64.07,24.68,61.96,2.62
2018-04-09,菜寮,24.2,9.15,22.61,31.74,22.04,45.75,23.19,69.62,2.57
2018-04-16,菜寮,23.09,2.77,17.66,20.42,32.89,50.79,20.93,64.36,2.46
2018-04-23,菜寮,24.55,2.8,15.83,18.63,32.48,35.56,22.21,67.59,2.27
2018-04-30,菜寮,26.55,2.61,15.76,18.37,26.94,39.68,23.48,66.79,2.77
2018-05-07,菜寮,26.33,2.91,16.09,19.0,28.05,36.65,18.27,65.24,3.01
2018-05-14,菜寮,29.69,3.45,16.5,19.94,19.65,38.77,24.09,70.0,4.17
2018-05-21,菜寮,29.28,2.52,15.45,17.96,27.08,38.18,21.12,66.2,4.13
2018-05-28,菜寮,28.72,2.16,13.2,15.35,30.68,30.44,19.8,69.58,2.54
2018-06-04,菜寮,29.6,2.66,11.75,14.41,19.15,21.25,15.91,70.89,3.02
2018-06-11,菜寮,27.47,2.15,13.62,15.76,34.54,28.36,17.6,71.21,2.11
2018-06-18,菜寮,29.94,4.33,13.76,18.09,14.92,24.28,13.04,68.18,2.9
2018-06-25,菜寮,30.64,3.59,14.28,17.87,21.46,29.7,19.74,65.32,3.9
2018-07-02,菜寮,31.35,3.87,11.91,15.77,17.23,22.0,13.55,58.88,2.67
2018-07-09,菜寮,30.34,4.08,7.31,11.39,12.16,14.02,10.98,64.26,1.45
2018-07-16,菜寮,30.39,3.6,6.52,10.11,11.37,11.96,10.8,67.6,1.88
2018-07-23,菜寮,30.64,4.09,15.65,19.73,21.09,31.75,18.7,69.15,3.36
2018-07-30,菜寮,31.48,2.94,16.03,18.97,26.43,30.76,17.24,65.6,3.89
2018-08-06,菜寮,30.94,3.11,11.88,14.99,25.2,24.41,18.43,65.18,3.12
2018-08-13,菜寮,29.93,2.67,16.42,19.08,22.57,20.46,14.05,71.95,3.39
2018-08-20,菜寮,29.77,2.16,13.88,16.03,23.37,17.42,13.03,72.45,2.05
2018-08-27,菜寮,28.09,6.51,19.44,25.95,19.14,20.17,12.2,75.48,2.64
2018-09-03,菜寮,29.23,3.39,16.69,20.07,23.66,29.63,14.82,71.45,3.15
2018-09-10,菜寮,29.42,3.72,10.73,14.44,16.47,20.37,6.13,68.92,1.7
2018-09-17,菜寮,30.43,3.21,13.98,17.18,21.97,31.71,14.72,64.65,2.72
2018-09-24,菜寮,25.78,2.96,13.83,16.78,33.36,37.92,11.4,72.21,1.66
2018-10-01,菜寮,24.96,2.02,14.32,16.33,45.16,44.94,14.85,62.96,2.18
2018-10-08,菜寮,23.05,2.13,16.81,18.93,28.01,27.87,10.64,81.35,1.67
2018-10-15,菜寮,23.37,2.16,17.46,19.61,32.21,31.45,10.68,73.99,2.34
2018-10-22,菜寮,24.09,2.78,17.59,20.36,31.51,47.6,13.97,67.17,2.74
2018-10-29,菜寮,22.32,1.94,15.39,17.32,34.48,32.32,7.77,74.1,1.95
2018-11-05,菜寮,25.05,3.77,17.53,21.29,21.21,35.87,14.18,76.04,3.02
2018-11-12,菜寮,23.54,2.82,14.83,17.65,25.77,25.35,9.29,73.19,2.39
2018-11-19,菜寮,21.66,3.41,15.9,19.32,23.98,23.98,8.3,72.98,1.88
2018-11-26,菜寮,22.17,4.51,20.75,25.26,24.47,36.09,12.94,67.01,2.31
2018-12-03,菜寮,21.78,7.37,18.26,25.62,21.15,24.31,10.24,72.9,2.34
2018-12-10,菜寮,19.22,4.09,15.54,19.62,19.31,17.67,6.84,78.13,1.53
2018-12-17,菜寮,20.26,6.89,23.9,30.79,22.9,40.62,15.43,65.11,2.81
2018-12-24,菜寮,17.46,1.99,13.1,15.08,22.46,12.17,4.52,78.78,1.47
