日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2018-01-01,善化,19.83,2.98,15.64,18.6,19.3,54.61,29.35,83.12,2.79
2018-01-08,善化,15.4,2.52,14.04,16.55,25.04,38.79,20.78,73.37,2.22
2018-01-15,善化,21.18,2.99,16.79,19.77,21.94,76.09,48.41,79.84,3.32
2018-01-22,善化,19.94,2.38,15.25,17.64,22.65,55.61,25.19,78.19,3.09
2018-01-29,善化,15.41,2.38,15.23,17.62,21.48,41.06,26.22,79.68,2.17
2018-02-05,善化,14.48,2.62,17.69,20.31,20.35,63.0,32.5,74.71,2.23
2018-02-12,善化,19.83,1.68,12.94,14.62,30.14,82.06,36.08,71.71,2.56
2018-02-19,善化,20.79,2.0,14.44,16.44,24.61,68.04,37.01,79.46,3.06
2018-02-26,善化,23.48,3.36,13.63,16.99,24.36,78.28,39.12,77.55,3.05
2018-03-05,善化,20.83,1.72,12.82,14.54,26.78,57.16,22.94,74.35,2.86
2018-03-12,善化,22.71,1.43,12.97,14.4,33.09,65.24,37.18,74.84,3.44
2018-03-19,善化,22.25,1.72,12.09,13.81,35.49,57.71,26.06,68.62,2.7
2018-03-26,善化,24.01,1.3,9.97,11.26,34.89,71.3,34.88,73.96,2.24
2018-04-02,善化,23.83,1.15,9.54,10.69,30.81,73.99,29.89,69.1,2.87
2018-04-09,善化,26.38,1.69,9.61,11.3,24.28,46.37,17.41,73.39,3.04
2018-04-16,善化,24.94,1.7,11.22,12.92,35.48,65.58,31.65,74.31,3.36
2018-04-23,善化,27.14,1.56,10.35,11.91,32.76,68.96,30.95,74.6,3.17
2018-04-30,善化,28.41,1.39,8.93,10.32,28.57,51.33,22.87,73.13,2.68
2018-05-07,善化,27.22,1.76,9.88,11.64,24.8,43.92,18.27,79.29,2.7
2018-05-14,善化,29.15,2.28,8.22,10.49,14.39,32.04,12.13,77.35,2.5
2018-05-21,善化,29.61,1.85,7.23,9.07,20.82,35.52,18.04,74.46,2.68
2018-05-28,善化,30.32,1.54,7.3,8.84,27.73,49.33,17.13,74.16,2.83
2018-06-04,善化,30.28,1.69,7.76,9.42,27.1,40.63,15.2,75.46,3.14
2018-06-11,善化,28.15,1.61,7.16,8.77,34.02,43.5,15.04,82.17,2.07
2018-06-18,善化,27.02,1.8,5.87,7.67,15.44,27.43,5.27,88.04,2.23
2018-06-25,善化,28.89,1.83,5.13,6.95,17.7,31.61,7.43,79.63,2.44
2018-07-02,善化,27.38,1.7,4.29,5.98,18.21,24.21,4.57,85.01,2.34
2018-07-09,善化,28.99,1.82,6.14,7.94,23.2,37.54,12.81,80.86,2.97
2018-07-16,善化,29.1,1.0,5.43,6.42,25.76,36.64,12.75,81.49,2.54
2018-07-23,善化,28.9,1.98,4.67,6.65,20.1,32.78,9.68,81.88,2.21
2018-07-30,善化,29.19,1.66,4.86,6.5,18.54,27.66,7.56,80.98,1.97
2018-08-06,善化,29.08,1.7,4.86,6.55,28.92,34.39,13.56,80.16,2.42
2018-08-13,善化,27.81,1.99,6.84,8.83,21.33,23.27,5.54,85.32,2.36
2018-08-20,善化,26.68,1.73,5.74,7.46,26.08,21.46,4.37,88.67,1.91
2018-08-27,善化,26.0,2.4,5.2,7.59,17.2,20.18,5.54,87.89,2.0
2018-09-03,善化,28.11,1.69,5.69,7.37,23.52,29.78,9.74,83.43,2.36
2018-09-10,善化,28.41,1.98,8.53,10.5,27.57,44.73,18.19,82.54,2.92
2018-09-17,善化,29.64,1.39,7.42,8.82,26.84,39.56,17.54,77.21,2.18
2018-09-24,善化,27.38,0.84,9.81,10.59,38.34,58.08,18.41,74.8,1.78
2018-10-01,善化,26.28,1.27,11.17,12.45,50.3,69.34,27.78,71.81,3.27
2018-10-08,善化,26.01,1.54,11.62,13.17,34.71,54.12,24.81,78.32,2.76
2018-10-15,善化,25.72,1.42,12.02,13.43,35.38,62.9,28.81,78.82,2.93
2018-10-22,善化,25.24,1.34,11.3,12.65,39.1,77.7,35.51,75.75,4.17
2018-10-29,善化,23.33,2.56,14.35,16.91,29.21,68.04,28.87,80.24,3.03
2018-11-05,善化,25.35,1.83,11.97,13.81,28.78,78.51,42.24,84.27,2.93
2018-11-12,善化,24.98,2.08,14.67,16.75,28.92,81.91,38.15,80.24,3.53
2018-11-19,善化,23.35,1.9,12.8,14.69,28.57,62.32,23.17,79.39,3.19
2018-11-26,善化,22.53,2.52,14.26,16.78,24.56,65.54,29.83,82.95,2.91
2018-12-03,善化,23.62,2.83,13.5,16.32,21.89,69.46,24.61,78.58,3.0
2018-12-10,善化,21.51,2.38,15.15,17.52,18.78,57.99,22.83,79.05,2.96
2018-12-17,善化,21.03,2.26,16.79,19.04,25.67,87.68,36.62,72.89,2.86
2018-12-24,善化,20.31,1.66,12.52,14.19,22.65,60.8,17.69,72.99,2.32
