日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2019-01-01,豐原,18.49,6.75,14.59,21.33,16.74,29.61,18.81,83.56,2.16
2019-01-08,豐原,19.74,4.5,14.97,19.47,18.39,34.42,16.76,80.83,1.94
2019-01-15,豐原,16.62,2.48,13.35,15.81,26.71,35.16,19.03,83.4,1.77
2019-01-22,豐原,15.0,2.32,12.35,14.67,34.74,42.0,20.56,73.31,1.69
2019-01-29,豐原,18.47,2.71,15.18,17.89,32.74,44.92,24.06,72.99,2.04
2019-02-05,豐原,18.69,1.27,8.04,9.31,29.8,33.99,18.22,77.18,1.7
2019-02-12,豐原,19.48,2.7,12.47,15.16,22.96,31.32,18.42,77.38,1.87
2019-02-19,豐原,18.74,2.68,13.68,16.36,24.68,34.69,22.51,82.71,1.86
2019-02-26,豐原,19.71,2.04,14.71,16.75,30.23,43.99,27.71,78.65,2.16
2019-03-05,豐原,16.86,2.26,11.15,13.41,32.16,17.58,12.49,87.52,1.66
2019-03-12,豐原,19.09,2.27,14.91,17.17,39.35,51.26,29.78,73.95,2.33
2019-03-19,豐原,20.43,2.74,14.76,17.5,27.38,40.81,26.39,81.06,2.4
2019-03-26,豐原,21.38,2.09,11.72,13.81,36.02,38.31,23.15,77.39,2.2424999999999997
2019-04-02,豐原,21.65,1.94,12.18,14.12,38.01,43.44,30.37,80.03,2.085
2019-04-09,豐原,22.66,1.48,10.21,11.67,32.66,32.45,21.06,77.46,1.9275
2019-04-16,豐原,23.15,1.53,12.98,14.49,35.12,30.79,20.66,78.62,1.77
2019-04-23,豐原,26.07,1.8,10.52,12.3,32.54,36.96,24.24,70.4,2.92
2019-04-30,豐原,22.03,2.37,10.56,12.92,29.31,25.53,16.74,81.03,1.4
2019-05-07,豐原,23.21,2.52,11.0,13.51,29.7,29.6,19.14,81.6,1.73
2019-05-14,豐原,26.07,2.48,7.13,9.61,24.16,23.38,15.11,78.35,1.6
2019-05-21,豐原,24.6,1.73,12.3,14.03,32.64,37.11,21.75,78.2,2.15
2019-05-28,豐原,26.32,2.0,7.82,9.81,25.93,24.38,14.17,73.79,1.47
2019-06-04,豐原,27.95,2.41,5.84,8.25,22.76,18.16,12.01,66.75,1.64
2019-06-11,豐原,25.86,1.91,7.29,9.17,33.66,15.72,12.44,77.49,1.64
2019-06-18,豐原,28.45,2.13,6.45,8.57,23.07,19.68,13.32,68.13,2.25
2019-06-25,豐原,28.06,1.97,6.62,8.58,27.44,20.91,12.0,70.91,1.97
2019-07-02,豐原,28.67,1.24,4.15,5.37,24.46,17.23,10.87,65.24,1.76
2019-07-09,豐原,28.82,1.58,4.94,6.5,23.89,15.31,15.18,66.67,1.51
2019-07-16,豐原,28.5,2.03,7.15,9.17,31.16,27.75,17.53,70.55,1.5
2019-07-23,豐原,27.91,1.87,7.04,8.9,26.16,21.11,13.65,71.92,1.81
2019-07-30,豐原,28.34,2.4,8.51,10.9,32.06,32.36,20.69,72.27,2.03
2019-08-06,豐原,27.95,1.97,4.88,6.85,29.5,25.45,14.71,77.73,1.91
2019-08-13,豐原,26.63,1.62,5.04,6.64,32.59,12.65,10.08,82.08,1.27
2019-08-20,豐原,27.37,2.29,7.9,10.16,26.72,26.29,16.76,83.51,2.01
2019-08-27,豐原,27.85,2.61,8.3,10.9,30.22,33.58,21.98,80.67,2.34
2019-09-03,豐原,27.32,2.02,7.69,9.7,29.74,28.12,15.9,80.87,2.1
2019-09-10,豐原,27.94,1.91,8.44,10.33,36.15,35.4,22.21,76.83,1.25
2019-09-17,豐原,25.06,0.99,4.85,5.8,51.48,30.47,12.76,68.45,0.94
2019-09-24,豐原,25.95,2.36,7.99,10.35,29.72,27.48,14.59,76.88,1.53
2019-10-01,豐原,26.94,1.68,9.55,11.22,40.08,50.54,35.05,76.86,2.08
2019-10-08,豐原,25.83,1.6,9.98,11.57,41.98,41.62,24.69,75.39,1.54
2019-10-15,豐原,23.25,1.39,4.54,5.92,45.13,26.48,12.16,68.11,1.63
2019-10-22,豐原,23.69,1.58,9.83,11.4,41.14,33.97,18.65,73.3,1.72
2019-10-29,豐原,23.55,2.28,8.18,10.46,33.81,37.21,19.01,79.27,1.35
2019-11-05,豐原,21.62,1.81,7.54,9.31,41.93,29.44,14.38,69.4,1.46
2019-11-12,豐原,21.46,1.66,12.28,13.92,46.15,46.64,26.4,71.89,2.08
2019-11-19,豐原,21.52,1.57,7.6,9.17,28.42,21.43,11.15,77.76,1.47
2019-11-26,豐原,19.92,2.08,9.35,11.42,32.09,28.33,14.06,74.5,1.59
2019-12-03,豐原,15.22,1.73,6.98,8.7,34.02,16.0,9.01,75.2,0.96
2019-12-10,豐原,18.56,2.84,14.87,17.7,30.91,34.78,20.49,74.23,2.27
2019-12-17,豐原,19.82,3.79,11.24,15.03,18.96,19.88,12.65,82.48,1.73
2019-12-24,豐原,18.71,2.74,11.48,14.23,23.5,21.79,13.65,81.4,1.54
