日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2019-01-01,三重,19.63,53.57,29.23,82.8,,34.66,8.18,82.77,2.46
2019-01-08,三重,20.9,58.13,31.59,89.71,,41.35,12.76,77.7,2.95
2019-01-15,三重,18.57,69.37,39.9,109.27,,52.67,16.48,72.56,3.13
2019-01-22,三重,17.34,58.42,41.11,99.52,,59.66,18.98,62.62,3.49
2019-01-29,三重,19.99,59.23,39.76,98.99,,57.75,20.58,68.65,3.01
2019-02-05,三重,19.19,37.24,26.82,64.05,,43.56,12.81,76.01,2.14
2019-02-12,三重,19.96,48.97,31.22,80.18,,35.77,8.59,79.47,2.97
2019-02-19,三重,19.13,52.25,34.08,86.32,,42.0,11.2,81.3,3.04
2019-02-26,三重,20.12,53.6,36.96,90.56,,61.79,22.57,76.93,2.71
2019-03-05,三重,17.52,56.32,38.39,94.7,,39.12,16.43,80.73,2.95
2019-03-12,三重,20.61,51.56,44.28,95.83,,47.87,18.97,64.86,2.95
2019-03-19,三重,21.42,55.08,37.46,92.54,,43.43,17.17,75.83,3.18
2019-03-26,三重,22.02,47.48,37.67,85.14,,49.99,17.87,72.48,2.96
2019-04-02,三重,23.63,54.36,39.96,94.32,,46.97,19.96,73.39,3.12
2019-04-09,三重,23.34,49.05,35.23,84.28,,38.44,16.37,73.64,3.05
2019-04-16,三重,24.78,52.82,42.91,95.72,,42.63,21.26,75.99,3.33
2019-04-23,三重,27.8,44.08,32.54,76.62,,39.1,17.32,71.43,3.56
2019-04-30,三重,23.72,43.37,36.09,79.45,,40.08,14.06,71.21,2.5
2019-05-07,三重,24.06,40.89,33.28,74.17,,24.09,10.44,78.07,2.92
2019-05-14,三重,28.28,58.14,30.5,88.64,,36.56,18.52,75.95,3.62
2019-05-21,三重,26.89,38.22,34.54,72.76,,38.57,13.05,63.27,2.72
2019-05-28,三重,27.49,46.13,31.87,77.99,,32.32,12.38,72.56,3.31
2019-06-04,三重,30.47,54.13,27.39,81.51,,30.31,12.09,68.04,3.34
2019-06-11,三重,26.68,48.83,35.44,84.27,,27.64,13.05,76.24,2.83
2019-06-18,三重,30.43,52.45,28.58,81.02,,28.01,10.46,70.61,3.49
2019-06-25,三重,30.2,49.76,29.29,79.05,,25.51,10.1,73.65,3.5
2019-07-02,三重,31.47,57.08,28.15,85.22,,25.12,9.86,65.43,3.72
2019-07-09,三重,31.83,50.14,26.3,76.44,,16.25,12.78,64.39,3.32
2019-07-16,三重,30.8,48.19,24.63,72.81,,21.33,11.29,72.69,3.06
2019-07-23,三重,30.81,41.23,29.09,70.32,,26.53,11.8,69.37,3.18
2019-07-30,三重,32.34,42.4,15.65,58.05,,13.82,6.34,61.41,2.76
2019-08-06,三重,31.55,46.12,21.25,67.36,,24.27,11.22,69.07,3.14
2019-08-13,三重,31.74,47.52,32.92,80.45,,24.12,10.84,64.36,3.54
2019-08-20,三重,30.38,43.32,23.04,66.36,,21.91,9.06,70.47,2.76
2019-08-27,三重,31.82,44.69,17.86,62.55,,17.31,9.11,62.6,3.2
2019-09-03,三重,29.48,52.41,23.07,75.47,,21.14,10.4,71.39,3.19
2019-09-10,三重,30.16,42.14,21.76,63.89,,21.72,10.29,67.88,2.65
2019-09-17,三重,25.46,52.8,39.43,92.22,,38.21,13.96,73.17,2.56
2019-09-24,三重,26.34,50.72,26.21,76.93,,20.24,11.24,77.7,2.53
2019-10-01,三重,28.88,47.92,30.65,78.56,,34.89,24.23,66.86,2.75
2019-10-08,三重,27.06,36.31,32.11,68.41,,35.36,19.93,65.56,2.63
2019-10-15,三重,24.45,45.34,36.61,81.94,,39.34,17.26,63.57,2.34
2019-10-22,三重,25.17,42.65,34.02,76.67,,32.49,16.42,64.43,3.01
2019-10-29,三重,24.47,43.48,35.3,78.78,,48.34,21.22,72.1,2.57
2019-11-05,三重,23.18,45.51,37.24,82.75,,33.68,15.89,60.58,2.47
2019-11-12,三重,23.62,51.93,39.84,91.77,,46.57,22.92,61.95,2.94
2019-11-19,三重,22.19,55.3,29.1,84.4,,28.65,13.55,76.55,2.42
2019-11-26,三重,20.65,45.31,30.16,75.46,,29.02,14.08,69.92,2.74
2019-12-03,三重,17.25,66.56,36.63,103.19,,29.68,14.51,66.31,2.6
2019-12-10,三重,21.34,59.48,37.58,97.05,,38.71,19.27,66.05,3.68
2019-12-17,三重,21.06,55.49,31.8,87.29,,23.34,12.69,76.32,2.73
2019-12-24,三重,19.56,69.41,32.11,101.52,,29.02,16.26,75.08,3.17
