日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2019-01-01,古亭,18.88,4.76,17.13,21.88,23.6,21.08,10.4,87.73,1.8
2019-01-08,古亭,20.31,7.55,19.37,26.91,22.49,32.45,14.79,81.04,1.8
2019-01-15,古亭,17.77,6.43,19.74,26.16,29.11,35.67,16.79,77.55,1.79
2019-01-22,古亭,16.58,3.06,16.39,19.46,39.41,43.67,17.47,66.4,1.76
2019-01-29,古亭,19.49,5.5,19.98,25.48,30.29,40.18,20.35,71.92,1.6
2019-02-05,古亭,18.25,1.81,10.54,12.34,32.03,27.14,12.83,81.55,1.38
2019-02-12,古亭,19.54,3.33,16.93,20.24,30.06,23.25,11.42,83.93,1.86
2019-02-19,古亭,19.14,4.25,19.02,23.26,30.96,29.66,13.94,84.11,2.07
2019-02-26,古亭,20.08,4.13,18.85,22.98,33.82,45.42,24.05,79.85,1.45
2019-03-05,古亭,17.48,5.04,21.71,26.75,34.21,32.76,18.32,84.13,1.91
2019-03-12,古亭,20.71,3.04,18.27,21.28,46.02,42.31,22.85,65.98,1.89
2019-03-19,古亭,21.31,5.2,20.35,25.56,33.52,39.35,21.95,78.79,1.95
2019-03-26,古亭,21.94,3.2,16.97,20.16,40.07,40.53,21.61,74.48,1.83
2019-04-02,古亭,23.61,5.44,21.17,26.61,37.03,41.68,25.58,75.46,2.03
2019-04-09,古亭,23.29,3.9,17.92,21.82,37.04,36.36,20.86,75.26,1.42
2019-04-16,古亭,24.88,4.96,24.23,29.19,32.88,39.68,26.08,77.11,2.39
2019-04-23,古亭,27.84,3.69,17.52,21.2,36.59,36.66,22.67,71.4,2.86
2019-04-30,古亭,23.55,1.9,14.04,15.92,44.83,34.83,18.19,72.14,1.54
2019-05-07,古亭,23.84,2.7,15.69,18.37,40.46,23.9,12.44,79.85,2.0
2019-05-14,古亭,28.29,6.19,16.82,23.0,21.3,34.86,20.09,74.85,1.89
2019-05-21,古亭,26.75,3.07,15.08,18.13,40.52,32.95,16.3,63.2,1.5
2019-05-28,古亭,27.28,4.65,16.0,20.65,31.16,23.93,13.35,72.41,1.69
2019-06-04,古亭,29.68,7.68,15.61,23.27,18.98,22.74,13.59,69.85,1.91
2019-06-11,古亭,24.97,7.18,20.32,27.48,25.21,17.96,12.11,88.34,1.46
2019-06-18,古亭,26.735,4.96,17.08,22.04,25.485,18.41,8.04,80.1,1.955
2019-06-25,古亭,28.5,2.44,13.59,15.99,25.76,18.86,8.14,71.86,2.45
2019-07-02,古亭,29.43,2.48,12.19,14.65,23.14,19.3,7.17,66.68,1.68
2019-07-09,古亭,29.65,2.61,11.34,13.94,23.84,24.28,11.01,65.42,1.9
2019-07-16,古亭,28.89,2.85,11.58,14.43,19.96,19.89,9.55,72.29,1.65
2019-07-23,古亭,28.53,2.59,13.01,15.6,27.55,23.04,12.43,71.45,1.73
2019-07-30,古亭,30.4,2.46,6.42,8.88,16.05,8.97,4.46,60.57,1.69
2019-08-06,古亭,29.53,2.49,8.39,10.87,21.83,19.58,10.65,69.34,1.74
2019-08-13,古亭,29.69,1.62,12.2,13.81,31.0,20.71,12.46,65.22,1.64
2019-08-20,古亭,28.61,2.49,9.04,11.51,21.74,15.48,8.28,69.39,1.6
2019-08-27,古亭,29.81,2.83,7.56,10.37,15.27,13.4,6.57,61.57,1.31
2019-09-03,古亭,27.34,3.62,11.69,15.3,19.6,16.54,7.96,71.04,1.68
2019-09-10,古亭,29.01,2.09,7.93,10.0,22.75,16.79,8.33,68.68,1.56
2019-09-17,古亭,24.35,1.22,14.93,16.12,37.8,31.17,13.6,77.77,1.4
2019-09-24,古亭,25.3,2.31,10.57,12.85,24.58,14.49,6.5,81.7,1.37
2019-10-01,古亭,27.99,2.29,12.47,14.74,31.49,26.72,16.23,68.61,1.63
2019-10-08,古亭,25.91,0.88,10.54,11.39,44.22,29.68,15.06,69.82,1.89
2019-10-15,古亭,23.15,1.33,13.83,15.14,39.61,31.07,13.12,71.49,1.14
2019-10-22,古亭,24.31,1.28,11.02,12.29,42.4,26.29,12.01,67.99,1.62
2019-10-29,古亭,23.23,1.05,12.97,14.02,42.46,42.06,17.73,79.42,1.58
2019-11-05,古亭,22.12,1.16,11.28,12.42,43.73,26.58,11.48,65.74,1.51
2019-11-12,古亭,22.67,2.09,14.63,16.71,38.26,37.65,17.55,66.97,1.5
2019-11-19,古亭,21.06,2.29,15.76,18.03,24.84,21.54,10.06,84.52,1.37
2019-11-26,古亭,19.54,1.56,12.55,14.07,31.33,20.5,10.25,77.66,1.23
2019-12-03,古亭,16.4,1.67,14.82,16.49,32.75,21.65,10.17,72.93,1.56
2019-12-10,古亭,20.59,3.05,16.7,19.75,32.94,28.76,14.46,70.46,1.97
2019-12-17,古亭,19.98,4.04,17.94,21.96,21.56,15.81,8.97,84.15,1.96
2019-12-24,古亭,18.68,7.17,18.04,25.2,21.74,19.58,10.16,80.83,1.57
