日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2019-01-01,汐止,18.78,4.99,14.81,19.79,26.8,14.76,7.29,92.18,1.91
2019-01-08,汐止,19.95,9.03,17.23,26.26,22.06,18.5,10.62,87.85,2.18
2019-01-15,汐止,17.32,6.37,17.94,24.3,29.87,29.63,15.43,82.98,1.87
2019-01-22,汐止,16.16,5.09,19.83,24.91,32.51,37.74,16.67,70.92,1.95
2019-01-29,汐止,18.95,12.27,20.65,32.91,26.45,31.29,17.05,78.27,2.38
2019-02-05,汐止,17.6,3.1,9.6,12.7,31.95,21.91,11.91,88.79,1.64
2019-02-12,汐止,18.62,4.18,15.05,19.22,29.49,16.57,9.02,92.56,1.5
2019-02-19,汐止,18.27,4.89,15.07,19.95,31.37,20.26,9.95,89.74,1.89
2019-02-26,汐止,19.0,5.25,17.0,22.24,32.03,43.72,20.06,85.97,1.84
2019-03-05,汐止,16.98,5.15,20.09,25.23,32.53,26.29,15.09,87.13,2.25
2019-03-12,汐止,19.6,3.81,18.83,22.62,42.7,35.49,18.33,70.49,2.41
2019-03-19,汐止,20.22,6.89,17.94,24.82,30.27,31.82,19.25,85.11,2.79
2019-03-26,汐止,20.82,5.08,17.58,22.64,36.02,36.31,18.22,80.92,2.27
2019-04-02,汐止,22.73,6.9,18.95,25.85,31.33,35.12,21.68,80.57,2.43
2019-04-09,汐止,22.29,5.58,17.39,22.96,34.65,28.4,16.67,81.68,2.3
2019-04-16,汐止,23.96,6.58,22.1,28.67,30.14,29.89,21.06,82.59,2.87
2019-04-23,汐止,26.72,5.64,15.97,21.61,35.81,29.09,19.36,80.21,3.89
2019-04-30,汐止,22.57,3.06,16.96,20.03,39.25,29.75,15.15,80.45,2.28
2019-05-07,汐止,22.85,2.18,13.37,15.54,41.0,14.81,9.17,88.73,2.17
2019-05-14,汐止,27.34,7.35,16.62,23.96,22.27,26.34,15.28,83.12,2.84
2019-05-21,汐止,25.75,3.02,14.54,17.55,36.26,36.23,14.47,70.68,2.18
2019-05-28,汐止,26.4,6.72,14.87,21.58,29.12,27.77,12.15,81.65,2.29
2019-06-04,汐止,28.92,11.07,15.46,26.53,18.58,27.16,11.61,77.46,2.71
2019-06-11,汐止,25.88,4.67,16.59,21.26,32.9,24.55,12.02,83.73,2.44
2019-06-18,汐止,29.43,4.6,15.68,20.28,24.04,21.77,10.62,77.68,2.18
2019-06-25,汐止,29.73,5.98,13.29,19.26,24.24,30.32,10.2,78.82,2.4
2019-07-02,汐止,30.33,5.83,14.1,19.92,20.93,25.79,11.48,73.82,2.51
2019-07-09,汐止,30.44,6.96,13.95,20.91,20.73,29.28,14.4,74.27,2.75
2019-07-16,汐止,29.93,5.22,11.29,16.5,17.16,22.52,10.75,80.85,2.21
2019-07-23,汐止,30.41,5.94,14.63,20.57,26.12,27.7,14.73,75.24,2.27
2019-07-30,汐止,31.39,4.59,6.12,10.7,13.95,10.53,6.8,69.17,1.98
2019-08-06,汐止,30.69,3.64,9.22,12.85,21.21,24.0,11.78,76.74,2.05
2019-08-13,汐止,30.53,4.1,15.34,19.43,29.94,26.51,16.14,74.18,2.14
2019-08-20,汐止,29.72,3.97,9.26,13.23,19.72,19.3,10.23,78.47,1.81
2019-08-27,汐止,31.09,6.38,9.76,16.13,14.44,19.51,11.76,71.71,2.13
2019-09-03,汐止,29.48,7.43,14.91,22.33,17.32,23.03,11.49,81.38,1.87
2019-09-10,汐止,29.91,3.74,8.59,12.33,20.55,19.36,10.64,77.54,1.95
2019-09-17,汐止,24.84,3.0,13.95,16.94,39.65,34.6,15.79,81.3,1.69
2019-09-24,汐止,25.32,3.98,13.24,17.21,20.13,16.72,7.15,87.81,2.21
2019-10-01,汐止,27.9,6.45,12.76,19.22,25.05,29.63,17.02,75.63,2.58
2019-10-08,汐止,25.61,2.3,11.92,14.22,41.75,30.37,15.22,76.29,3.06
2019-10-15,汐止,23.04,3.59,13.62,17.21,41.48,32.55,13.34,76.51,1.4
2019-10-22,汐止,23.88,3.52,15.72,19.25,35.35,26.88,12.35,74.9,3.11
2019-10-29,汐止,23.06,1.88,11.56,13.44,46.05,43.13,17.95,86.15,1.95
2019-11-05,汐止,21.66,3.94,14.98,18.92,38.55,28.51,12.33,70.29,3.37
2019-11-12,汐止,21.91,7.05,18.49,25.53,30.81,39.85,19.05,72.67,2.63
2019-11-19,汐止,20.87,3.59,13.98,17.56,25.27,22.84,9.79,89.26,2.22
2019-11-26,汐止,19.27,3.06,13.73,16.78,30.68,22.4,11.12,83.11,1.78
2019-12-03,汐止,16.39,5.37,14.81,20.17,32.32,24.26,11.02,72.33,2.76
2019-12-10,汐止,20.32,9.96,20.56,30.52,26.08,31.71,15.09,73.43,2.77
2019-12-17,汐止,19.67,7.97,18.52,26.49,22.08,18.51,9.25,88.15,2.29
2019-12-24,汐止,18.58,10.46,17.94,28.4,22.35,23.16,11.6,84.56,2.08
